City/Town,Ward,Pct,"William Macgregor","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,10,9A,0,0,0,0
Boston,19,2,914,16,371,"1,301"
Boston,19,3,486,5,159,650
Boston,19,8,632,8,273,913
Boston,20,1,891,10,365,"1,266"
Boston,20,2,946,21,288,"1,255"
Boston,20,4,760,9,272,"1,041"
Boston,20,5,964,22,374,"1,360"
Boston,20,6,"1,012",13,385,"1,410"
Boston,20,7,630,15,214,859
Boston,20,8,724,10,237,971
Boston,20,9,820,18,253,"1,091"
Boston,20,10,"1,128",22,418,"1,568"
Boston,20,11,534,7,192,733
Boston,20,12,647,16,264,927
Boston,20,13,630,16,191,837
Boston,20,14,575,6,233,814
Boston,20,15,"1,029",17,355,"1,401"
Boston,20,16,"1,172",34,391,"1,597"
Boston,20,17,"1,128",26,490,"1,644"
Boston,20,18,600,9,234,843
Boston,20,19,629,5,243,877
Boston,20,20,"1,056",18,343,"1,417"
Brookline,-,16,"1,299",15,494,"1,808"
TOTALS,,,"19,206",338,"7,039","26,583"
