City/Town,Ward,Pct,"Donald H. Wong","All Others",Blanks,"Total Votes Cast"
,,,Republican
Lynn,1,1,"1,597",44,568,"2,209"
Lynn,1,2,"1,132",30,483,"1,645"
Saugus,-,1,"1,060",2,343,"1,405"
Saugus,-,2,"1,034",1,373,"1,408"
Saugus,-,4,"1,097",4,463,"1,564"
Saugus,-,5,"1,261",0,447,"1,708"
Saugus,-,6,"1,083",1,384,"1,468"
Saugus,-,7,"1,206",2,401,"1,609"
Saugus,-,8,"1,128",0,389,"1,517"
Saugus,-,9,"1,247",0,435,"1,682"
Wakefield,-,1,"1,547",28,689,"2,264"
Wakefield,-,2,"1,454",31,737,"2,222"
Wakefield,-,3,"1,646",34,730,"2,410"
Wakefield,-,7,"1,622",18,715,"2,355"
TOTALS,,,"18,114",195,"7,157","25,466"
