City/Town,Ward,Pct,"Bud L. Williams","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Springfield,3,A,331,14,77,422
Springfield,4,A,673,39,169,881
Springfield,4,B,455,24,90,569
Springfield,4,C,456,19,82,557
Springfield,4,D,458,16,89,563
Springfield,4,E,431,13,84,528
Springfield,4,F,135,3,23,161
Springfield,4,G,529,18,102,649
Springfield,4,H,541,13,71,625
Springfield,5,A,633,30,133,796
Springfield,5,B,807,34,162,"1,003"
Springfield,5,C1,8,0,9,17
Springfield,5,E,879,34,228,"1,141"
Springfield,5,F,784,34,269,"1,087"
Springfield,5,H,750,33,231,"1,014"
Springfield,6,D1,31,1,12,44
Springfield,6,G,608,32,168,808
Springfield,6,H,827,36,257,"1,120"
Springfield,7,A,877,38,278,"1,193"
Springfield,7,B1,30,1,11,42
Springfield,7,H,421,17,155,593
TOTALS,,,"10,664",449,"2,700","13,813"
