City/Town,Ward,Pct,"Seth W. Moulton","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Amesbury,-,1,"1,572",0,523,"2,095"
Amesbury,-,2,"1,347",0,373,"1,720"
Amesbury,-,3,"1,385",0,417,"1,802"
Amesbury,-,4,"1,059",0,370,"1,429"
Amesbury,-,5,"1,406",0,489,"1,895"
Amesbury,-,6,"1,147",0,333,"1,480"
Andover,-,1,"1,178",8,264,"1,450"
Andover,-,2,"1,558",10,536,"2,104"
Andover,-,3,"1,785",26,509,"2,320"
Andover,-,4,879,15,366,"1,260"
Andover,-,4A,519,10,171,700
Andover,-,5,"1,541",65,547,"2,153"
Andover,-,6,"1,506",20,505,"2,031"
Andover,-,7,"1,624",15,550,"2,189"
Andover,-,8,"1,756",28,511,"2,295"
Andover,-,9,"1,451",28,496,"1,975"
Andover,-,10,"1,646",28,528,"2,202"
Bedford,-,1,"1,771",39,428,"2,238"
Bedford,-,2,"1,087",32,336,"1,455"
Bedford,-,3,"1,737",40,453,"2,230"
Bedford,-,4,"1,617",36,420,"2,073"
Beverly,1,1,"1,534",8,485,"2,027"
Beverly,1,2,"1,766",3,546,"2,315"
Beverly,2,1,"1,681",27,417,"2,125"
Beverly,2,2,"1,590",2,378,"1,970"
Beverly,3,1,"1,147",0,271,"1,418"
Beverly,3,2,"1,455",1,414,"1,870"
Beverly,4,1,810,3,241,"1,054"
Beverly,4,2,"1,992",4,432,"2,428"
Beverly,5,1,"1,492",0,517,"2,009"
Beverly,5,2,"1,489",4,474,"1,967"
Beverly,6,1,"1,796",5,523,"2,324"
Beverly,6,2,"1,783",5,613,"2,401"
Billerica,-,3,"1,426",56,613,"2,095"
Billerica,-,4,"1,249",46,524,"1,819"
Billerica,-,5,"1,602",58,756,"2,416"
Billerica,-,9,"1,484",62,652,"2,198"
Billerica,-,10,"1,585",81,670,"2,336"
Boxford,-,1,"1,266",54,508,"1,828"
Boxford,-,2,"1,347",59,527,"1,933"
Boxford,-,3,"1,183",58,461,"1,702"
Burlington,-,1,"1,540",65,767,"2,372"
Burlington,-,2,"1,057",43,351,"1,451"
Burlington,-,3,"1,478",51,604,"2,133"
Burlington,-,4,"1,246",37,415,"1,698"
Burlington,-,5,"1,691",60,682,"2,433"
Burlington,-,6,"1,641",63,648,"2,352"
Burlington,-,7,"1,524",46,591,"2,161"
Danvers,-,1,"1,545",2,505,"2,052"
Danvers,-,2,"1,479",13,608,"2,100"
Danvers,-,3,"1,346",18,543,"1,907"
Danvers,-,4,"1,498",20,590,"2,108"
Danvers,-,5,"1,507",28,624,"2,159"
Danvers,-,6,"1,552",20,761,"2,333"
Danvers,-,7,"1,543",30,587,"2,160"
Danvers,-,8,"1,181",20,515,"1,716"
Essex,-,1,"1,895",64,479,"2,438"
Georgetown,-,1,"1,314",63,529,"1,906"
Georgetown,-,2,"1,289",55,452,"1,796"
Georgetown,-,3,"1,368",46,459,"1,873"
Gloucester,1,1,"1,675",37,446,"2,158"
Gloucester,1,2,"1,333",39,362,"1,734"
Gloucester,2,1,"1,127",35,300,"1,462"
Gloucester,2,2,976,24,237,"1,237"
Gloucester,3,1,"1,058",35,275,"1,368"
Gloucester,3,2,"1,214",34,330,"1,578"
Gloucester,4,1,"1,373",38,429,"1,840"
Gloucester,4,2,"1,764",40,394,"2,198"
Gloucester,5,1,"1,588",41,494,"2,123"
Gloucester,5,2,"1,631",53,516,"2,200"
Groveland,-,1,"1,570",19,608,"2,197"
Groveland,-,2,"1,603",26,643,"2,272"
Hamilton,-,1,"1,897",27,521,"2,445"
Hamilton,-,2,"1,920",23,451,"2,394"
Ipswich,-,1,"1,781",23,424,"2,228"
Ipswich,-,2,"1,925",33,493,"2,451"
Ipswich,-,3,"1,863",29,596,"2,488"
Ipswich,-,4,"1,864",29,573,"2,466"
Lynn,1,1,"1,536",67,606,"2,209"
Lynn,1,2,"1,137",47,461,"1,645"
Lynn,1,2A,265,9,81,355
Lynn,1,3,"1,304",57,369,"1,730"
Lynn,1,4,"1,083",54,245,"1,382"
Lynn,2,1,"1,370",47,436,"1,853"
Lynn,2,2,888,30,186,"1,104"
Lynn,2,3,624,25,132,781
Lynn,2,4,588,21,125,734
Lynn,3,1,984,49,261,"1,294"
Lynn,3,2,723,41,124,888
Lynn,3,3,984,49,219,"1,252"
Lynn,3,4,995,41,221,"1,257"
Lynn,4,1,462,24,98,584
Lynn,4,2,513,13,98,624
Lynn,4,3,637,35,167,839
Lynn,4,3A,139,14,28,181
Lynn,4,4,846,37,220,"1,103"
Lynn,5,1,976,54,256,"1,286"
Lynn,5,2,536,18,115,669
Lynn,5,3,464,15,116,595
Lynn,5,4,920,31,276,"1,227"
Lynn,6,1,647,32,153,832
Lynn,6,2,512,28,125,665
Lynn,6,3,553,22,141,716
Lynn,6,4,802,32,246,"1,080"
Lynn,7,1,"1,152",60,343,"1,555"
Lynn,7,2,"1,181",61,288,"1,530"
Lynn,7,3,767,35,159,961
Lynn,7,4,868,47,201,"1,116"
Lynnfield,-,1,"1,349",0,642,"1,991"
Lynnfield,-,2,"1,425",0,636,"2,061"
Lynnfield,-,3,"1,362",0,649,"2,011"
Lynnfield,-,4,"1,351",0,753,"2,104"
Manchester-by-the-Sea,-,1,"2,897",23,762,"3,682"
Marblehead,-,1,"1,870",18,474,"2,362"
Marblehead,-,2,"1,823",24,491,"2,338"
Marblehead,-,3,"1,702",20,440,"2,162"
Marblehead,-,4,"1,812",10,509,"2,331"
Marblehead,-,5,"1,749",12,462,"2,223"
Marblehead,-,6,"1,832",34,478,"2,344"
Merrimac,-,1,"1,555",55,467,"2,077"
Merrimac,-,2,"1,628",48,597,"2,273"
Middleton,-,1,"1,559",71,693,"2,323"
Middleton,-,2,935,57,474,"1,466"
Middleton,-,3,"1,331",67,659,"2,057"
Nahant,-,1,"1,749",61,542,"2,352"
Newbury,-,1,"1,818",42,595,"2,455"
Newbury,-,2,"1,763",42,641,"2,446"
Newburyport,1,1,"1,332",23,275,"1,630"
Newburyport,2,1,"1,703",37,331,"2,071"
Newburyport,3,1,"1,842",33,377,"2,252"
Newburyport,4,1,"1,736",34,419,"2,189"
Newburyport,5,1,"1,444",40,407,"1,891"
Newburyport,6,1,"1,579",44,443,"2,066"
Newburyport,1,P,339,14,127,480
"N. Andover",-,1,"1,550",19,507,"2,076"
"N. Andover",-,2,"1,587",26,549,"2,162"
"N. Andover",-,3,"1,474",12,524,"2,010"
"N. Andover",-,4,"1,897",28,659,"2,584"
"N. Andover",-,5,887,4,283,"1,174"
"N. Andover",-,6,"1,735",22,699,"2,456"
"N. Andover",-,7,"1,718",20,578,"2,316"
"N. Andover",-,8,"1,685",40,638,"2,363"
"N. Reading",-,1,"1,687",31,751,"2,469"
"N. Reading",-,2,"1,826",33,786,"2,645"
"N. Reading",-,3,"1,645",23,771,"2,439"
"N. Reading",-,4,"1,735",23,725,"2,483"
Peabody,1,1,"1,264",61,452,"1,777"
Peabody,1,2,"1,246",57,510,"1,813"
Peabody,1,3,"1,401",53,540,"1,994"
Peabody,2,1,855,37,237,"1,129"
Peabody,2,2,883,31,237,"1,151"
Peabody,2,3,"1,091",44,367,"1,502"
Peabody,3,1,709,35,198,942
Peabody,3,2,944,45,300,"1,289"
Peabody,3,3,"1,060",40,337,"1,437"
Peabody,4,1,"1,141",50,378,"1,569"
Peabody,4,2,828,42,274,"1,144"
Peabody,4,3,438,11,183,632
Peabody,4,3A,"1,194",6,319,"1,519"
Peabody,5,1,"1,343",58,538,"1,939"
Peabody,5,2,985,41,453,"1,479"
Peabody,5,3,"1,180",50,418,"1,648"
Peabody,6,1,"1,354",61,691,"2,106"
Peabody,6,2,"1,248",55,586,"1,889"
Peabody,6,3,"1,374",88,677,"2,139"
Reading,-,1,"1,566",0,691,"2,257"
Reading,-,2,"1,412",0,536,"1,948"
Reading,-,3,"1,475",0,650,"2,125"
Reading,-,4,"1,482",0,527,"2,009"
Reading,-,5,"1,463",0,550,"2,013"
Reading,-,6,"1,574",0,597,"2,171"
