City/Town,Ward,Pct,"James P. McGovern","Cornelius Shea","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Amherst,-,1A,915,103,7,36,"1,061"
Amherst,-,1B,477,50,4,25,556
Amherst,-,2A,547,64,2,28,641
Amherst,-,2B,"1,507",139,12,86,"1,744"
Amherst,-,3A,502,69,2,33,606
Amherst,-,3B,"1,405",155,8,64,"1,632"
Amherst,-,4A,762,61,7,33,863
Amherst,-,4B,486,31,0,19,536
Amherst,-,5A,603,49,0,41,693
Amherst,-,5B,"2,162",170,6,73,"2,411"
Ashfield,-,1,946,208,0,62,"1,216"
Ashland,-,1,977,405,0,116,"1,498"
Ashland,-,2,"1,387",486,0,140,"2,013"
Ashland,-,3,"1,035",374,0,105,"1,514"
Ashland,-,4,"1,009",408,0,104,"1,521"
Ashland,-,5,"1,074",416,0,108,"1,598"
Ashland,-,6,"1,206",417,0,139,"1,762"
Athol,-,1,"1,049",902,3,126,"2,080"
Athol,-,2,922,813,2,129,"1,866"
Athol,-,3,973,704,1,105,"1,783"
Auburn,-,1,"1,257",643,0,95,"1,995"
Auburn,-,2,"1,193",702,1,114,"2,010"
Auburn,-,3,"1,305",731,1,109,"2,146"
Auburn,-,4,"1,280",648,6,106,"2,040"
Auburn,-,5,"1,125",636,3,118,"1,882"
Barre,-,1,840,620,4,107,"1,571"
Barre,-,2,839,612,1,102,"1,554"
Bernardston,-,1,894,406,2,109,"1,411"
Boylston,-,1,"2,013","1,184",7,183,"3,387"
Buckland,-,1,822,257,2,62,"1,143"
Chesterfield,-,1,508,270,0,58,836
Colrain,-,1,669,305,0,76,"1,050"
Conway,-,1,986,275,0,49,"1,310"
Deerfield,-,1,"2,413",706,6,183,"3,308"
Douglas,-,1,915,850,0,162,"1,927"
Douglas,-,2,"1,009",868,0,157,"2,034"
Douglas,-,3,945,830,0,137,"1,912"
Erving,-,1,560,350,3,65,978
Gill,-,1,702,240,2,72,"1,016"
Goshen,-,1,426,204,0,41,671
Grafton,-,1,"1,350",718,4,137,"2,209"
Grafton,-,2,"1,483",725,4,133,"2,345"
Grafton,-,3,"1,417",709,2,115,"2,243"
Grafton,-,4,"1,253",620,4,122,"1,999"
Grafton,-,5,"1,648",715,4,126,"2,493"
Greenfield,-,1,746,318,2,60,"1,126"
Greenfield,-,2,961,308,2,64,"1,335"
Greenfield,-,3,837,283,2,74,"1,196"
Greenfield,-,4,858,230,5,59,"1,152"
Greenfield,-,5,947,172,4,64,"1,187"
Greenfield,-,6,850,162,6,34,"1,052"
Greenfield,-,7,646,214,4,53,917
Greenfield,-,8,680,187,5,49,921
Greenfield,-,9,490,160,1,41,692
Hadley,-,1,"2,397",713,1,231,"3,342"
Hardwick,-,1,825,626,2,131,"1,584"
Hatfield,-,1,"1,568",546,7,130,"2,251"
Heath,-,1,301,142,1,28,472
Holden,-,1,"1,200",771,0,110,"2,081"
Holden,-,2,"1,232",656,0,90,"1,978"
Holden,-,3,"1,343",702,0,105,"2,150"
