City/Town,Ward,Pct,"Eileen R. Duff","Michael C. Walsh","All Others",Blanks,"Total Votes Cast"
Lawrence,F,2,248,64,0,25,337
Lawrence,F,3,313,94,1,26,434
Lawrence,F,4,302,128,0,26,456
Lowell,1,1,339,224,1,50,614
Lowell,1,1A,0,0,0,0,0
Lowell,1,2,481,314,1,57,853
Lowell,1,3,619,396,1,76,"1,092"
Lowell,1,4,575,317,1,95,988
Lowell,2,1,263,142,2,68,475
Lowell,2,2,356,213,3,29,601
Lowell,2,3,480,291,2,41,814
Lowell,2,4,382,240,2,45,669
Lowell,3,1,364,153,0,47,564
Lowell,3,2,991,613,0,161,"1,765"
Lowell,3,3,740,462,2,110,"1,314"
Lowell,3,4,439,263,0,80,782
Lowell,4,1,319,75,0,24,418
Lowell,4,2,583,137,1,39,760
Lowell,4,3,178,37,0,32,247
Lowell,4,3A,112,26,1,5,144
Lowell,4,4,274,186,1,34,495
Lowell,4,4A,2,0,0,0,2
Lowell,5,1,406,197,1,32,636
Lowell,5,1A,89,26,0,1,116
Lowell,5,2,366,196,4,24,590
Lowell,5,3,233,104,1,21,359
Lowell,5,4,447,288,0,42,777
Lowell,6,1,333,166,0,53,552
Lowell,6,2,215,85,0,44,344
Lowell,6,3,171,54,0,27,252
Lowell,6,3A,28,29,0,11,68
Lowell,6,4,228,135,2,29,394
Lowell,6,4A,74,47,1,16,138
Lowell,7,1,268,122,1,27,418
Lowell,7,2,241,95,3,22,361
Lowell,7,3,330,77,1,35,443
Lowell,7,4,159,84,1,24,268
Lowell,8,1,346,178,0,41,565
Lowell,8,2,346,140,2,25,513
Lowell,8,3,597,390,0,100,"1,087"
Lowell,8,4,491,285,2,68,846
Lowell,8,4A,24,3,0,3,30
Manchester-by-the-Sea,,,"1,867",897,1,142,"2,907"
Merrimac,-,1,832,650,1,79,"1,562"
Merrimac,-,2,905,760,1,62,"1,728"
Methuen,-,1,327,199,1,30,557
Methuen,-,2,391,212,2,46,651
Methuen,-,3,546,473,0,54,"1,073"
Methuen,-,4,479,352,6,60,897
Methuen,-,5,550,464,1,64,"1,079"
Methuen,-,6,438,482,0,62,982
Methuen,-,6A,64,47,0,3,114
Methuen,-,7,663,623,0,89,"1,375"
Methuen,-,8,608,697,0,83,"1,388"
Methuen,-,9,571,691,1,101,"1,364"
Methuen,-,10,546,563,2,65,"1,176"
Methuen,-,11,679,872,1,111,"1,663"
Methuen,-,12,540,567,1,77,"1,185"
Methuen,-,13,363,364,1,38,766
Methuen,-,13A,221,174,1,19,415
Methuen,-,14,546,375,1,48,970
Methuen,-,15,421,255,2,42,720
Middleton,-,1,760,927,1,58,"1,746"
Middleton,-,2,498,629,1,42,"1,170"
Middleton,-,3,555,871,1,57,"1,484"
Newbury,-,1,"1,166",735,0,90,"1,991"
Newbury,-,2,"1,091",803,0,81,"1,975"
Newburyport,1,1,982,318,0,89,"1,389"
Newburyport,2,1,"1,171",371,2,102,"1,646"
Newburyport,3,1,"1,214",420,0,110,"1,744"
Newburyport,4,1,"1,179",445,0,90,"1,714"
Newburyport,5,1,857,516,0,74,"1,447"
Newburyport,6,1,949,547,1,90,"1,587"
Newburyport,1,P,218,154,0,21,393
"N. Andover",-,1,771,476,2,44,"1,293"
"N. Andover",-,2,895,596,1,69,"1,561"
"N. Andover",-,3,826,579,0,49,"1,454"
"N. Andover",-,4,"1,155",773,0,111,"2,039"
"N. Andover",-,5,497,337,0,33,867
"N. Andover",-,6,983,881,0,80,"1,944"
"N. Andover",-,7,986,641,1,80,"1,708"
"N. Andover",-,8,877,822,1,60,"1,760"
"N. Reading",-,1,836,888,0,117,"1,841"
"N. Reading",-,2,968,788,1,102,"1,859"
"N. Reading",-,3,842,836,0,107,"1,785"
"N. Reading",-,4,913,815,2,123,"1,853"
Peabody,1,1,694,524,3,38,"1,259"
Peabody,1,2,674,657,0,50,"1,381"
Peabody,1,3,645,701,2,54,"1,402"
Peabody,2,1,467,240,0,19,726
Peabody,2,2,412,257,0,22,691
Peabody,2,3,515,400,0,27,942
Peabody,3,1,334,188,0,15,537
Peabody,3,2,516,336,1,27,880
Peabody,3,3,571,425,2,39,"1,037"
Peabody,4,1,623,476,1,24,"1,124"
Peabody,4,2,384,323,0,18,725
Peabody,4,3,256,208,1,18,483
Peabody,4,3A,867,360,1,76,"1,304"
Peabody,5,1,747,696,0,55,"1,498"
Peabody,5,2,484,514,1,27,"1,026"
Peabody,5,3,511,525,0,34,"1,070"
Peabody,6,1,762,827,1,57,"1,647"
Peabody,6,2,590,775,1,56,"1,422"
Peabody,6,3,690,850,0,51,"1,591"
Pepperell,-,1,622,591,2,61,"1,276"
Pepperell,-,2,821,740,0,48,"1,609"
Pepperell,-,3,697,671,1,60,"1,429"
Pepperell,-,4,638,446,2,39,"1,125"
Rockport,-,1,782,256,0,43,"1,081"
Rockport,-,2,"1,032",341,0,51,"1,424"
Rockport,-,3,"1,224",486,0,80,"1,790"
Rowley,,,"1,552","1,543",3,105,"3,203"
Salem,1,1,"1,157",331,1,98,"1,587"
Salem,1,2,361,90,0,24,475
Salem,2,1,"1,110",242,0,80,"1,432"
Salem,2,2,"1,208",235,1,83,"1,527"
Salem,3,1,744,243,0,58,"1,045"
Salem,3,2,764,345,0,61,"1,170"
Salem,4,1,696,354,0,67,"1,117"
Salem,4,2,729,452,0,67,"1,248"
Salem,5,1,940,251,0,80,"1,271"
Salem,5,2,812,179,0,48,"1,039"
Salem,6,1,869,284,0,70,"1,223"
Salem,6,2,"1,006",308,0,53,"1,367"
Salem,7,1,600,223,0,46,869
Salem,7,2,881,366,0,85,"1,332"
Salisbury,-,1,716,595,1,62,"1,374"
Salisbury,-,2,680,632,0,60,"1,372"
Salisbury,-,3,560,701,0,49,"1,310"
Tewksbury,-,1,729,686,5,56,"1,476"
Tewksbury,-,2,861,846,0,55,"1,762"
Tewksbury,-,3,721,796,2,52,"1,571"
Tewksbury,-,4,808,703,1,65,"1,577"
Tewksbury,-,5,729,729,0,67,"1,525"
Tewksbury,-,5A,149,86,0,10,245
Tewksbury,-,6,750,843,0,38,"1,631"
Tewksbury,-,7,924,948,1,64,"1,937"
Tewksbury,-,8,840,795,0,72,"1,707"
Topsfield,-,1,884,784,0,86,"1,754"
Topsfield,-,2,870,655,1,82,"1,608"
Tyngsborough,-,1,651,619,0,65,"1,335"
Tyngsborough,-,2,592,569,0,74,"1,235"
Tyngsborough,-,3,601,493,0,64,"1,158"
Tyngsborough,-,4,813,698,0,99,"1,610"
Wenham,-,1,439,264,0,37,740
Wenham,-,1A,739,415,0,81,"1,235"
"W. Newbury",,,"1,545",944,1,96,"2,586"
Wilmington,-,1,949,804,0,66,"1,819"
Wilmington,-,2,852,823,1,88,"1,764"
Wilmington,-,3,817,788,1,75,"1,681"
Wilmington,-,4,892,833,2,52,"1,779"
Wilmington,-,5,844,731,0,65,"1,640"
Wilmington,-,6,887,894,1,82,"1,864"
TOTALS,,,"175,894","119,175",207,"14,885","310,161"
