City/Town,Ward,Pct,"Tara J. Jacobs","John M. Comerford","All Others",Blanks,"Total Votes Cast"
Hancock,,,182,163,1,8,354
Hatfield,,,"1,084",603,1,83,"1,771"
Hawley,,,99,52,0,7,158
Heath,,,234,115,0,14,363
Hinsdale,,,514,305,0,39,858
Holyoke,1,A,173,60,0,14,247
Holyoke,1,B,273,70,2,24,369
Holyoke,2,A,261,134,0,19,414
Holyoke,2,B,104,48,0,18,170
Holyoke,3,A,439,197,1,41,678
Holyoke,3,B,606,342,2,63,"1,013"
Holyoke,4,A,201,76,2,15,294
Holyoke,4,B,381,134,0,40,555
Holyoke,5,A,697,616,4,101,"1,418"
Holyoke,5,B,402,312,0,49,763
Holyoke,6,A,446,155,1,43,645
Holyoke,6,B,502,232,3,39,776
Holyoke,7,A,828,443,3,87,"1,361"
Holyoke,7,B,736,263,2,67,"1,068"
Huntington,,,393,479,0,24,896
Lanesborough,,,827,384,1,73,"1,285"
Lee,,,"1,599",694,1,122,"2,416"
Lenox,,,"1,936",455,1,155,"2,547"
Leverett,,,864,167,0,52,"1,083"
Leyden,,,252,129,0,14,395
Longmeadow,-,A,899,551,2,74,"1,526"
Longmeadow,-,B,810,522,1,69,"1,402"
Longmeadow,-,C,812,656,2,62,"1,532"
Longmeadow,-,D,799,615,1,60,"1,475"
Longmeadow,-,E,808,524,1,66,"1,399"
Ludlow,-,1,551,730,2,68,"1,351"
Ludlow,-,2,414,448,0,57,919
Ludlow,-,3,578,"1,003",0,81,"1,662"
Ludlow,-,4,586,682,0,73,"1,341"
Ludlow,-,5,459,623,2,69,"1,153"
Ludlow,-,6,656,879,3,85,"1,623"
Middlefield,,,151,93,0,13,257
Monroe,,,22,16,0,0,38
Montague,-,1,671,144,1,24,840
Montague,-,2,334,186,0,23,543
Montague,-,3,341,232,0,28,601
Montague,-,4,369,159,1,24,553
Montague,-,5,298,78,0,16,392
Montague,-,6,342,137,1,20,500
Monterey,,,387,94,0,19,500
Montgomery,,,172,255,0,21,448
"Mount Washington",,,79,20,0,7,106
"New Ashford",,,72,45,0,1,118
"New Marlborough",,,509,215,0,42,766
"New Salem",,,319,223,0,20,562
"N. Adams",1,1,598,233,0,36,867
"N. Adams",2,2,599,180,0,24,803
"N. Adams",3,3,424,116,0,16,556
"N. Adams",4,4,660,251,0,25,936
"N. Adams",5,5,537,177,0,26,740
Northampton,1,A,771,116,0,42,929
Northampton,1,B,930,111,0,67,"1,108"
Northampton,2,A,748,39,3,38,828
Northampton,2,B,566,53,0,32,651
Northampton,3,A,734,102,0,47,883
Northampton,3,B,875,90,0,44,"1,009"
Northampton,4,A,651,53,0,30,734
Northampton,4,B,955,117,0,50,"1,122"
Northampton,5,A,750,112,1,41,904
Northampton,5,B,931,127,0,54,"1,112"
Northampton,6,A,872,292,0,68,"1,232"
Northampton,6,B,949,214,0,58,"1,221"
Northampton,7,A,851,168,0,63,"1,082"
Northampton,7,B,873,170,0,62,"1,105"
Northfield,,,886,516,0,61,"1,463"
Orange,-,1,589,687,2,70,"1,348"
Orange,-,2,648,637,1,69,"1,355"
Otis,,,413,327,0,29,769
Palmer,-,1,477,713,0,41,"1,231"
Palmer,-,2,432,760,3,41,"1,236"
Palmer,-,3,411,482,0,36,929
Palmer,-,4,362,640,0,42,"1,044"
Pelham,,,612,90,1,35,738
Peru,,,181,156,0,27,364
Petersham,,,400,313,0,31,744
Pittsfield,1,A,494,156,0,32,682
Pittsfield,1,B,776,281,0,58,"1,115"
Pittsfield,2,A,329,95,0,24,448
Pittsfield,2,B,761,258,0,61,"1,080"
Pittsfield,3,A,879,250,0,75,"1,204"
Pittsfield,3,B,906,308,0,97,"1,311"
Pittsfield,4,A,920,280,1,54,"1,255"
Pittsfield,4,B,"1,102",360,0,93,"1,555"
Pittsfield,5,A,743,195,0,71,"1,009"
Pittsfield,5,B,787,273,0,59,"1,119"
Pittsfield,6,A,788,204,0,62,"1,054"
Pittsfield,6,B,543,169,0,40,752
Pittsfield,7,A,401,178,0,30,609
Pittsfield,7,B,724,240,0,77,"1,041"
Plainfield,,,248,105,0,15,368
Richmond,,,616,172,0,36,824
Rowe,,,113,94,0,6,213
Royalston,,,303,298,0,32,633
Russell,,,236,372,0,31,639
Sandisfield,,,205,139,0,14,358
Savoy,,,152,117,0,36,305
Sheffield,,,"1,046",403,0,85,"1,534"
Shelburne,,,620,241,0,160,"1,021"
Shutesbury,,,880,151,0,32,"1,063"
"S. Hadley",-,A,831,490,3,38,"1,362"
"S. Hadley",-,B,"1,036",580,2,59,"1,677"
"S. Hadley",-,C,955,680,0,57,"1,692"
"S. Hadley",-,D,646,299,2,31,978
"S. Hadley",-,E,967,678,2,60,"1,707"
Southampton,-,1,773,748,1,57,"1,579"
Southampton,-,2,715,764,33,58,"1,570"
Southwick,-,1,507,"1,022",0,69,"1,598"
Southwick,-,2,432,716,2,34,"1,184"
Southwick,-,3,503,871,1,56,"1,431"
Springfield,1,A,186,45,4,30,265
Springfield,1,B,203,69,0,22,294
Springfield,1,C,132,28,0,12,172
Springfield,1,C1,13,7,0,1,21
Springfield,1,D,156,27,2,7,192
Springfield,1,D1,41,8,0,5,54
Springfield,1,E,149,41,0,15,205
Springfield,1,F,215,51,0,10,276
Springfield,1,G,164,45,1,11,221
Springfield,1,H,316,70,2,16,404
Springfield,2,A,194,88,1,16,299
Springfield,2,B,365,184,2,57,608
Springfield,2,C,195,94,3,16,308
Springfield,2,D,332,138,1,30,501
Springfield,2,E,293,192,1,24,510
Springfield,2,F,333,130,0,17,480
Springfield,2,G,343,219,0,39,601
Springfield,2,H,367,212,1,21,601
Springfield,3,A,180,48,0,10,238
Springfield,3,B,176,36,0,13,225
Springfield,3,C,151,46,0,8,205
Springfield,3,D,183,39,0,9,231
Springfield,3,E,102,30,0,9,141
Springfield,3,F,145,53,0,14,212
Springfield,3,G,116,40,1,8,165
Springfield,3,H,150,65,1,9,225
Springfield,4,A,421,75,5,21,522
Springfield,4,B,229,37,0,9,275
Springfield,4,C,189,24,0,11,224
Springfield,4,D,190,41,0,9,240
Springfield,4,E,212,19,0,10,241
Springfield,4,F,80,14,0,5,99
Springfield,4,G,283,51,2,26,362
Springfield,4,H,293,29,1,17,340
Springfield,5,A,335,69,1,30,435
Springfield,5,B,396,143,1,13,553
Springfield,5,C,270,159,2,28,459
Springfield,5,C1,5,4,0,2,11
Springfield,5,D,478,330,0,44,852
Springfield,5,E,451,130,4,29,614
Springfield,5,F,477,184,1,46,708
Springfield,5,G,501,340,1,32,874
Springfield,5,H,384,228,1,25,638
Springfield,6,A,257,90,1,14,362
Springfield,6,B,426,166,0,42,634
Springfield,6,C,295,172,3,23,493
Springfield,6,D,471,307,0,46,824
Springfield,6,D1,22,11,0,1,34
Springfield,6,E,194,66,0,13,273
Springfield,6,F,237,68,1,19,325
Springfield,6,G,320,152,0,22,494
Springfield,6,H,375,239,1,24,639
Springfield,7,A,421,261,0,34,716
Springfield,7,A1,19,6,0,0,25
Springfield,7,B,562,337,2,59,960
Springfield,7,B1,1,4,0,1,6
Springfield,7,C,525,326,2,44,897
Springfield,7,D,357,305,0,41,703
Springfield,7,E,252,125,0,21,398
Springfield,7,F,562,326,3,58,949
Springfield,7,G,515,415,3,44,977
Springfield,7,H,217,126,1,35,379
Springfield,7,H1,35,34,0,4,73
Springfield,8,A,304,212,1,22,539
Springfield,8,B,322,145,0,16,483
Springfield,8,B1,24,20,0,2,46
Springfield,8,C,338,122,1,28,489
Springfield,8,D,182,70,0,13,265
Springfield,8,E,176,91,1,12,280
Springfield,8,F,283,157,2,10,452
Springfield,8,G,289,184,0,23,496
Springfield,8,G1,6,7,0,1,14
Springfield,8,H,323,123,0,23,469
Stockbridge,,,835,179,0,55,"1,069"
Sunderland,,,981,336,1,66,"1,384"
Tolland,,,97,146,0,6,249
Tyringham,,,172,57,0,16,245
Warren,-,A,506,792,0,56,"1,354"
Warren,-,B,180,249,0,20,449
Warwick,,,243,135,0,25,403
Washington,,,180,88,0,17,285
Wendell,,,373,92,0,19,484
"W. Springfield",-,1,186,172,0,17,375
"W. Springfield",-,2,308,226,0,22,556
"W. Springfield",-,3,495,427,0,44,966
"W. Springfield",-,4,562,443,0,58,"1,063"
"W. Springfield",-,5,732,787,1,106,"1,626"
"W. Springfield",-,6,636,739,1,95,"1,471"
"W. Springfield",-,7,599,748,1,96,"1,444"
"W. Springfield",-,8,507,475,0,75,"1,057"
"W. Stockbridge",,,583,127,0,40,750
Westfield,1,A,655,801,0,97,"1,553"
Westfield,1,B,550,729,0,93,"1,372"
Westfield,2,A,310,202,1,25,538
Westfield,2,A1,21,17,0,2,40
Westfield,2,B,470,410,1,54,935
Westfield,3,A,374,287,0,36,697
Westfield,3,B,595,553,2,92,"1,242"
Westfield,4,A,228,370,0,33,631
Westfield,4,B,702,810,2,111,"1,625"
Westfield,5,A,662,861,0,109,"1,632"
Westfield,5,B,598,877,0,84,"1,559"
Westfield,6,A,545,727,0,67,"1,339"
Westfield,6,B,439,574,0,36,"1,049"
Westfield,6,B1,25,47,0,5,77
Westhampton,,,569,366,0,39,974
Whately,,,539,326,0,35,900
Wilbraham,-,A,786,840,0,72,"1,698"
Wilbraham,-,B,702,785,2,62,"1,551"
Wilbraham,-,C,709,928,1,58,"1,696"
Wilbraham,-,D,773,931,1,83,"1,788"
Williamsburg,,,"1,116",278,0,59,"1,453"
Williamstown,-,1,"1,018",169,0,35,"1,222"
Williamstown,-,2,295,32,0,14,341
Williamstown,-,3,"1,131",185,0,45,"1,361"
Winchendon,-,1,395,571,1,32,999
Winchendon,-,2,511,662,3,54,"1,230"
Winchendon,-,3,500,659,0,55,"1,214"
Windsor,,,248,131,0,18,397
Worthington,,,440,230,0,21,691
TOTALS,,,"170,120","104,839",235,"13,885","289,079"
