City/Town,Ward,Pct,"Joseph C. Ferreira","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acushnet,-,1,828,14,406,"1,248"
Acushnet,-,2,800,14,455,"1,269"
Acushnet,-,2A,90,0,47,137
Acushnet,-,3,954,16,534,"1,504"
Aquinnah,,,217,0,46,263
Barnstable,-,1,"1,443",20,675,"2,138"
Barnstable,-,2,"1,348",23,589,"1,960"
Barnstable,-,3,908,31,375,"1,314"
Barnstable,-,4,"1,243",32,544,"1,819"
Barnstable,-,5,"1,363",23,798,"2,184"
Barnstable,-,6,"1,320",27,560,"1,907"
Barnstable,-,7,"1,511",30,694,"2,235"
Barnstable,-,8,733,33,275,"1,041"
Barnstable,-,9,423,19,129,571
Barnstable,-,10,"1,066",20,561,"1,647"
Barnstable,-,11,"1,287",20,721,"2,028"
Barnstable,-,12,"1,316",17,635,"1,968"
Barnstable,-,13,733,16,365,"1,114"
Berkley,-,1,886,57,613,"1,556"
Berkley,-,2,720,49,494,"1,263"
Bourne,-,1,889,14,532,"1,435"
Bourne,-,2,912,22,544,"1,478"
Bourne,-,3,418,16,241,675
Bourne,-,4,"1,091",27,551,"1,669"
Bourne,-,5,851,3,450,"1,304"
Bourne,-,5A,153,9,86,248
Bourne,-,6,766,17,425,"1,208"
Bourne,-,7,766,48,357,"1,171"
Brewster,-,1,"1,533",22,585,"2,140"
Brewster,-,2,"1,431",13,458,"1,902"
Brewster,-,3,"1,397",19,538,"1,954"
Carver,-,1,"1,033",3,627,"1,663"
Carver,-,2,950,2,635,"1,587"
Carver,-,3,"1,136",1,681,"1,818"
Chatham,-,1,"1,369",36,624,"2,029"
Chatham,-,2,"1,326",33,686,"2,045"
Chilmark,,,634,3,121,758
Dartmouth,-,1,912,44,602,"1,558"
Dartmouth,-,2,728,17,339,"1,084"
Dartmouth,-,3,119,10,55,184
Dartmouth,-,4,927,22,443,"1,392"
Dartmouth,-,5,"1,015",21,504,"1,540"
Dartmouth,-,6,860,29,363,"1,252"
