City/Town,Ward,Pct,"Robert L. Jubinville","Dashe M. Videira","All Others",Blanks,"Total Votes Cast"
Medway,-,1,797,585,0,70,"1,452"
Medway,-,2,894,593,2,66,"1,555"
Medway,-,3,933,629,2,91,"1,655"
Medway,-,4,856,600,0,91,"1,547"
Milford,-,1,380,270,0,44,694
Milford,-,2,650,514,0,89,"1,253"
Milford,-,3,527,460,0,81,"1,068"
Milford,-,4,399,313,0,61,773
Milford,-,5,789,716,0,113,"1,618"
Milford,-,6,697,470,0,107,"1,274"
Milford,-,7,897,653,0,118,"1,668"
Milford,-,8,823,495,0,103,"1,421"
Millis,-,1,775,492,0,66,"1,333"
Millis,-,2,727,574,0,92,"1,393"
Millis,-,3,"1,010",647,0,116,"1,773"
Milton,-,1,937,139,2,70,"1,148"
Milton,-,2,"1,095",178,1,126,"1,400"
Milton,-,3,"1,022",251,0,139,"1,412"
Milton,-,4,587,152,1,55,795
Milton,-,4A,351,66,1,46,464
Milton,-,5,786,233,1,108,"1,128"
Milton,-,6,910,354,0,124,"1,388"
Milton,-,7,843,296,0,125,"1,264"
Milton,-,8,967,357,2,119,"1,445"
Milton,-,9,894,406,2,157,"1,459"
Milton,-,10,727,146,0,61,934
Natick,-,1,656,209,0,44,909
Natick,-,2,"1,109",394,2,99,"1,604"
Natick,-,3,"1,067",406,0,118,"1,591"
Natick,-,4,"1,082",346,0,82,"1,510"
Natick,-,5,"1,102",446,0,117,"1,665"
Natick,-,6,"1,068",401,1,97,"1,567"
Natick,-,7,"1,383",434,2,95,"1,914"
Natick,-,8,"1,219",410,0,126,"1,755"
Natick,-,9,"1,254",371,1,143,"1,769"
Natick,-,10,"1,449",499,0,161,"2,109"
Needham,-,A,860,327,2,106,"1,295"
Needham,-,B,"1,071",380,1,107,"1,559"
Needham,-,C,"1,065",347,1,140,"1,553"
Needham,-,D,990,368,1,113,"1,472"
Needham,-,E,"1,120",371,2,148,"1,641"
Needham,-,F,"1,066",301,2,132,"1,501"
Needham,-,G,"1,135",372,1,151,"1,659"
Needham,-,H,"1,099",392,2,123,"1,616"
Needham,-,I,"1,239",313,1,157,"1,710"
Needham,-,J,"1,088",309,2,93,"1,492"
Norfolk,-,1,458,393,1,54,906
Norfolk,-,2,803,734,3,92,"1,632"
Norfolk,-,3,685,626,4,72,"1,387"
Norfolk,-,4,745,610,2,95,"1,452"
"N. Attleborough",-,1,490,335,0,51,876
"N. Attleborough",-,2,685,539,0,74,"1,298"
"N. Attleborough",-,3,603,675,0,77,"1,355"
"N. Attleborough",-,4,601,391,1,53,"1,046"
"N. Attleborough",-,5,610,492,0,59,"1,161"
"N. Attleborough",-,6,739,607,1,85,"1,432"
"N. Attleborough",-,7,825,737,1,69,"1,632"
"N. Attleborough",-,8,688,616,0,77,"1,381"
"N. Attleborough",-,9,616,555,1,67,"1,239"
Norton,-,1,794,735,2,128,"1,659"
Norton,-,2,771,730,1,99,"1,601"
Norton,-,3,750,694,1,94,"1,539"
Norton,-,4,824,713,0,100,"1,637"
Norton,-,5,467,450,0,69,986
Plainville,-,1,584,614,1,55,"1,254"
Plainville,-,2,697,649,0,64,"1,410"
Plainville,-,3,711,737,3,67,"1,518"
Randolph,-,1,744,204,3,82,"1,033"
Randolph,-,2,596,149,1,52,798
Randolph,-,3,511,105,2,53,671
Randolph,-,4,636,188,0,61,885
Randolph,-,5,662,176,5,67,910
Randolph,-,6,371,75,1,23,470
Randolph,-,7,565,155,0,57,777
Randolph,-,8,550,173,5,42,770
Randolph,-,9,639,149,1,56,845
Randolph,-,10,630,189,2,49,870
Randolph,-,11,562,226,2,58,848
Randolph,-,12,543,168,2,56,769
Sharon,-,1,"1,247",343,2,136,"1,728"
Sharon,-,2,"1,041",368,2,118,"1,529"
Sharon,-,3,"1,173",399,0,119,"1,691"
Sharon,-,4,"1,144",333,1,123,"1,601"
Sharon,-,5,"1,052",416,1,122,"1,591"
Sherborn,,,"1,507",550,0,163,"2,220"
Stoughton,-,1,756,422,2,75,"1,255"
Stoughton,-,2,692,371,0,98,"1,161"
Stoughton,-,2A,108,43,0,11,162
Stoughton,-,3,862,428,1,85,"1,376"
Stoughton,-,4,903,573,0,122,"1,598"
Stoughton,-,4A,66,31,0,6,103
Stoughton,-,5,665,415,0,71,"1,151"
Stoughton,-,5A,51,40,0,5,96
Stoughton,-,6,903,433,0,88,"1,424"
Stoughton,-,7,795,371,0,71,"1,237"
Stoughton,-,7A,44,12,0,4,60
Stoughton,-,8,541,254,0,42,837
Stoughton,-,8A,31,24,0,4,59
"W. Bridgewater",-,1,706,780,0,125,"1,611"
"W. Bridgewater",-,2,745,809,1,113,"1,668"
Whitman,-,1,930,728,1,101,"1,760"
Whitman,-,2,710,683,2,79,"1,474"
Whitman,-,3,780,694,0,75,"1,549"
Whitman,-,4,767,651,2,99,"1,519"
Wrentham,-,1,659,719,0,84,"1,462"
Wrentham,-,2,698,786,1,94,"1,579"
Wrentham,-,3,691,694,1,86,"1,472"
Wrentham,-,4,630,793,2,73,"1,498"
TOTALS,,,"194,480","112,941",183,"21,549","329,153"
