City/Town,Ward,Pct,"Terrence W. Kennedy","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,559,18,162,739
Boston,1,2,383,11,100,494
Boston,1,3,"1,129",17,252,"1,398"
Boston,1,4,383,10,113,506
Boston,1,5,479,8,130,617
Boston,1,6,369,8,113,490
Boston,1,7,404,13,113,530
Boston,1,8,479,16,142,637
Boston,1,9,379,9,95,483
Boston,1,10,240,8,48,296
Boston,1,11,503,26,180,709
Boston,1,12,460,29,191,680
Boston,1,13,585,15,238,838
Boston,1,14,256,10,144,410
Boston,2,1,796,17,296,"1,109"
Boston,2,2,779,9,249,"1,037"
Boston,2,3,880,29,323,"1,232"
Boston,2,4,812,15,249,"1,076"
Boston,2,5,873,15,242,"1,130"
Boston,2,6,706,17,228,951
Boston,2,7,485,8,134,627
Boston,2,8,343,4,117,464
Boston,3,1,684,19,248,951
Boston,3,2,701,18,273,992
Boston,3,3,469,10,131,610
Boston,3,4,459,11,177,647
Boston,3,5,678,15,199,892
Boston,3,6,411,13,131,555
Boston,3,9,456,11,163,630
Boston,3,10,775,9,166,950
Boston,3,11,597,18,202,817
Boston,3,12,647,13,324,984
Boston,3,13,404,8,187,599
Boston,3,17,505,9,149,663
Boston,4,6,509,11,166,686
Boston,4,7,420,10,111,541
Boston,4,8,386,10,118,514
Boston,5,3,866,20,261,"1,147"
Boston,5,4,495,5,76,576
Boston,5,5,593,15,242,850
Boston,5,6,651,19,268,938
Boston,5,7,828,10,295,"1,133"
Boston,5,8,749,21,253,"1,023"
Boston,5,9,749,26,215,990
Boston,5,11,324,5,82,411
Cambridge,1,1,537,3,88,628
Cambridge,1,2,238,3,61,302
Cambridge,1,2A,20,2,5,27
Cambridge,1,3,916,2,172,"1,090"
Cambridge,2,1,970,6,182,"1,158"
Cambridge,2,2,849,10,228,"1,087"
Cambridge,2,3,790,4,150,944
Cambridge,2,3A,81,0,16,97
Cambridge,3,1,687,5,150,842
Cambridge,3,2,945,6,175,"1,126"
Cambridge,3,3,599,3,125,727
Cambridge,3,3A,358,4,55,417
Cambridge,4,1,"1,183",5,248,"1,436"
Cambridge,4,2,959,2,175,"1,136"
Cambridge,4,2A,155,2,30,187
Cambridge,4,3,"1,075",2,207,"1,284"
Cambridge,5,1,974,3,213,"1,190"
Cambridge,5,2,140,1,23,164
Cambridge,5,3,990,8,173,"1,171"
Cambridge,6,1,925,1,168,"1,094"
Cambridge,6,1A,297,2,49,348
Cambridge,6,2,636,7,115,758
Cambridge,6,3,"1,241",11,258,"1,510"
Cambridge,7,1,"1,120",2,194,"1,316"
Cambridge,7,2,724,5,166,895
Cambridge,7,2A,27,0,7,34
Cambridge,7,3,291,1,46,338
Cambridge,8,1,995,6,181,"1,182"
Cambridge,8,3,260,3,40,303
Cambridge,10,1,853,5,193,"1,051"
Cambridge,10,1A,545,2,122,669
Cambridge,10,2,"1,422",8,303,"1,733"
Cambridge,10,3,"1,007",3,215,"1,225"
Cambridge,11,1,378,1,57,436
Cambridge,11,1A,419,2,100,521
Cambridge,11,2,693,3,125,821
Cambridge,11,3,"1,090",11,236,"1,337"
Cambridge,11,3A,121,0,23,144
Chelsea,1,1,201,0,84,285
Chelsea,1,2,119,0,46,165
Chelsea,1,3,183,0,47,230
Chelsea,1,4,162,0,31,193
Chelsea,2,1,558,0,234,792
Chelsea,2,2,247,0,41,288
Chelsea,2,3,133,0,38,171
Chelsea,2,4,259,0,57,316
Chelsea,3,1,241,0,69,310
Chelsea,3,2,298,0,79,377
Chelsea,3,3,228,0,68,296
Chelsea,3,4,223,0,64,287
Chelsea,4,1,314,0,63,377
Chelsea,4,2,294,0,114,408
Chelsea,4,3,305,0,136,441
Chelsea,4,4,257,0,108,365
Everett,1,1,355,11,117,483
Everett,1,2,217,13,76,306
Everett,1,3,146,4,51,201
Everett,1,3A,100,3,38,141
Everett,2,1,364,13,124,501
Everett,2,2,175,8,52,235
Everett,2,2A,138,5,45,188
Everett,2,3,311,8,90,409
Everett,3,1,472,18,161,651
Everett,3,2,391,10,126,527
Everett,3,3,235,13,86,334
Everett,4,1,453,12,127,592
Everett,4,2,353,21,146,520
Everett,4,3,350,10,128,488
Everett,5,1,341,14,110,465
Everett,5,2,316,6,93,415
Everett,5,3,300,4,121,425
Everett,6,1,390,18,113,521
Everett,6,2,317,14,99,430
Everett,6,3,417,7,105,529
Lynn,1,1,"1,071",47,604,"1,722"
Lynn,1,2,761,29,423,"1,213"
Lynn,1,2A,164,6,92,262
Lynn,1,3,858,40,358,"1,256"
Lynn,1,4,669,33,208,910
Lynn,2,1,909,33,381,"1,323"
Lynn,2,2,513,18,125,656
Lynn,2,3,306,4,85,395
Lynn,2,4,301,7,68,376
Lynn,3,1,571,30,221,822
Lynn,3,2,374,17,86,477
Lynn,3,3,607,19,158,784
Lynn,3,4,628,17,154,799
Lynn,4,1,230,12,56,298
Lynn,4,2,239,3,50,292
Lynn,4,3,385,7,82,474
Lynn,4,3A,76,2,12,90
Lynn,4,4,536,11,162,709
Lynn,5,1,620,17,223,860
Lynn,5,2,287,14,51,352
Lynn,5,3,213,10,55,278
Lynn,5,4,537,19,149,705
Lynn,6,1,354,17,94,465
Lynn,6,2,219,12,35,266
Lynn,6,3,285,10,60,355
Lynn,6,4,473,19,155,647
Lynn,7,1,747,15,291,"1,053"
Lynn,7,2,709,31,242,982
Lynn,7,3,395,15,139,549
Lynn,7,4,489,16,147,652
Lynnfield,-,1,959,16,520,"1,495"
Lynnfield,-,2,"1,017",11,453,"1,481"
Lynnfield,-,3,967,6,474,"1,447"
Lynnfield,-,4,968,17,608,"1,593"
Malden,1,1,381,6,71,458
Malden,1,2,450,9,140,599
Malden,1,3,478,17,140,635
Malden,2,1,387,17,78,482
Malden,2,2,378,15,161,554
Malden,2,3,513,12,178,703
Malden,3,1,333,5,125,463
Malden,3,1A,394,5,165,564
Malden,3,2,504,15,143,662
Malden,3,3,658,17,217,892
Malden,4,1,441,9,104,554
Malden,4,2,290,6,86,382
Malden,4,3,440,10,92,542
Malden,5,1,484,17,142,643
Malden,5,2,736,15,257,"1,008"
Malden,5,3,283,21,69,373
Malden,5,3A,142,0,21,163
Malden,6,1,684,25,230,939
Malden,6,2,433,14,141,588
Malden,6,3,469,19,151,639
Malden,7,1,378,6,95,479
Malden,7,2,372,7,101,480
Malden,7,3,238,4,78,320
Malden,7,3A,170,9,41,220
Malden,8,1,544,13,179,736
Malden,8,2,440,15,107,562
Malden,8,3,329,8,101,438
Marblehead,-,1,"1,300",8,592,"1,900"
Marblehead,-,2,"1,301",1,478,"1,780"
Marblehead,-,3,"1,147",9,468,"1,624"
Marblehead,-,4,"1,218",10,604,"1,832"
Marblehead,-,5,"1,185",9,487,"1,681"
Marblehead,-,6,"1,263",15,541,"1,819"
Medford,1,1,939,0,329,"1,268"
Medford,1,2,"1,076",0,351,"1,427"
Medford,2,1,907,0,360,"1,267"
Medford,2,2,"1,269",0,577,"1,846"
Medford,3,1,"1,216",0,528,"1,744"
Medford,3,2,"1,326",0,629,"1,955"
Medford,4,1,525,0,141,666
Medford,4,2,"1,128",0,370,"1,498"
Medford,5,1,"1,023",0,260,"1,283"
Medford,5,2,993,0,206,"1,199"
Medford,6,1,"1,322",0,398,"1,720"
Medford,6,2,"1,151",0,428,"1,579"
Medford,6,2A,46,0,35,81
Medford,7,1,567,0,149,716
Medford,7,2,668,0,168,836
Medford,7,2A,71,0,31,102
Medford,8,1,"1,130",0,385,"1,515"
Medford,8,2,899,0,341,"1,240"
Melrose,1,1,817,9,303,"1,129"
Melrose,1,2,640,7,263,910
Melrose,2,1,742,14,351,"1,107"
Melrose,2,2,704,21,250,975
Melrose,3,1,663,11,234,908
Melrose,3,2,685,14,288,987
Melrose,4,1,640,12,229,881
Melrose,4,2,721,21,374,"1,116"
Melrose,5,1,506,6,143,655
Melrose,5,2,532,10,112,654
Melrose,6,1,670,11,211,892
Melrose,6,2,808,14,319,"1,141"
Melrose,7,1,710,20,268,998
Melrose,7,2,758,29,297,"1,084"
Nahant,,,"1,382",33,560,"1,975"
Reading,-,1,"1,131",0,624,"1,755"
Reading,-,2,994,0,461,"1,455"
Reading,-,3,"1,118",0,542,"1,660"
Reading,-,4,"1,088",0,484,"1,572"
Reading,-,5,"1,065",0,467,"1,532"
Reading,-,6,"1,098",0,538,"1,636"
Reading,-,7,"1,091",0,553,"1,644"
Reading,-,8,963,0,544,"1,507"
Revere,1,1,543,18,200,761
Revere,1,2,493,21,202,716
Revere,1,3,396,11,141,548
Revere,2,1,352,8,91,451
Revere,2,2,400,13,130,543
Revere,2,3,116,6,25,147
Revere,2,3A,26,0,8,34
Revere,3,1,327,16,184,527
Revere,3,2,357,17,160,534
Revere,3,3,375,15,179,569
Revere,4,1,448,21,239,708
Revere,4,2,359,18,157,534
Revere,4,3,446,23,233,702
Revere,5,1,696,21,378,"1,095"
Revere,5,2,474,23,190,687
Revere,5,3,339,18,143,500
Revere,6,1,478,32,357,867
Revere,6,2,460,20,338,818
Revere,6,3,401,11,169,581
Saugus,-,1,662,0,383,"1,045"
Saugus,-,2,599,0,361,960
Saugus,-,3,607,0,391,998
Saugus,-,4,612,0,393,"1,005"
Saugus,-,5,676,0,513,"1,189"
Saugus,-,6,633,0,368,"1,001"
Saugus,-,7,640,0,512,"1,152"
Saugus,-,8,616,0,424,"1,040"
Saugus,-,9,695,0,465,"1,160"
Saugus,-,10,563,0,323,886
Somerville,1,1,642,21,141,804
Somerville,1,2,562,12,117,691
Somerville,1,3,579,13,116,708
Somerville,1,4,381,6,76,463
Somerville,1,4A,231,6,31,268
Somerville,2,1,549,4,74,627
Somerville,2,1A,250,1,48,299
Somerville,2,2,886,8,143,"1,037"
Somerville,2,3,834,6,152,992
Somerville,2,4,956,8,146,"1,110"
Somerville,3,1,986,16,161,"1,163"
Somerville,3,2,868,19,180,"1,067"
Somerville,3,3,"1,051",10,178,"1,239"
Somerville,3,4,908,8,187,"1,103"
Somerville,4,1,630,12,173,815
Somerville,4,2,518,10,94,622
Somerville,4,2A,196,3,41,240
Somerville,4,3,906,12,164,"1,082"
Somerville,4,4,517,9,122,648
Somerville,5,1,967,10,212,"1,189"
Somerville,5,2,"1,032",17,178,"1,227"
Somerville,5,3,"1,039",7,189,"1,235"
Somerville,5,4,"1,114",13,173,"1,300"
Somerville,6,1,"1,069",15,172,"1,256"
Somerville,6,2,"1,164",17,231,"1,412"
Somerville,6,3,300,3,49,352
Somerville,6,3A,155,2,41,198
Somerville,6,4,"1,134",14,222,"1,370"
Somerville,7,1,"1,205",12,178,"1,395"
Somerville,7,2,806,7,124,937
Somerville,7,3,744,9,174,927
Somerville,7,4,854,15,175,"1,044"
Stoneham,-,1,903,25,402,"1,330"
Stoneham,-,2,979,27,430,"1,436"
Stoneham,-,3,"1,048",24,559,"1,631"
Stoneham,-,4,889,44,484,"1,417"
Stoneham,-,5,"1,010",39,535,"1,584"
Stoneham,-,6,"1,145",41,524,"1,710"
Stoneham,-,7,901,30,434,"1,365"
