City/Town,Ward,Pct,"William Francis Galvin","Rayla Campbell","Juan G. Sanchez, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Green-Rainbow
Plymouth,-,7,969,544,31,0,13,"1,557"
Plymouth,-,8,"1,064",713,32,1,23,"1,833"
Plymouth,-,9,772,585,31,0,10,"1,398"
Plymouth,-,10,944,649,18,2,18,"1,631"
Plymouth,-,11,"1,012",696,25,1,32,"1,766"
Plymouth,-,12,712,564,24,0,15,"1,315"
Plymouth,-,13,"1,045",611,20,0,9,"1,685"
Plymouth,-,14,911,764,29,0,28,"1,732"
Plymouth,-,15,"1,810",779,15,0,30,"2,634"
Plymouth,-,16,"1,383",703,27,0,14,"2,127"
Plymouth,-,17,"1,056",689,44,0,17,"1,806"
Plymouth,-,18,639,479,9,1,17,"1,145"
Plympton,,,761,678,35,0,19,"1,493"
Princeton,,,"1,231",624,67,3,35,"1,960"
Provincetown,,,"2,032",125,67,0,13,"2,237"
Quincy,1,1,586,232,31,0,25,874
Quincy,1,2,511,201,25,0,39,776
Quincy,1,3,740,168,34,1,27,970
Quincy,1,4,"1,038",484,49,2,33,"1,606"
Quincy,1,5,"1,011",498,38,0,29,"1,576"
Quincy,2,1,503,183,29,0,19,734
Quincy,2,2,564,186,25,0,19,794
Quincy,2,3,402,149,17,0,28,596
Quincy,2,4,508,205,23,1,10,747
Quincy,2,5,716,255,30,0,32,"1,033"
Quincy,3,1,900,276,39,0,32,"1,247"
Quincy,3,2,738,251,37,1,32,"1,059"
Quincy,3,3,595,232,24,1,27,879
Quincy,3,4,904,340,39,0,27,"1,310"
Quincy,3,5,518,161,41,0,23,743
Quincy,4,1,619,214,24,1,15,873
Quincy,4,2,793,342,30,2,29,"1,196"
Quincy,4,3,838,394,38,1,34,"1,305"
Quincy,4,4,540,143,34,1,15,733
Quincy,4,5,552,202,25,0,11,790
Quincy,5,1,334,98,21,0,7,460
Quincy,5,1A,230,70,9,0,11,320
Quincy,5,2,670,174,37,1,43,925
Quincy,5,3,848,243,37,1,26,"1,155"
Quincy,5,4,623,203,33,1,22,882
Quincy,5,5,865,306,35,0,27,"1,233"
Quincy,6,1,655,241,37,0,21,954
Quincy,6,2,556,162,29,0,16,763
Quincy,6,3,811,328,16,1,30,"1,186"
Quincy,6,4,617,182,32,1,21,853
Quincy,6,5,"1,172",513,31,1,44,"1,761"
Randolph,-,1,794,189,26,0,24,"1,033"
Randolph,-,2,615,145,18,0,20,798
Randolph,-,3,522,111,19,1,18,671
Randolph,-,4,677,178,18,0,12,885
Randolph,-,5,693,161,27,2,27,910
Randolph,-,6,384,69,11,2,4,470
Randolph,-,7,594,159,12,0,12,777
Randolph,-,8,564,164,18,2,22,770
Randolph,-,9,682,131,18,1,13,845
Randolph,-,10,650,188,18,0,14,870
Randolph,-,11,610,191,22,2,23,848
Randolph,-,12,573,156,22,1,17,769
Raynham,-,1,858,596,20,0,37,"1,511"
Raynham,-,2,520,376,18,0,15,929
Raynham,-,2A,293,293,13,0,9,608
Raynham,-,3,912,716,20,0,34,"1,682"
Raynham,-,4,755,616,24,0,25,"1,420"
Raynham,-,4A,22,25,0,0,0,47
Reading,-,1,"1,153",527,35,0,40,"1,755"
Reading,-,2,966,428,33,0,28,"1,455"
Reading,-,3,"1,106",503,22,0,29,"1,660"
Reading,-,4,"1,124",399,13,0,36,"1,572"
Reading,-,5,"1,090",382,29,0,31,"1,532"
Reading,-,6,"1,131",458,21,0,26,"1,636"
Reading,-,7,"1,167",426,18,0,33,"1,644"
Reading,-,8,971,480,19,0,37,"1,507"
Rehoboth,-,1,644,686,27,0,19,"1,376"
Rehoboth,-,2,658,613,25,0,21,"1,317"
Rehoboth,-,3,636,708,30,0,23,"1,397"
Rehoboth,-,4,630,670,20,0,19,"1,339"
Revere,1,1,506,204,29,0,22,761
Revere,1,2,465,196,27,1,27,716
Revere,1,3,376,111,27,0,34,548
Revere,2,1,305,106,26,0,14,451
Revere,2,2,371,120,26,0,26,543
Revere,2,3,98,32,9,1,7,147
Revere,2,3A,23,4,2,0,5,34
Revere,3,1,312,185,11,0,19,527
Revere,3,2,325,171,19,1,18,534
Revere,3,3,352,167,22,1,27,569
Revere,4,1,411,250,26,1,20,708
Revere,4,2,299,189,27,0,19,534
Revere,4,3,416,226,24,1,35,702
Revere,5,1,701,320,34,0,40,"1,095"
Revere,5,2,458,176,31,1,21,687
Revere,5,3,315,149,17,2,17,500
Revere,6,1,436,361,25,4,41,867
Revere,6,2,420,315,34,0,49,818
Revere,6,3,365,176,22,1,17,581
Richmond,,,630,154,24,1,15,824
Rochester,,,"1,319","1,481",40,1,48,"2,889"
Rockland,-,1,797,459,18,0,14,"1,288"
Rockland,-,2,747,517,22,0,25,"1,311"
Rockland,-,3,555,349,18,1,11,934
Rockland,-,4,593,407,14,2,10,"1,026"
Rockland,-,5,631,484,14,2,13,"1,144"
Rockland,-,6,726,496,16,0,19,"1,257"
Rockport,-,1,814,233,21,0,13,"1,081"
