City/Town,Ward,Pct,"William Francis Galvin","Rayla Campbell","Juan G. Sanchez, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Green-Rainbow
Sturbridge,-,3,797,548,36,0,16,"1,397"
Sudbury,-,1,"1,196",354,22,0,22,"1,594"
Sudbury,-,2,"1,204",303,38,0,33,"1,578"
Sudbury,-,3,"1,032",334,20,0,22,"1,408"
Sudbury,-,4,"1,161",309,31,0,30,"1,531"
Sudbury,-,5,"1,091",329,38,0,32,"1,490"
Sudbury,-,6,"1,172",326,28,0,23,"1,549"
Sunderland,,,"1,036",238,89,0,21,"1,384"
Sutton,-,1,837,708,19,0,29,"1,593"
Sutton,-,2,736,724,25,1,21,"1,507"
Sutton,-,3,846,612,22,0,19,"1,499"
Swampscott,-,1,737,283,31,0,15,"1,066"
Swampscott,-,2,740,310,17,0,33,"1,100"
Swampscott,-,3,928,198,24,2,23,"1,175"
Swampscott,-,4,957,278,29,1,29,"1,294"
Swampscott,-,5,872,305,37,1,33,"1,248"
Swampscott,-,6,902,245,28,0,35,"1,210"
Swansea,-,1,640,684,22,0,17,"1,363"
Swansea,-,2,756,549,35,0,21,"1,361"
Swansea,-,3,767,572,23,0,18,"1,380"
Swansea,-,4,724,645,20,0,30,"1,419"
Swansea,-,5,670,705,30,0,24,"1,429"
Taunton,1,A,532,268,25,2,22,849
Taunton,1,A1,36,4,0,0,1,41
Taunton,1,B,730,545,25,0,27,"1,327"
Taunton,2,A,296,144,20,0,14,474
Taunton,2,B,440,254,29,0,24,747
Taunton,3,A,580,306,27,0,37,950
Taunton,3,B,712,452,25,0,30,"1,219"
Taunton,4,A,624,535,39,0,29,"1,227"
Taunton,4,B,677,412,25,0,30,"1,144"
Taunton,4,B1,11,15,0,0,2,28
Taunton,5,A,480,269,24,0,25,798
Taunton,5,B,443,246,19,0,22,730
Taunton,6,A,451,237,18,0,26,732
Taunton,6,B,572,353,25,0,33,983
Taunton,7,A,795,472,19,0,33,"1,319"
Taunton,7,B,780,687,22,0,38,"1,527"
Taunton,8,A,802,508,29,0,48,"1,387"
Taunton,8,B,888,540,23,0,45,"1,496"
Templeton,-,A,560,601,30,0,12,"1,203"
Templeton,-,B,504,478,17,2,15,"1,016"
Templeton,-,C,511,407,18,0,8,944
Tewksbury,-,1,862,565,25,1,23,"1,476"
Tewksbury,-,2,"1,031",681,30,0,20,"1,762"
Tewksbury,-,3,853,679,21,1,17,"1,571"
Tewksbury,-,4,968,571,17,1,20,"1,577"
Tewksbury,-,5,868,604,27,0,26,"1,525"
Tewksbury,-,5A,169,70,3,0,3,245
Tewksbury,-,6,874,707,28,0,22,"1,631"
Tewksbury,-,7,"1,107",788,17,3,22,"1,937"
Tewksbury,-,8,997,658,27,0,25,"1,707"
Tisbury,,,"1,573",352,87,0,29,"2,041"
Tolland,,,103,142,3,0,1,249
Topsfield,-,1,"1,050",649,25,0,30,"1,754"
Topsfield,-,2,"1,033",530,22,0,23,"1,608"
Townsend,-,1,677,606,26,0,15,"1,324"
Townsend,-,2,705,581,22,0,22,"1,330"
Townsend,-,3,755,553,17,0,17,"1,342"
Truro,,,"1,150",266,59,0,15,"1,490"
Tyngsborough,-,1,747,549,20,0,19,"1,335"
Tyngsborough,-,2,662,526,24,0,23,"1,235"
Tyngsborough,-,3,688,416,26,0,28,"1,158"
Tyngsborough,-,4,939,621,25,0,25,"1,610"
Tyringham,,,181,48,10,0,6,245
Upton,-,1,861,400,39,0,23,"1,323"
Upton,-,2,843,511,28,2,27,"1,411"
Upton,-,3,726,421,32,0,34,"1,213"
Uxbridge,-,1,778,691,20,16,9,"1,514"
Uxbridge,-,1A,62,78,2,0,2,144
Uxbridge,-,2,749,581,25,0,25,"1,380"
Uxbridge,-,3,803,680,26,2,25,"1,536"
Uxbridge,-,4,871,673,34,0,23,"1,601"
Wakefield,-,1,962,646,16,0,21,"1,645"
Wakefield,-,2,"1,055",454,24,2,35,"1,570"
Wakefield,-,3,"1,151",619,36,1,37,"1,844"
Wakefield,-,4,"1,020",462,31,0,26,"1,539"
Wakefield,-,5,"1,240",531,24,1,36,"1,832"
Wakefield,-,6,"1,384",542,29,0,39,"1,994"
Wakefield,-,7,"1,215",564,27,2,47,"1,855"
Wales,,,324,405,19,0,11,759
Walpole,-,1,934,416,31,0,28,"1,409"
Walpole,-,2,932,627,34,0,29,"1,622"
Walpole,-,2A,17,11,0,0,0,28
Walpole,-,3,"1,181",574,36,0,36,"1,827"
Walpole,-,4,784,398,21,0,28,"1,231"
Walpole,-,5,758,425,21,1,21,"1,226"
Walpole,-,5A,31,39,2,0,2,74
Walpole,-,6,989,519,28,0,23,"1,559"
Walpole,-,7,969,555,19,0,29,"1,572"
Walpole,-,8,916,596,29,1,36,"1,578"
Waltham,1,1,"1,077",376,48,2,29,"1,532"
Waltham,1,2,"1,051",455,30,2,30,"1,568"
Waltham,1,2A,4,10,0,0,1,15
Waltham,2,1,"1,037",353,38,2,22,"1,452"
Waltham,2,2,747,187,34,0,9,977
Waltham,3,1,"1,044",501,23,0,25,"1,593"
Waltham,3,2,"1,066",351,32,0,37,"1,486"
Waltham,3,2A,18,11,1,0,0,30
Waltham,4,1,"1,072",398,37,0,31,"1,538"
Waltham,4,1A,20,6,0,0,0,26
Waltham,4,2,176,75,8,0,5,264
Waltham,5,1,799,267,31,1,27,"1,125"
Waltham,5,2,530,119,35,1,16,701
Waltham,5,2A,91,19,11,0,3,124
Waltham,6,1,832,174,60,1,17,"1,084"
Waltham,6,2,476,129,22,0,21,648
Waltham,6,2A,106,28,10,0,2,146
Waltham,7,1,"1,046",304,51,0,38,"1,439"
Waltham,7,2,333,73,22,0,6,434
Waltham,8,1,812,170,45,1,15,"1,043"
Waltham,8,2,839,192,46,1,22,"1,100"
Waltham,8,2A,11,0,0,0,0,11
Waltham,9,1,635,114,41,0,12,802
Waltham,9,2,580,131,39,1,20,771
Ware,-,A,510,326,30,0,11,877
Ware,-,B,529,500,26,0,17,"1,072"
Ware,-,C,750,669,26,0,19,"1,464"
Wareham,-,1,870,550,28,1,17,"1,466"
Wareham,-,2,975,605,29,1,21,"1,631"
Wareham,-,3,928,582,30,1,18,"1,559"
Wareham,-,4,846,564,31,0,18,"1,459"
Wareham,-,5,874,656,32,0,12,"1,574"
Wareham,-,6,725,553,27,0,17,"1,322"
Warren,-,A,638,662,32,0,22,"1,354"
Warren,-,B,220,206,16,0,7,449
Warwick,,,271,107,15,0,10,403
Washington,,,190,79,9,0,7,285
Watertown,-,1,716,184,46,0,12,958
Watertown,-,2,876,183,48,1,8,"1,116"
Watertown,-,3,"1,031",149,63,0,32,"1,275"
Watertown,-,4,"1,226",161,66,2,23,"1,478"
Watertown,-,5,741,126,40,0,14,921
Watertown,-,6,848,133,55,2,24,"1,062"
Watertown,-,7,"1,012",221,49,1,23,"1,306"
Watertown,-,8,"1,023",179,37,0,17,"1,256"
Watertown,-,9,760,174,50,1,12,997
Watertown,-,10,958,247,30,0,31,"1,266"
Watertown,-,11,929,274,32,0,17,"1,252"
Watertown,-,12,863,246,38,1,17,"1,165"
Wayland,-,1,"1,419",335,44,0,46,"1,844"
Wayland,-,2,"1,240",312,46,1,21,"1,620"
Wayland,-,3,"1,212",279,24,0,30,"1,545"
Wayland,-,4,"1,434",347,38,0,36,"1,855"
Webster,-,1,331,236,13,0,6,586
Webster,-,1A,145,95,5,2,2,249
Webster,-,2,324,218,36,2,5,585
Webster,-,3,535,434,20,0,11,"1,000"
Webster,-,4,872,796,25,1,18,"1,712"
Webster,-,5,654,511,21,0,18,"1,204"
Wellesley,-,A,"1,196",372,34,4,45,"1,651"
Wellesley,-,B,"1,369",358,28,0,26,"1,781"
Wellesley,-,C,"1,189",552,18,0,66,"1,825"
Wellesley,-,D,"1,311",295,38,0,39,"1,683"
Wellesley,-,E,"1,159",340,24,1,48,"1,572"
Wellesley,-,F,789,230,17,0,25,"1,061"
Wellesley,-,G,664,146,15,0,14,839
Wellesley,-,H,"1,264",397,30,1,42,"1,734"
Wellfleet,,,"1,593",361,57,0,21,"2,032"
Wendell,,,358,70,50,0,6,484
Wenham,-,1,497,220,13,0,10,740
Wenham,-,1A,838,348,19,1,29,"1,235"
"W. Boylston",-,1,990,568,33,3,28,"1,622"
"W. Boylston",-,2,"1,175",686,37,2,26,"1,926"
"W. Bridgewater",-,1,836,730,14,0,31,"1,611"
"W. Bridgewater",-,2,874,748,13,1,32,"1,668"
"W. Brookfield",,,950,742,39,0,18,"1,749"
"W. Newbury",,,"1,689",800,56,1,40,"2,586"
"W. Springfield",-,1,215,139,15,0,6,375
"W. Springfield",-,2,318,192,36,0,10,556
"W. Springfield",-,3,559,349,35,0,23,966
"W. Springfield",-,4,658,353,31,0,21,"1,063"
"W. Springfield",-,5,886,651,42,0,47,"1,626"
"W. Springfield",-,6,780,619,39,0,33,"1,471"
"W. Springfield",-,7,769,604,43,1,27,"1,444"
"W. Springfield",-,8,590,386,57,0,24,"1,057"
"W. Stockbridge",,,596,105,29,0,20,750
"W. Tisbury",,,"1,466",237,47,0,23,"1,773"
Westborough,-,1,712,172,23,0,19,926
Westborough,-,2,683,243,16,0,14,956
Westborough,-,3,803,269,32,0,14,"1,118"
Westborough,-,4,726,280,22,0,18,"1,046"
Westborough,-,5,"1,262",469,30,2,22,"1,785"
Westborough,-,6,"1,335",465,46,2,21,"1,869"
Westfield,1,A,839,656,34,0,24,"1,553"
Westfield,1,B,677,618,52,0,25,"1,372"
Westfield,2,A,313,179,37,0,9,538
Westfield,2,A1,26,14,0,0,0,40
Westfield,2,B,523,340,51,0,21,935
Westfield,3,A,394,236,53,3,11,697
Westfield,3,B,741,426,47,0,28,"1,242"
Westfield,4,A,295,310,15,0,11,631
Westfield,4,B,900,651,40,1,33,"1,625"
Westfield,5,A,861,693,46,0,32,"1,632"
Westfield,5,B,747,740,41,0,31,"1,559"
Westfield,6,A,674,606,44,0,15,"1,339"
Westfield,6,B,536,464,35,0,14,"1,049"
Westfield,6,B1,31,42,1,0,3,77
Westford,-,1,978,450,26,0,36,"1,490"
Westford,-,2,992,422,39,0,23,"1,476"
Westford,-,3,"1,190",502,26,1,21,"1,740"
Westford,-,4,"1,106",430,28,4,25,"1,593"
Westford,-,5,"1,095",490,29,0,21,"1,635"
Westford,-,6,"1,063",523,23,0,28,"1,637"
Westford,-,7,"1,253",453,33,0,20,"1,759"
Westhampton,,,631,290,37,0,16,974
Westminster,-,1,713,561,24,1,15,"1,314"
Westminster,-,2,544,441,26,0,18,"1,029"
Westminster,-,2A,191,177,2,0,5,375
Westminster,-,3,703,484,26,0,14,"1,227"
Weston,-,1,"1,021",365,39,0,27,"1,452"
Weston,-,2,872,355,21,0,24,"1,272"
Weston,-,3,817,310,18,0,21,"1,166"
Weston,-,4,861,373,22,1,29,"1,286"
Westport,-,A,696,626,20,0,28,"1,370"
Westport,-,B,"1,071",713,40,0,43,"1,867"
Westport,-,C,632,645,29,0,25,"1,331"
Westport,-,D,685,590,28,0,28,"1,331"
Westport,-,E,"1,032",709,39,0,44,"1,824"
Westwood,-,1,"1,149",417,35,0,35,"1,636"
Westwood,-,2,"1,083",474,27,2,33,"1,619"
Westwood,-,3,"1,044",417,20,0,39,"1,520"
Westwood,-,4,854,474,28,0,32,"1,388"
Westwood,-,5,"1,134",499,19,1,35,"1,688"
Weymouth,-,1,826,392,28,0,26,"1,272"
Weymouth,-,2,"1,025",527,25,0,34,"1,611"
Weymouth,-,3,941,542,20,0,23,"1,526"
Weymouth,-,4,837,423,24,2,24,"1,310"
Weymouth,-,5,816,333,26,0,18,"1,193"
Weymouth,-,6,"1,021",472,28,0,22,"1,543"
Weymouth,-,7,676,346,26,1,12,"1,061"
Weymouth,-,8,798,443,27,1,25,"1,294"
Weymouth,-,9,601,314,16,0,23,954
Weymouth,-,9A,211,121,3,0,3,338
Weymouth,-,10,663,363,24,1,15,"1,066"
Weymouth,-,11,628,318,21,1,8,976
Weymouth,-,12,945,492,24,0,27,"1,488"
Weymouth,-,13,565,245,20,0,10,840
Weymouth,-,14,975,437,20,2,35,"1,469"
Weymouth,-,15,986,527,20,0,32,"1,565"
Weymouth,-,16,"1,020",565,28,1,36,"1,650"
Weymouth,-,17,647,368,25,2,20,"1,062"
Weymouth,-,18,804,267,12,0,16,"1,099"
Whately,,,634,218,35,0,13,900
Whitman,-,1,992,704,35,0,29,"1,760"
Whitman,-,2,739,681,27,0,27,"1,474"
Whitman,-,3,819,678,26,0,26,"1,549"
Whitman,-,4,837,624,25,2,31,"1,519"
Wilbraham,-,A,977,668,39,0,14,"1,698"
Wilbraham,-,B,859,629,33,1,29,"1,551"
Wilbraham,-,C,877,765,35,0,19,"1,696"
Wilbraham,-,D,980,725,40,0,43,"1,788"
Williamsburg,,,"1,115",202,119,1,16,"1,453"
Williamstown,-,1,"1,014",154,38,0,16,"1,222"
Williamstown,-,2,291,27,17,0,6,341
Williamstown,-,3,"1,092",175,73,0,21,"1,361"
Wilmington,-,1,"1,092",667,41,0,19,"1,819"
Wilmington,-,2,"1,016",684,27,1,36,"1,764"
Wilmington,-,3,949,679,29,0,24,"1,681"
Wilmington,-,4,"1,049",686,30,0,14,"1,779"
Wilmington,-,5,974,604,27,0,35,"1,640"
Wilmington,-,6,"1,044",763,22,2,33,"1,864"
Winchendon,-,1,458,510,25,0,6,999
Winchendon,-,2,594,588,31,2,15,"1,230"
Winchendon,-,3,608,563,32,0,11,"1,214"
Winchester,-,1,980,298,39,0,22,"1,339"
Winchester,-,2,826,273,16,2,19,"1,136"
Winchester,-,3,"1,110",270,35,0,53,"1,468"
Winchester,-,4,980,387,21,1,38,"1,427"
Winchester,-,5,875,397,26,0,28,"1,326"
Winchester,-,6,893,401,21,1,34,"1,350"
Winchester,-,7,965,368,27,0,48,"1,408"
Winchester,-,8,647,268,11,0,25,951
Windsor,,,256,120,15,0,6,397
Winthrop,-,1,714,399,32,1,20,"1,166"
Winthrop,-,2,773,387,35,0,26,"1,221"
Winthrop,-,3,716,291,38,0,22,"1,067"
Winthrop,-,4,640,243,17,2,15,917
Winthrop,-,5,801,393,33,0,33,"1,260"
Winthrop,-,6,768,288,34,1,12,"1,103"
Woburn,1,1,605,287,10,0,17,919
Woburn,1,2,676,290,25,0,18,"1,009"
Woburn,1,2A,50,18,7,0,1,76
Woburn,2,1,765,368,20,0,27,"1,180"
Woburn,2,2,643,209,32,0,23,907
Woburn,3,1,762,306,27,0,34,"1,129"
Woburn,3,2,871,539,26,0,30,"1,466"
Woburn,4,1,762,433,20,0,41,"1,256"
Woburn,4,2,704,301,25,0,18,"1,048"
Woburn,5,1,726,244,23,0,20,"1,013"
Woburn,5,2,667,342,28,0,20,"1,057"
Woburn,6,1,461,222,18,0,12,713
Woburn,6,2,713,398,16,1,21,"1,149"
Woburn,7,1,860,536,22,1,25,"1,444"
Woburn,7,2,926,488,19,0,32,"1,465"
Worcester,1,1,497,147,34,1,20,699
Worcester,1,2,"1,112",421,38,0,33,"1,604"
Worcester,1,3,633,204,20,0,13,870
Worcester,1,4,"1,050",292,71,3,34,"1,450"
Worcester,1,5,611,294,41,1,14,961
Worcester,1,6,977,400,50,0,39,"1,466"
Worcester,2,1,922,324,32,0,28,"1,306"
Worcester,2,2,712,295,34,1,21,"1,063"
Worcester,2,3,756,310,46,1,26,"1,139"
Worcester,2,4,568,129,23,3,7,730
Worcester,2,5,345,98,27,0,16,486
Worcester,2,6,639,194,24,0,21,878
Worcester,3,1,229,83,24,0,10,346
Worcester,3,2,205,40,20,1,7,273
Worcester,3,3,556,253,40,0,18,867
Worcester,3,4,261,58,27,0,8,354
Worcester,3,5,505,180,40,1,9,735
Worcester,3,6,546,173,31,1,17,768
Worcester,4,1,197,45,21,1,9,273
Worcester,4,2,176,52,14,0,10,252
Worcester,4,2A,132,63,10,0,2,207
Worcester,4,3,260,62,23,0,6,351
Worcester,4,4,377,157,25,0,15,574
Worcester,4,5,603,209,34,0,17,863
Worcester,4,6,511,231,29,0,9,780
Worcester,5,1,302,78,16,1,12,409
Worcester,5,2,535,243,28,1,18,825
Worcester,5,3,751,386,34,0,27,"1,198"
Worcester,5,4,671,295,31,1,16,"1,014"
Worcester,5,5,605,294,33,3,22,957
Worcester,5,6,471,214,30,0,20,735
Worcester,6,1,174,54,16,0,1,245
Worcester,6,2,301,106,21,0,10,438
Worcester,6,3,254,91,18,0,6,369
Worcester,6,4,58,27,1,0,0,86
Worcester,6,5,356,147,33,1,16,553
Worcester,6,6,529,262,23,0,13,827
Worcester,7,1,632,199,47,0,16,894
Worcester,7,2,503,232,36,1,12,784
Worcester,7,3,345,123,34,0,13,515
Worcester,7,4,574,205,34,0,19,832
Worcester,7,5,386,228,33,0,10,657
Worcester,7,5A,145,51,11,0,2,209
Worcester,7,6,569,250,35,1,25,880
Worcester,8,1,238,70,20,0,11,339
Worcester,8,2,169,65,19,0,7,260
Worcester,8,3,112,19,15,0,4,150
Worcester,8,4,324,91,47,1,14,477
Worcester,8,5,243,111,18,1,9,382
Worcester,8,6,190,67,21,0,11,289
Worcester,9,1,534,119,47,0,13,713
Worcester,9,2,885,232,47,2,35,"1,201"
Worcester,9,3,475,152,20,0,13,660
Worcester,9,4,980,311,40,0,32,"1,363"
Worcester,9,5,"1,050",385,50,0,43,"1,528"
Worcester,9,6,855,311,43,1,31,"1,241"
Worcester,10,1,253,70,29,0,10,362
Worcester,10,2,353,79,37,0,12,481
Worcester,10,3,280,60,35,1,14,390
Worcester,10,4,228,76,30,0,8,342
Worcester,10,5,203,54,21,0,11,289
Worcester,10,6,204,36,18,0,6,264
Worthington,,,464,189,34,0,4,691
Wrentham,-,1,823,591,22,0,26,"1,462"
Wrentham,-,2,912,606,20,3,38,"1,579"
Wrentham,-,3,891,537,19,0,25,"1,472"
Wrentham,-,4,831,618,17,1,31,"1,498"
Yarmouth,-,1,"1,174",611,24,0,28,"1,837"
Yarmouth,-,2,"1,074",574,18,0,21,"1,687"
Yarmouth,-,3,688,419,25,0,13,"1,145"
Yarmouth,-,4,937,478,23,1,20,"1,459"
Yarmouth,-,5,759,516,20,0,15,"1,310"
Yarmouth,-,6,888,416,34,3,15,"1,356"
Yarmouth,-,7,"1,235",656,19,0,31,"1,941"
Yarmouth,-,8,673,378,20,0,14,"1,085"
Yarmouth,-,8A,122,69,2,0,1,194
TOTALS,,,"1,665,808","722,021","71,717","1,396","50,519","2,511,461"
