City/Town,Ward,Pct,"Eunice Delice Zeigler","Anne M. Manning-Martin","Jody A. Elliott","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled
Lowell,1,3,821,609,358,8,334,"2,130"
Lowell,1,4,324,356,181,4,148,"1,013"
Lowell,2,1,381,274,171,5,121,952
Lowell,2,2,374,287,172,3,136,972
Lowell,2,3,520,354,198,6,146,"1,224"
Lowell,2,4,470,316,204,5,151,"1,146"
Lowell,3,1,464,237,124,1,169,995
Lowell,3,2,848,649,272,7,476,"2,252"
Lowell,3,3,725,523,194,5,333,"1,780"
Lowell,3,4,476,346,195,10,181,"1,208"
Lowell,4,1,360,161,86,5,127,739
Lowell,4,2,718,300,170,1,201,"1,390"
Lowell,4,3,204,75,45,2,50,376
Lowell,4,3A,163,33,18,3,18,235
Lowell,4,4,313,233,148,6,124,824
Lowell,4,4A,6,0,1,0,0,7
Lowell,5,1,458,294,162,6,163,"1,083"
Lowell,5,1A,141,51,31,0,28,251
Lowell,5,2,414,288,143,9,144,998
Lowell,5,3,301,192,126,5,100,724
Lowell,5,4,474,419,188,9,176,"1,266"
Lowell,6,1,451,253,126,9,186,"1,025"
Lowell,6,2,264,175,97,2,169,707
Lowell,6,3,234,133,59,2,94,522
Lowell,6,3A,44,47,23,0,27,141
Lowell,6,4,288,190,85,1,105,669
Lowell,6,4A,122,77,38,0,43,280
Lowell,7,1,327,167,132,6,130,762
Lowell,7,2,346,199,111,3,154,813
Lowell,7,3,411,181,133,12,139,876
Lowell,7,4,231,150,95,4,115,595
Lowell,8,1,463,284,139,6,172,"1,064"
Lowell,8,2,465,268,117,4,141,995
Lowell,8,3,688,408,225,7,361,"1,689"
Lowell,8,4,493,353,157,6,299,"1,308"
Lowell,8,4A,28,5,7,2,4,46
Manchester-by-the-Sea,-,1,"1,642","1,105",385,1,549,"3,682"
Merrimac,-,1,837,788,225,1,226,"2,077"
Merrimac,-,2,952,885,222,2,212,"2,273"
Methuen,-,1,596,296,68,10,91,"1,061"
Methuen,-,2,612,320,58,5,81,"1,076"
Methuen,-,3,920,515,98,4,118,"1,655"
Methuen,-,4,804,409,98,2,122,"1,435"
