City/Town,Ward,Pct,"Christopher A. Iannella, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Abington,-,1,"1,417",14,570,"2,001"
Abington,-,2,"1,221",14,539,"1,774"
Abington,-,3,"1,327",13,569,"1,909"
Abington,-,4,"1,448",19,535,"2,002"
Abington,-,5,"1,441",12,536,"1,989"
Boston,1,15,0,0,0,0
Boston,3,7,902,7,246,"1,155"
Boston,3,8,845,18,263,"1,126"
Boston,3,13A,0,0,0,0
Boston,3,14,662,13,363,"1,038"
Boston,3,15,918,15,187,"1,120"
Boston,3,16,"1,169",17,268,"1,454"
Boston,4,1,864,16,240,"1,120"
Boston,4,2,740,30,220,990
Boston,4,3,"1,023",22,285,"1,330"
Boston,4,4,"1,112",18,283,"1,413"
Boston,4,5,848,19,289,"1,156"
Boston,4,9,218,7,39,264
Boston,4,11,48,0,10,58
Boston,5,1,479,14,232,725
Boston,5,13,812,17,285,"1,114"
Boston,5,14,745,18,209,972
Boston,6,1,"1,214",25,258,"1,497"
Boston,6,2,772,23,190,985
Boston,6,3,922,17,257,"1,196"
Boston,6,4,749,18,183,950
Boston,6,5,960,14,258,"1,232"
Boston,6,6,"1,012",24,270,"1,306"
Boston,6,7,898,36,286,"1,220"
Boston,6,8,"1,066",23,337,"1,426"
Boston,6,9,946,27,386,"1,359"
Boston,6,10,803,20,238,"1,061"
Boston,6,11,905,21,254,"1,180"
Boston,6,12,"1,580",44,475,"2,099"
Boston,6,12A,0,0,0,0
Boston,7,1,800,19,264,"1,083"
Boston,7,2,928,22,310,"1,260"
Boston,7,3,"1,058",32,309,"1,399"
Boston,7,4,766,19,241,"1,026"
Boston,7,5,940,27,218,"1,185"
Boston,7,6,724,26,211,961
Boston,7,7,461,21,107,589
Boston,7,8,778,20,172,970
Boston,7,9,574,13,166,753
Boston,7,10,621,7,92,720
Boston,8,1,"1,059",21,311,"1,391"
Boston,8,2,751,9,165,925
Boston,8,3,684,16,165,865
Boston,8,4,507,11,120,638
Boston,8,5,790,10,162,962
Boston,8,6,159,7,40,206
Boston,8,6A,0,0,0,0
Boston,9,1,906,17,303,"1,226"
Boston,9,2,923,12,187,"1,122"
Boston,9,3,712,16,198,926
Boston,9,4,672,13,185,870
Boston,9,5,687,20,178,885
Boston,9,6,876,16,185,"1,077"
Boston,9,7,277,8,69,354
Boston,10,1,418,7,116,541
Boston,10,2,395,9,118,522
Boston,10,3,362,9,64,435
Boston,10,4,680,18,270,968
Boston,10,5,449,19,121,589
Boston,10,6,545,14,156,715
Boston,10,7,704,16,178,898
Boston,10,8,979,21,200,"1,200"
Boston,10,9,"1,124",13,272,"1,409"
Boston,10,9A,0,0,0,0
Boston,11,1,482,8,100,590
Boston,11,2,766,18,156,940
Boston,11,3,562,13,121,696
Boston,11,4,986,25,200,"1,211"
Boston,11,5,779,24,215,"1,018"
Boston,11,6,740,11,163,914
Boston,11,7,904,11,251,"1,166"
Boston,11,8,"1,359",23,289,"1,671"
Boston,11,9,625,6,208,839
Boston,11,10,749,8,197,954
Boston,12,1,741,14,162,917
Boston,12,2,920,27,179,"1,126"
Boston,12,3,430,9,86,525
Boston,12,4,530,7,125,662
Boston,12,5,299,5,76,380
Boston,12,6,436,9,84,529
Boston,12,7,987,29,235,"1,251"
Boston,12,8,345,8,81,434
Boston,12,9,473,15,81,569
Boston,13,1,627,8,130,765
Boston,13,2,253,9,52,314
Boston,13,3,675,20,138,833
Boston,13,4,486,13,102,601
Boston,13,5,444,11,105,560
Boston,13,6,633,17,136,786
Boston,13,7,698,25,212,935
Boston,13,8,595,15,180,790
Boston,13,9,700,12,178,890
Boston,13,10,958,20,348,"1,326"
Boston,14,1,958,32,199,"1,189"
Boston,14,2,"1,066",28,191,"1,285"
Boston,14,3,276,6,47,329
Boston,14,4,599,17,117,733
Boston,14,5,463,12,69,544
Boston,14,6,477,9,108,594
Boston,14,7,473,14,75,562
Boston,14,8,559,13,120,692
Boston,14,9,505,18,109,632
Boston,14,10,564,11,133,708
Boston,14,11,547,13,108,668
Boston,14,12,324,10,54,388
Boston,14,13,531,12,54,597
Boston,14,14,554,14,93,661
Boston,15,1,692,13,136,841
Boston,15,2,419,11,93,523
Boston,15,3,285,10,83,378
Boston,15,4,816,41,147,"1,004"
Boston,15,5,510,14,113,637
Boston,15,6,384,20,166,570
Boston,15,7,436,10,104,550
Boston,15,8,362,17,149,528
Boston,15,9,406,10,158,574
Boston,16,1,488,20,156,664
Boston,16,2,520,15,160,695
Boston,16,3,627,9,188,824
Boston,16,4,633,20,179,832
Boston,16,5,753,27,219,999
Boston,16,6,846,26,340,"1,212"
Boston,16,7,694,21,261,976
Boston,16,8,"1,084",29,375,"1,488"
Boston,16,9,867,16,349,"1,232"
Boston,16,10,704,18,263,985
Boston,16,11,485,10,153,648
Boston,16,12,716,16,312,"1,044"
Boston,17,1,531,17,98,646
Boston,17,2,398,11,89,498
Boston,17,3,880,15,187,"1,082"
Boston,17,4,"1,091",25,229,"1,345"
Boston,17,5,408,11,67,486
Boston,17,6,703,18,137,858
Boston,17,7,354,9,51,414
Boston,17,8,568,16,108,692
Boston,17,9,498,3,127,628
Boston,17,10,753,12,144,909
Boston,17,11,294,3,67,364
Boston,17,12,547,13,98,658
Boston,17,13,700,16,205,921
Boston,17,14,761,19,170,950
Boston,18,1,"1,122",24,212,"1,358"
Boston,18,2,698,5,118,821
Boston,18,3,872,12,118,"1,002"
Boston,18,4,863,22,164,"1,049"
Boston,18,5,939,11,148,"1,098"
Boston,18,6,"1,187",18,180,"1,385"
Boston,18,7,867,18,171,"1,056"
Boston,18,8,"1,420",25,282,"1,727"
Boston,18,9,884,18,231,"1,133"
Boston,18,10,"1,272",22,339,"1,633"
Boston,18,11,677,27,145,849
Boston,18,12,885,15,223,"1,123"
Boston,18,13,545,10,98,653
Boston,18,14,531,9,120,660
Boston,18,15,845,10,158,"1,013"
Boston,18,16,877,28,322,"1,227"
Boston,18,17,874,24,202,"1,100"
Boston,18,18,"1,030",26,269,"1,325"
Boston,18,19,"1,407",39,355,"1,801"
Boston,18,20,"1,110",31,365,"1,506"
Boston,18,21,"1,002",25,193,"1,220"
Boston,18,22,"1,011",30,322,"1,363"
Boston,18,23,678,18,125,821
Boston,19,1,808,10,212,"1,030"
Boston,19,2,976,19,306,"1,301"
Boston,19,3,498,3,149,650
Boston,19,4,"1,106",9,291,"1,406"
Boston,19,5,766,6,230,"1,002"
Boston,19,6,"1,104",13,305,"1,422"
Boston,19,7,929,22,260,"1,211"
Boston,19,8,646,11,256,913
Boston,19,9,539,6,154,699
Boston,19,10,"1,057",29,264,"1,350"
Boston,19,11,756,14,167,937
Boston,19,12,759,10,220,989
Boston,19,13,635,20,142,797
Boston,20,1,901,12,353,"1,266"
Boston,20,2,967,22,266,"1,255"
Boston,20,3,827,38,311,"1,176"
Boston,20,4,773,10,258,"1,041"
Boston,20,5,957,34,369,"1,360"
Boston,20,6,"1,007",14,389,"1,410"
Boston,20,7,644,12,203,859
Boston,20,8,735,8,228,971
Boston,20,9,852,15,224,"1,091"
Boston,20,10,"1,127",28,413,"1,568"
Boston,20,11,536,9,188,733
Boston,20,12,638,12,277,927
Boston,20,13,617,17,203,837
Boston,20,14,557,9,248,814
Boston,20,15,999,25,377,"1,401"
Boston,20,16,"1,140",42,415,"1,597"
Boston,20,17,"1,109",35,500,"1,644"
Boston,20,18,595,12,236,843
Boston,20,19,619,7,251,877
Boston,20,20,"1,043",17,357,"1,417"
Boston,20,21,85,6,40,131
Braintree,-,3B,"1,102",31,462,"1,595"
Braintree,-,4B,"1,092",24,375,"1,491"
Braintree,-,6A,"1,312",23,678,"2,013"
Cohasset,-,1,"1,226",13,510,"1,749"
Cohasset,-,2,"1,310",11,544,"1,865"
Cohasset,-,3,"1,292",12,513,"1,817"
Dedham,-,1,"1,386",17,714,"2,117"
Dedham,-,2,"1,582",23,714,"2,319"
Dedham,-,3,"1,339",22,490,"1,851"
Dedham,-,4,"1,382",17,662,"2,061"
Dedham,-,5,"1,521",20,728,"2,269"
Dedham,-,6,"1,433",34,688,"2,155"
Dedham,-,7,"1,524",30,853,"2,407"
Duxbury,-,1,"1,379",20,607,"2,006"
Duxbury,-,2,"1,232",25,548,"1,805"
Duxbury,-,3,"1,290",14,479,"1,783"
Duxbury,-,4,"1,255",15,509,"1,779"
Duxbury,-,5,"1,243",27,454,"1,724"
Duxbury,-,6,"1,210",19,471,"1,700"
Hanover,-,1,"1,712",35,920,"2,667"
Hanover,-,2,"1,589",29,783,"2,401"
Hanover,-,3,"1,476",22,737,"2,235"
Hanover,-,4,"1,659",34,822,"2,515"
Hingham,-,1,"1,597",25,552,"2,174"
Hingham,-,2,"1,688",45,579,"2,312"
