City/Town,Ward,Pct,"Tamisha L. Civil","Francis T. Crimmins, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Ashland,-,1,881,493,0,124,"1,498"
Ashland,-,2,"1,195",632,0,186,"2,013"
Ashland,-,3,889,503,0,122,"1,514"
Ashland,-,4,917,483,0,121,"1,521"
Ashland,-,5,955,508,0,135,"1,598"
Ashland,-,6,"1,028",553,0,181,"1,762"
Attleboro,1,A,897,880,3,163,"1,943"
Attleboro,1,B,850,822,0,166,"1,838"
Attleboro,2,A,"1,055",915,2,189,"2,161"
Attleboro,2,B,911,886,0,175,"1,972"
Attleboro,3,A,973,743,1,174,"1,891"
Attleboro,3,B,"1,026",839,0,196,"2,061"
Attleboro,4,A,917,648,0,161,"1,726"
Attleboro,4,B,"1,166","1,070",1,246,"2,483"
Attleboro,5,A,800,423,2,138,"1,363"
Attleboro,5,B,996,820,1,161,"1,978"
Attleboro,6,A,937,852,0,160,"1,949"
Attleboro,6,B,"1,017",907,2,186,"2,112"
Avon,-,1,"1,278","1,136",0,169,"2,583"
Bellingham,-,1,782,887,3,175,"1,847"
Bellingham,-,2,913,991,2,214,"2,120"
Bellingham,-,3,"1,001","1,002",8,227,"2,238"
Bellingham,-,4,825,904,5,164,"1,898"
Bellingham,-,5,775,"1,020",5,183,"1,983"
Braintree,-,1A,760,877,3,216,"1,856"
Braintree,-,1B,665,803,4,190,"1,662"
Braintree,-,2A,808,782,3,198,"1,791"
Braintree,-,2B,721,807,4,180,"1,712"
Braintree,-,3A,680,638,3,157,"1,478"
Braintree,-,4A,725,691,4,179,"1,599"
Braintree,-,5A,745,763,2,178,"1,688"
Braintree,-,5B,749,810,6,229,"1,794"
Braintree,-,6B,771,891,3,239,"1,904"
Bridgewater,-,1,753,"1,038",1,173,"1,965"
Bridgewater,-,2,768,960,2,186,"1,916"
Bridgewater,-,3,895,"1,179",1,251,"2,326"
Bridgewater,-,4,377,572,2,111,"1,062"
Bridgewater,-,5,122,79,0,27,228
Bridgewater,-,6,666,671,1,137,"1,475"
Bridgewater,-,7,831,902,0,207,"1,940"
Bridgewater,-,8,818,682,0,159,"1,659"
Bridgewater,-,9,846,"1,028",0,212,"2,086"
Brockton,1,A,783,183,0,72,"1,038"
Brockton,1,B,975,376,0,144,"1,495"
Brockton,1,C,839,393,0,86,"1,318"
Brockton,1,D,"1,023",695,0,169,"1,887"
Brockton,2,A,589,110,0,79,778
Brockton,2,B,718,150,0,98,966
Brockton,2,C,477,117,0,88,682
Brockton,2,D,760,275,0,97,"1,132"
Brockton,3,A,838,272,0,117,"1,227"
Brockton,3,B,645,183,0,108,936
Brockton,3,C,"1,037",514,0,137,"1,688"
Brockton,3,D,935,585,0,145,"1,665"
Brockton,4,A,508,143,0,49,700
Brockton,4,B,836,252,0,112,"1,200"
Brockton,4,C,940,410,0,156,"1,506"
Brockton,4,D,846,417,0,148,"1,411"
Brockton,5,A,703,154,0,85,942
Brockton,5,B,964,372,0,117,"1,453"
Brockton,5,C,857,207,0,116,"1,180"
Brockton,5,D,987,491,0,141,"1,619"
Brockton,6,A,790,294,1,105,"1,190"
Brockton,6,B,921,490,0,141,"1,552"
Brockton,6,C,924,349,1,108,"1,382"
Brockton,6,D,"1,023",633,0,160,"1,816"
Brockton,7,A,703,173,0,83,959
Brockton,7,B,935,262,0,129,"1,326"
Brockton,7,C,797,216,0,92,"1,105"
Brockton,7,D,884,340,0,107,"1,331"
Canton,-,1,918,784,0,160,"1,862"
Canton,-,2,"1,224",946,0,194,"2,364"
Canton,-,3,851,659,0,144,"1,654"
Canton,-,4,949,928,0,206,"2,083"
Canton,-,5,"1,011",920,2,196,"2,129"
Canton,-,6,"1,047",755,0,164,"1,966"
Canton,-,7,"1,110",831,1,198,"2,140"
Dover,-,1,"1,877","1,481",8,428,"3,794"
"E. Bridgewater",-,1,774,"1,114",2,271,"2,161"
"E. Bridgewater",-,2,863,"1,134",3,203,"2,203"
"E. Bridgewater",-,3,804,"1,204",3,229,"2,240"
"E. Bridgewater",-,4,767,"1,080",0,209,"2,056"
Easton,-,1,"1,086","1,064",3,223,"2,376"
Easton,-,2,"1,040",964,1,264,"2,269"
Easton,-,3,398,446,1,98,943
Easton,-,4A,447,521,1,110,"1,079"
Easton,-,4B,530,569,0,137,"1,236"
Easton,-,5,"1,038",834,1,185,"2,058"
Easton,-,6,916,"1,073",1,236,"2,226"
Easton,-,7,983,997,4,165,"2,149"
Foxborough,-,1,876,841,0,202,"1,919"
Foxborough,-,2,"1,040","1,254",0,271,"2,565"
Foxborough,-,3,868,"1,028",0,210,"2,106"
Foxborough,-,4,990,"1,127",3,246,"2,366"
Foxborough,-,5,970,"1,034",1,251,"2,256"
Framingham,-,1,248,135,0,53,436
Framingham,-,2,278,115,1,42,436
Framingham,-,3,284,134,3,36,457
Framingham,-,4,348,181,0,66,595
Framingham,-,5,428,240,5,82,755
Framingham,-,6,895,390,2,151,"1,438"
Framingham,-,7,906,402,3,166,"1,477"
Framingham,-,8,512,228,2,68,810
Framingham,-,9A,638,305,2,116,"1,061"
Framingham,-,9B,35,14,0,4,53
Framingham,-,10,448,202,2,60,712
Framingham,-,11,588,257,3,105,953
Framingham,-,12,498,194,5,77,774
Framingham,-,13,338,128,2,60,528
Framingham,-,14,437,205,2,75,719
Framingham,-,15,488,198,2,80,768
Framingham,-,16,703,380,2,144,"1,229"
Framingham,-,17,884,365,7,142,"1,398"
Framingham,-,18,990,464,1,166,"1,621"
Framingham,-,19,974,476,2,126,"1,578"
Framingham,-,20,924,443,0,157,"1,524"
Framingham,-,21A,662,339,1,115,"1,117"
Framingham,-,21B,441,203,0,79,723
Framingham,-,21C,25,10,0,5,40
Framingham,-,22,983,453,6,209,"1,651"
Framingham,-,23,875,476,5,159,"1,515"
Framingham,-,24,914,422,3,162,"1,501"
Framingham,-,25,931,445,3,163,"1,542"
Framingham,-,26,837,412,5,132,"1,386"
Framingham,-,27,832,361,3,141,"1,337"
Franklin,-,1,"1,073",900,1,225,"2,199"
Franklin,-,2,838,827,1,196,"1,862"
Franklin,-,3,"1,070",985,4,188,"2,247"
Franklin,-,4,"1,098","1,083",3,237,"2,421"
Franklin,-,5,"1,130",901,1,251,"2,283"
Franklin,-,6,"1,124",883,2,242,"2,251"
Franklin,-,7,"1,232",987,1,270,"2,490"
Franklin,-,8,"1,096","1,149",4,248,"2,497"
Franklin,-,9,933,692,2,193,"1,820"
Halifax,-,1,909,"1,423",0,199,"2,531"
Halifax,-,2,900,"1,247",0,169,"2,316"
Halifax,-,2A,26,59,0,8,93
Hanson,-,1,848,"1,237",1,181,"2,267"
Hanson,-,2,926,"1,332",1,189,"2,448"
Hanson,-,3,823,"1,154",0,179,"2,156"
Holliston,-,1,"1,415",845,2,215,"2,477"
Holliston,-,2,"1,372",709,3,248,"2,332"
Holliston,-,3,"1,250",674,1,208,"2,133"
Holliston,-,4,"1,473",758,4,220,"2,455"
Hopkinton,-,1,"1,001",599,0,138,"1,738"
Hopkinton,-,2,"1,144",793,2,192,"2,131"
Hopkinton,-,3,"1,126",740,2,222,"2,090"
Hopkinton,-,4,"1,271",809,1,172,"2,253"
Hopkinton,-,5,"1,257",778,4,209,"2,248"
Mansfield,-,1,898,"1,004",1,262,"2,165"
Mansfield,-,2,723,637,0,178,"1,538"
Mansfield,-,2A,291,250,1,62,604
Mansfield,-,3,"1,045","1,030",2,260,"2,337"
Mansfield,-,4,928,907,1,228,"2,064"
Mansfield,-,5,884,688,2,175,"1,749"
Mansfield,-,6,792,591,2,168,"1,553"
Mansfield,-,6A,111,96,0,28,235
Mansfield,-,7,892,749,0,215,"1,856"
Medfield,-,1,"1,141",788,3,235,"2,167"
Medfield,-,2,"1,059",751,1,174,"1,985"
Medfield,-,3,"1,005",809,2,201,"2,017"
Medfield,-,4,972,779,4,209,"1,964"
Medway,-,1,989,824,0,163,"1,976"
Medway,-,2,"1,155",886,6,191,"2,238"
Medway,-,3,"1,125",890,0,176,"2,191"
Medway,-,4,"1,060",880,0,190,"2,130"
Milford,-,1,519,397,3,143,"1,062"
Milford,-,2,837,765,2,187,"1,791"
Milford,-,3,730,688,4,202,"1,624"
Milford,-,4,532,469,5,133,"1,139"
Milford,-,5,"1,012",959,5,265,"2,241"
Milford,-,6,892,719,4,208,"1,823"
Milford,-,7,"1,132",964,5,240,"2,341"
Milford,-,8,"1,001",776,9,226,"2,012"
Millis,-,1,920,727,0,147,"1,794"
Millis,-,2,874,789,1,195,"1,859"
Millis,-,3,"1,263",920,4,225,"2,412"
Milton,-,1,"1,187",285,4,172,"1,648"
Milton,-,2,"1,164",351,1,298,"1,814"
Milton,-,3,"1,004",535,1,273,"1,813"
Milton,-,4,628,298,1,125,"1,052"
Milton,-,4A,459,124,3,74,660
Milton,-,5,723,463,2,231,"1,419"
Milton,-,6,803,707,2,301,"1,813"
Milton,-,7,771,597,3,306,"1,677"
Milton,-,8,892,690,4,311,"1,897"
Milton,-,9,825,746,1,336,"1,908"
Milton,-,10,879,241,1,130,"1,251"
Natick,-,1,849,381,4,116,"1,350"
Natick,-,2,"1,237",584,3,237,"2,061"
Natick,-,3,"1,220",630,0,254,"2,104"
Natick,-,4,"1,266",509,0,210,"1,985"
Natick,-,5,"1,212",662,0,245,"2,119"
Natick,-,6,"1,195",625,0,189,"2,009"
Natick,-,7,"1,566",603,5,249,"2,423"
Natick,-,8,"1,366",610,8,269,"2,253"
Natick,-,9,"1,451",546,1,266,"2,264"
Natick,-,10,"1,554",708,2,316,"2,580"
Needham,-,A,980,501,3,246,"1,730"
Needham,-,B,"1,167",567,7,256,"1,997"
Needham,-,C,"1,101",535,3,236,"1,875"
Needham,-,D,"1,101",534,3,238,"1,876"
Needham,-,E,"1,178",577,6,255,"2,016"
Needham,-,F,"1,176",494,2,262,"1,934"
Needham,-,G,"1,169",573,4,276,"2,022"
Needham,-,H,"1,228",620,5,278,"2,131"
Needham,-,I,"1,322",536,2,285,"2,145"
Needham,-,J,"1,226",502,2,250,"1,980"
Norfolk,-,1,546,535,0,96,"1,177"
Norfolk,-,2,921,959,0,193,"2,073"
Norfolk,-,3,772,817,0,169,"1,758"
Norfolk,-,4,893,829,1,160,"1,883"
"N. Attleborough",-,1,800,570,1,126,"1,497"
"N. Attleborough",-,2,907,865,0,177,"1,949"
"N. Attleborough",-,3,795,"1,042",5,202,"2,044"
"N. Attleborough",-,4,860,689,4,148,"1,701"
"N. Attleborough",-,5,803,813,0,178,"1,794"
"N. Attleborough",-,6,914,897,0,218,"2,029"
"N. Attleborough",-,7,948,"1,095",3,191,"2,237"
"N. Attleborough",-,8,853,921,2,185,"1,961"
"N. Attleborough",-,9,808,886,3,167,"1,864"
Norton,-,1,895,"1,059",1,319,"2,274"
Norton,-,2,993,"1,083",2,254,"2,332"
Norton,-,3,"1,017","1,075",7,265,"2,364"
Norton,-,4,917,"1,134",4,281,"2,336"
Norton,-,5,579,679,3,156,"1,417"
Plainville,-,1,751,867,0,129,"1,747"
Plainville,-,2,847,882,0,180,"1,909"
Plainville,-,3,826,"1,015",0,159,"2,000"
Randolph,-,1,"1,066",347,4,160,"1,577"
Randolph,-,2,887,247,8,124,"1,266"
Randolph,-,3,773,234,3,137,"1,147"
Randolph,-,4,977,339,0,133,"1,449"
Randolph,-,5,934,314,6,133,"1,387"
Randolph,-,6,636,159,3,84,882
Randolph,-,7,770,292,1,163,"1,226"
Randolph,-,8,808,296,6,123,"1,233"
Randolph,-,9,854,290,2,149,"1,295"
Randolph,-,10,911,378,5,150,"1,444"
Randolph,-,11,802,353,6,169,"1,330"
Randolph,-,12,815,303,7,145,"1,270"
Sharon,-,1,"1,286",644,3,264,"2,197"
Sharon,-,2,"1,178",651,3,264,"2,096"
Sharon,-,3,"1,252",685,2,304,"2,243"
Sharon,-,4,"1,276",630,3,271,"2,180"
Sharon,-,5,"1,206",702,1,281,"2,190"
Sherborn,-,1,"1,724",827,4,251,"2,806"
Stoughton,-,1,"1,009",661,6,113,"1,789"
Stoughton,-,2,811,698,5,115,"1,629"
Stoughton,-,2A,126,91,0,12,229
Stoughton,-,3,"1,058",873,4,138,"2,073"
Stoughton,-,4,952,"1,068",1,146,"2,167"
Stoughton,-,4A,87,80,0,14,181
Stoughton,-,5,696,678,1,110,"1,485"
Stoughton,-,5A,55,65,0,15,135
Stoughton,-,6,"1,000",796,2,155,"1,953"
Stoughton,-,7,931,708,4,93,"1,736"
Stoughton,-,7A,61,36,0,4,101
Stoughton,-,8,704,509,4,88,"1,305"
Stoughton,-,8A,36,45,1,6,88
"W. Bridgewater",-,1,860,"1,218",0,243,"2,321"
"W. Bridgewater",-,2,864,"1,231",0,217,"2,312"
Whitman,-,1,"1,013","1,144",0,219,"2,376"
Whitman,-,2,837,"1,048",1,166,"2,052"
Whitman,-,3,920,"1,086",2,159,"2,167"
Whitman,-,4,948,"1,004",2,174,"2,128"
Wrentham,-,1,777,"1,007",2,164,"1,950"
Wrentham,-,2,840,983,4,153,"1,980"
Wrentham,-,3,803,983,3,146,"1,935"
Wrentham,-,4,820,"1,074",3,149,"2,046"
TOTALS,,,"236,666","176,430",521,"46,507","460,124"
