City/Town,Ward,Pct,"Mara Dolan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acton,-,1,"1,147",24,302,"1,473"
Acton,-,2,"1,521",26,457,"2,004"
Acton,-,3,"1,755",30,456,"2,241"
Acton,-,4,"1,642",22,393,"2,057"
Acton,-,5,"1,581",20,399,"2,000"
Acton,-,6,"1,073",17,285,"1,375"
Acton,-,6A,467,9,108,584
Acton,-,7,"1,219",20,358,"1,597"
Arlington,-,1,776,16,196,988
Arlington,-,2,"1,088",3,292,"1,383"
Arlington,-,3,"1,074",5,233,"1,312"
Arlington,-,4,992,8,241,"1,241"
Arlington,-,5,"1,116",12,276,"1,404"
Arlington,-,6,983,1,275,"1,259"
Arlington,-,7,"1,026",4,266,"1,296"
Arlington,-,8,"1,105",6,318,"1,429"
Arlington,-,9,871,8,240,"1,119"
Arlington,-,10,"1,141",7,285,"1,433"
Arlington,-,11,"1,144",8,337,"1,489"
Arlington,-,12,"1,223",4,305,"1,532"
Arlington,-,13,"1,048",14,369,"1,431"
Arlington,-,14,974,8,251,"1,233"
Arlington,-,15,999,6,272,"1,277"
Arlington,-,16,"1,042",5,307,"1,354"
Arlington,-,17,927,5,273,"1,205"
Arlington,-,18,"1,023",13,335,"1,371"
Arlington,-,19,"1,105",1,250,"1,356"
Arlington,-,20,"1,025",4,268,"1,297"
Arlington,-,21,"1,102",7,246,"1,355"
Ayer,-,1,"1,094",0,425,"1,519"
Ayer,-,2,"1,224",0,534,"1,758"
Ayer,-,3,"1,033",0,394,"1,427"
Bedford,-,1,"1,673",34,531,"2,238"
Bedford,-,2,"1,069",24,362,"1,455"
Bedford,-,2A,301,3,132,436
Bedford,-,3,"1,620",37,573,"2,230"
Bedford,-,4,"1,531",32,510,"2,073"
Belmont,-,1,"1,301",4,488,"1,793"
Belmont,-,2,"1,474",14,652,"2,140"
Belmont,-,3,"1,304",18,456,"1,778"
Belmont,-,4,"1,165",11,374,"1,550"
Belmont,-,5,"1,354",9,427,"1,790"
Belmont,-,6,"1,573",10,556,"2,139"
Belmont,-,7,"1,399",10,406,"1,815"
Belmont,-,8,"1,133",4,512,"1,649"
Billerica,-,1,"1,043",37,492,"1,572"
Billerica,-,2,"1,409",59,639,"2,107"
Billerica,-,3,"1,354",48,693,"2,095"
Billerica,-,4,"1,175",44,600,"1,819"
Billerica,-,5,"1,518",54,844,"2,416"
Billerica,-,6,"1,197",39,546,"1,782"
Billerica,-,7,"1,290",47,581,"1,918"
Billerica,-,8,"1,321",47,625,"1,993"
Billerica,-,9,"1,413",54,731,"2,198"
Billerica,-,10,"1,489",73,774,"2,336"
Billerica,-,11,"1,115",53,567,"1,735"
Billerica,-,12,"1,266",33,611,"1,910"
Boston,4,10,229,8,41,278
Boston,4,12,207,5,53,265
Boston,5,2,726,8,168,902
Boston,5,10,547,16,127,690
Boston,5,12,574,11,109,694
