City/Town,Ward,Pct,"Maura Doyle","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,1,1,709,11,148,868
Boston,1,2,482,6,93,581
Boston,1,3,"1,144",20,185,"1,349"
Boston,1,4,440,6,88,534
Boston,1,5,546,6,134,686
Boston,1,6,468,10,104,582
Boston,1,7,473,7,111,591
Boston,1,8,634,15,130,779
Boston,1,9,500,11,83,594
Boston,1,10,300,4,66,370
Boston,1,11,646,9,196,851
Boston,1,12,613,12,201,826
Boston,1,13,745,16,235,996
Boston,1,14,324,10,116,450
Boston,1,15,2,0,0,2
Boston,2,1,"1,103",19,336,"1,458"
Boston,2,2,"1,288",19,318,"1,625"
Boston,2,3,808,9,230,"1,047"
Boston,2,4,725,14,162,901
Boston,2,5,888,12,216,"1,116"
Boston,2,6,992,9,281,"1,282"
Boston,2,7,844,11,224,"1,079"
Boston,3,1,"1,475",25,447,"1,947"
Boston,3,2,738,10,223,971
Boston,3,3,894,13,206,"1,113"
Boston,3,4,"1,019",19,243,"1,281"
Boston,3,5,"1,588",23,361,"1,972"
Boston,3,6,"2,095",32,546,"2,673"
Boston,3,7,"2,003",16,363,"2,382"
Boston,3,8,"2,285",31,694,"3,010"
Boston,4,1,"1,054",5,208,"1,267"
Boston,4,2,"1,400",21,407,"1,828"
Boston,4,3,723,6,124,853
Boston,4,4,992,16,159,"1,167"
Boston,4,5,716,4,132,852
Boston,4,6,595,11,115,721
Boston,4,7,580,3,96,679
Boston,4,8,609,6,122,737
Boston,4,9,351,0,38,389
Boston,4,10,298,4,32,334
Boston,5,1,"1,855",21,592,"2,468"
Boston,5,2,811,6,99,916
Boston,5,2A,482,7,79,568
Boston,5,3,881,10,258,"1,149"
Boston,5,4,"1,207",11,192,"1,410"
Boston,5,5,380,6,105,491
Boston,5,6,836,15,322,"1,173"
Boston,5,7,"1,083",19,298,"1,400"
Boston,5,8,989,13,264,"1,266"
Boston,5,9,"1,345",16,308,"1,669"
Boston,5,10,784,17,147,948
Boston,5,11,621,8,167,796
Boston,6,1,"2,719",51,535,"3,305"
Boston,6,2,650,14,151,815
Boston,6,3,935,10,195,"1,140"
Boston,6,4,912,11,218,"1,141"
