election_id,office,district,status,filepath
165300,President,Statewide,ok,President/Statewide_165300.csv
165304,U.S. Senate,Statewide,ok,U.S._Senate/Statewide_165304.csv
165323,U.S. House,1st Congressional,ok,U.S._House/1st_Congressional_165323.csv
165343,U.S. House,2nd Congressional,ok,U.S._House/2nd_Congressional_165343.csv
165309,U.S. House,3rd Congressional,ok,U.S._House/3rd_Congressional_165309.csv
165373,U.S. House,4th Congressional,ok,U.S._House/4th_Congressional_165373.csv
165353,U.S. House,5th Congressional,ok,U.S._House/5th_Congressional_165353.csv
165336,U.S. House,6th Congressional,ok,U.S._House/6th_Congressional_165336.csv
165413,U.S. House,7th Congressional,ok,U.S._House/7th_Congressional_165413.csv
165302,U.S. House,8th Congressional,ok,U.S._House/8th_Congressional_165302.csv
165316,U.S. House,9th Congressional,ok,U.S._House/9th_Congressional_165316.csv
165314,Governor's Council,1st,ok,Governors_Council/1st_165314.csv
165367,Governor's Council,2nd,ok,Governors_Council/2nd_165367.csv
165307,Governor's Council,3rd,ok,Governors_Council/3rd_165307.csv
165299,Governor's Council,4th,ok,Governors_Council/4th_165299.csv
165334,Governor's Council,5th,ok,Governors_Council/5th_165334.csv
165410,Governor's Council,6th,ok,Governors_Council/6th_165410.csv
165360,Governor's Council,7th,ok,Governors_Council/7th_165360.csv
165321,Governor's Council,8th,ok,Governors_Council/8th_165321.csv
165325,State Senate,"Berkshire, Hampden, Franklin & Hampshire",ok,State_Senate/Berkshire_Hampden_Franklin__Hampshire_165325.csv
165464,State Senate,First Plymouth & Norfolk,ok,State_Senate/First_Plymouth__Norfolk_165464.csv
165393,State Senate,"Hampden, Hampshire & Worcester",ok,State_Senate/Hampden_Hampshire__Worcester_165393.csv
165448,State Senate,Norfolk & Middlesex,ok,State_Senate/Norfolk__Middlesex_165448.csv
165439,State Senate,"Norfolk, Plymouth & Bristol",ok,State_Senate/Norfolk_Plymouth__Bristol_165439.csv
165395,State Senate,"Norfolk, Worcester & Middlesex",ok,State_Senate/Norfolk_Worcester__Middlesex_165395.csv
165382,State Senate,Second Plymouth & Norfolk,ok,State_Senate/Second_Plymouth__Norfolk_165382.csv
165398,State Senate,Third Bristol & Plymouth,ok,State_Senate/Third_Bristol__Plymouth_165398.csv
165405,State Senate,Worcester & Hampden,ok,State_Senate/Worcester__Hampden_165405.csv
165388,State Senate,Worcester & Hampshire,ok,State_Senate/Worcester__Hampshire_165388.csv
165376,State Senate,Bristol and Norfolk,ok,State_Senate/Bristol_and_Norfolk_165376.csv
165484,State Senate,1st Bristol and Plymouth,ok,State_Senate/1st_Bristol_and_Plymouth_165484.csv
165319,State Senate,2nd Bristol and Plymouth,ok,State_Senate/2nd_Bristol_and_Plymouth_165319.csv
165352,State Senate,Cape and Islands,ok,State_Senate/Cape_and_Islands_165352.csv
165497,State Senate,1st Essex,ok,State_Senate/1st_Essex_165497.csv
165402,State Senate,2nd Essex,ok,State_Senate/2nd_Essex_165402.csv
165514,State Senate,3rd Essex,ok,State_Senate/3rd_Essex_165514.csv
165437,State Senate,1st Essex and Middlesex,ok,State_Senate/1st_Essex_and_Middlesex_165437.csv
165339,State Senate,2nd Essex and Middlesex,ok,State_Senate/2nd_Essex_and_Middlesex_165339.csv
165462,State Senate,Hampden,ok,State_Senate/Hampden_165462.csv
165330,State Senate,Hampden and Hampshire,ok,State_Senate/Hampden_and_Hampshire_165330.csv
165345,State Senate,"Hampshire, Franklin and Worcester",ok,State_Senate/Hampshire_Franklin_and_Worcester_165345.csv
165473,State Senate,1st Middlesex,ok,State_Senate/1st_Middlesex_165473.csv
165452,State Senate,2nd Middlesex,ok,State_Senate/2nd_Middlesex_165452.csv
165391,State Senate,3rd Middlesex,ok,State_Senate/3rd_Middlesex_165391.csv
165356,State Senate,4th Middlesex,ok,State_Senate/4th_Middlesex_165356.csv
165519,State Senate,5th Middlesex,ok,State_Senate/5th_Middlesex_165519.csv
165369,State Senate,Middlesex and Norfolk,ok,State_Senate/Middlesex_and_Norfolk_165369.csv
165312,State Senate,Middlesex and Worcester,ok,State_Senate/Middlesex_and_Worcester_165312.csv
165431,State Senate,Middlesex and Suffolk,ok,State_Senate/Middlesex_and_Suffolk_165431.csv
165305,State Senate,Norfolk and Plymouth,ok,State_Senate/Norfolk_and_Plymouth_165305.csv
165432,State Senate,Norfolk and Suffolk,ok,State_Senate/Norfolk_and_Suffolk_165432.csv
165436,State Senate,Plymouth and Barnstable,ok,State_Senate/Plymouth_and_Barnstable_165436.csv
165430,State Senate,1st Suffolk,ok,State_Senate/1st_Suffolk_165430.csv
165433,State Senate,2nd Suffolk,ok,State_Senate/2nd_Suffolk_165433.csv
165434,State Senate,3rd Suffolk,ok,State_Senate/3rd_Suffolk_165434.csv
165396,State Senate,Suffolk and Middlesex,ok,State_Senate/Suffolk_and_Middlesex_165396.csv
165362,State Senate,Worcester and Middlesex,ok,State_Senate/Worcester_and_Middlesex_165362.csv
165400,State Senate,1st Worcester,ok,State_Senate/1st_Worcester_165400.csv
165378,State Senate,2nd Worcester,ok,State_Senate/2nd_Worcester_165378.csv
165440,State Representative,1st Barnstable,ok,State_Representative/1st_Barnstable_165440.csv
165386,State Representative,2nd Barnstable,ok,State_Representative/2nd_Barnstable_165386.csv
165435,State Representative,3rd Barnstable,ok,State_Representative/3rd_Barnstable_165435.csv
165455,State Representative,4th Barnstable,ok,State_Representative/4th_Barnstable_165455.csv
165385,State Representative,5th Barnstable,ok,State_Representative/5th_Barnstable_165385.csv
165351,State Representative,"Barnstable, Dukes and Nantucket",ok,State_Representative/Barnstable_Dukes_and_Nantucket_165351.csv
165324,State Representative,1st Berkshire,ok,State_Representative/1st_Berkshire_165324.csv
165535,State Representative,2nd Berkshire,ok,State_Representative/2nd_Berkshire_165535.csv
165332,State Representative,3rd Berkshire,ok,State_Representative/3rd_Berkshire_165332.csv
165486,State Representative,1st Bristol,ok,State_Representative/1st_Bristol_165486.csv
165375,State Representative,2nd Bristol,ok,State_Representative/2nd_Bristol_165375.csv
165478,State Representative,3rd Bristol,ok,State_Representative/3rd_Bristol_165478.csv
165532,State Representative,4th Bristol,ok,State_Representative/4th_Bristol_165532.csv
165469,State Representative,5th Bristol,ok,State_Representative/5th_Bristol_165469.csv
165483,State Representative,6th Bristol,ok,State_Representative/6th_Bristol_165483.csv
165482,State Representative,7th Bristol,ok,State_Representative/7th_Bristol_165482.csv
165317,State Representative,8th Bristol,ok,State_Representative/8th_Bristol_165317.csv
165467,State Representative,9th Bristol,ok,State_Representative/9th_Bristol_165467.csv
165318,State Representative,10th Bristol,ok,State_Representative/10th_Bristol_165318.csv
