City/Town,Ward,Pct,"Maura Healey","James R. McMahon, III","All Others",Blanks,"Total Votes Cast"
Concord,-,2,"1,967",422,2,27,"2,418"
Concord,-,3,"1,702",413,0,29,"2,144"
Concord,-,4,"1,791",394,0,56,"2,241"
Concord,-,5,"1,115",291,2,20,"1,428"
Conway,-,1,876,222,0,18,"1,116"
Cummington,-,1,359,119,0,7,485
Dalton,-,1,996,415,7,59,"1,477"
Dalton,-,2,"1,019",383,7,50,"1,459"
Danvers,-,1,"1,084",499,0,49,"1,632"
Danvers,-,2,"1,043",557,1,27,"1,628"
Danvers,-,3,837,485,0,34,"1,356"
Danvers,-,4,"1,043",536,1,52,"1,632"
Danvers,-,5,983,618,0,51,"1,652"
Danvers,-,6,"1,025",675,0,38,"1,738"
Danvers,-,7,"1,020",582,2,33,"1,637"
Danvers,-,8,856,544,1,28,"1,429"
Dartmouth,-,1,808,766,1,37,"1,612"
Dartmouth,-,2,585,410,0,28,"1,023"
Dartmouth,-,3,144,19,5,0,168
Dartmouth,-,4,915,533,1,37,"1,486"
Dartmouth,-,5,"1,027",612,0,53,"1,692"
Dartmouth,-,6,727,454,0,24,"1,205"
Dartmouth,-,7,922,630,0,58,"1,610"
Dartmouth,-,8,"1,334",660,1,47,"2,042"
Dartmouth,-,9,"1,315",759,0,54,"2,128"
Dedham,-,1,"1,331",402,0,52,"1,785"
Dedham,-,2,"1,238",512,0,58,"1,808"
Dedham,-,3,"1,095",381,1,41,"1,518"
Dedham,-,4,"1,211",467,3,63,"1,744"
Dedham,-,5,"1,242",554,2,58,"1,856"
Dedham,-,6,"1,314",516,0,64,"1,894"
Dedham,-,7,"1,206",559,2,67,"1,834"
Deerfield,-,1,"2,003",610,1,39,"2,653"
Dennis,-,1,"1,069",761,1,22,"1,853"
Dennis,-,2,"1,118",716,0,21,"1,855"
Dennis,-,3,912,495,0,24,"1,431"
Dennis,-,4,987,667,0,21,"1,675"
Dennis,-,5,"1,001",538,0,22,"1,561"
Dighton,-,1,766,713,0,48,"1,527"
Dighton,-,2,889,815,0,39,"1,743"
Douglas,-,1,604,758,0,34,"1,396"
Douglas,-,2,668,667,0,38,"1,373"
Douglas,-,3,552,629,1,20,"1,202"
Dover,-,1,"1,998","1,079",0,56,"3,133"
Dracut,-,1,737,502,0,25,"1,264"
Dracut,-,2,680,443,0,27,"1,150"
Dracut,-,3,827,602,0,38,"1,467"
Dracut,-,4,912,798,0,52,"1,762"
Dracut,-,5,788,623,0,39,"1,450"
Dracut,-,6,771,538,0,37,"1,346"
Dracut,-,6A,36,22,0,4,62
Dracut,-,7,768,493,0,35,"1,296"
Dracut,-,8,"1,024",906,0,57,"1,987"
Dracut,-,9,871,580,0,41,"1,492"
Dudley,-,1,896,775,0,28,"1,699"
Dudley,-,2,662,674,1,25,"1,362"
Dudley,-,3,615,610,1,27,"1,253"
Dunstable,-,1,"1,033",674,0,30,"1,737"
Duxbury,-,1,951,612,1,33,"1,597"
Duxbury,-,2,848,621,0,23,"1,492"
Duxbury,-,3,844,512,1,23,"1,380"
Duxbury,-,4,846,508,0,26,"1,380"
Duxbury,-,5,861,554,0,16,"1,431"
Duxbury,-,6,735,508,0,20,"1,263"
"E. Bridgewater",-,1,836,715,0,53,"1,604"
"E. Bridgewater",-,2,838,714,0,35,"1,587"
"E. Bridgewater",-,3,962,784,0,57,"1,803"
"E. Bridgewater",-,4,825,653,0,39,"1,517"
"E. Brookfield",-,1,504,513,0,16,"1,033"
"E. Longmeadow",-,1,"1,099",743,0,47,"1,889"
"E. Longmeadow",-,2,"1,021",691,2,50,"1,764"
"E. Longmeadow",-,3,"1,078",781,0,51,"1,910"
"E. Longmeadow",-,4,"1,043",921,1,49,"2,014"
Eastham,-,1,"2,278",992,3,34,"3,307"
Easthampton,-,1,"1,189",354,2,29,"1,574"
Easthampton,-,2,"1,442",275,0,34,"1,751"
Easthampton,-,3,"1,225",325,0,37,"1,587"
Easthampton,-,4,"1,530",335,1,25,"1,891"
Easthampton,-,5,"1,167",589,0,48,"1,804"
Easton,-,1,610,373,0,26,"1,009"
Easton,-,2,"1,249",728,0,44,"2,021"
Easton,-,3,"1,020",578,0,32,"1,630"
Easton,-,4,"1,207",708,0,44,"1,959"
Easton,-,5,"1,390",709,0,49,"2,148"
Easton,-,6,"1,090",746,2,44,"1,882"
Edgartown,-,1,"1,702",651,0,61,"2,414"
Egremont,-,1,636,125,5,27,793
Erving,-,1,424,216,1,10,651
Essex,-,1,"1,383",618,0,41,"2,042"
Everett,1,1,561,181,1,33,776
Everett,1,2,456,145,0,34,635
Everett,2,1,637,182,0,25,844
Everett,2,2,524,163,2,39,728
Everett,3,1,757,206,3,40,"1,006"
Everett,3,2,660,198,1,32,891
Everett,4,1,738,260,2,27,"1,027"
Everett,4,2,654,152,1,27,834
Everett,5,1,663,177,3,26,869
Everett,5,2,671,158,1,37,867
Everett,6,1,713,213,1,25,952
Everett,6,2,714,179,0,41,934
Fairhaven,-,1,805,458,1,26,"1,290"
Fairhaven,-,2,736,416,0,28,"1,180"
Fairhaven,-,3,521,378,1,29,929
Fairhaven,-,4,690,442,0,33,"1,165"
Fairhaven,-,5,709,573,1,36,"1,319"
Fairhaven,-,6,662,539,0,33,"1,234"
"Fall River",1,A,617,403,0,65,"1,085"
"Fall River",1,B,415,266,1,47,729
"Fall River",1,C,423,289,0,50,762
"Fall River",2,A,348,146,0,32,526
"Fall River",2,B,327,144,1,18,490
"Fall River",2,C,352,194,0,58,604
"Fall River",3,A,517,254,0,47,818
"Fall River",3,B,448,227,1,42,718
"Fall River",3,C,486,271,1,43,801
"Fall River",4,A,340,172,30,0,542
"Fall River",4,B,305,115,0,34,454
"Fall River",4,C,378,109,1,56,544
"Fall River",5,A,228,94,0,29,351
"Fall River",5,B,200,76,0,21,297
"Fall River",5,B1,41,19,0,8,68
"Fall River",5,C,300,143,0,32,475
"Fall River",6,A,525,335,0,63,923
"Fall River",6,B,415,165,0,37,617
"Fall River",6,C,463,240,0,44,747
"Fall River",6,C1,8,4,0,0,12
"Fall River",7,A,534,273,0,44,851
"Fall River",7,B,380,169,0,25,574
"Fall River",7,C,476,206,0,52,734
"Fall River",8,A,456,199,1,45,701
"Fall River",8,B,725,374,0,49,"1,148"
"Fall River",8,C,781,397,2,79,"1,259"
"Fall River",9,A,921,509,1,83,"1,514"
"Fall River",9,B,590,338,0,66,994
"Fall River",9,C,621,311,0,78,"1,010"
Falmouth,-,1,"1,702",481,1,44,"2,228"
Falmouth,-,2,"1,282",590,0,41,"1,913"
Falmouth,-,3,"1,144",661,0,18,"1,823"
Falmouth,-,4,"1,181",734,1,17,"1,933"
Falmouth,-,5,"1,411",797,1,35,"2,244"
Falmouth,-,6,"1,295",709,1,32,"2,037"
Falmouth,-,7,"1,068",748,0,31,"1,847"
Falmouth,-,8,"1,127",749,0,25,"1,901"
Falmouth,-,9,"1,046",657,1,16,"1,720"
Fitchburg,1,A,487,250,0,18,755
Fitchburg,1,B,665,298,1,22,986
Fitchburg,2,A,492,164,0,18,674
Fitchburg,2,B,694,405,0,30,"1,129"
Fitchburg,3,A,935,604,0,39,"1,578"
Fitchburg,3,B,720,420,0,29,"1,169"
Fitchburg,4,A,318,174,0,16,508
Fitchburg,4,B,515,217,0,12,744
Fitchburg,5,A,842,593,0,36,"1,471"
Fitchburg,5,B,419,150,0,13,582
Fitchburg,6,A,782,467,0,34,"1,283"
Fitchburg,6,B,554,229,0,19,802
Florida,-,1,168,148,0,9,325
Foxborough,-,1,998,512,1,39,"1,550"
Foxborough,-,2,"1,142",634,0,40,"1,816"
Foxborough,-,3,"1,085",683,0,47,"1,815"
Foxborough,-,4,"1,078",638,1,38,"1,755"
Foxborough,-,5,"1,007",626,0,32,"1,665"
Framingham,-,1,"1,424",505,1,33,"1,963"
Framingham,-,2,"1,746",541,2,45,"2,334"
Framingham,-,3,"1,297",316,2,34,"1,649"
Framingham,-,4,"1,509",466,0,40,"2,015"
Framingham,-,5,"1,360",449,1,37,"1,847"
Framingham,-,6,"1,383",445,1,43,"1,872"
Framingham,-,7,"1,284",376,1,24,"1,685"
Framingham,-,8,"1,297",342,2,21,"1,662"
Framingham,-,9,903,258,1,21,"1,183"
Framingham,-,10,694,150,1,16,861
Framingham,-,11,"1,505",497,2,33,"2,037"
Framingham,-,12,699,206,0,15,920
Framingham,-,13,893,239,1,18,"1,151"
Framingham,-,14,569,138,1,11,719
Framingham,-,15,690,172,2,16,880
Framingham,-,16,325,91,0,4,420
Framingham,-,17,378,37,1,10,426
Framingham,-,18,597,157,1,11,766
Franklin,-,1,"1,117",614,1,48,"1,780"
Franklin,-,2,"1,169",620,2,42,"1,833"
Franklin,-,3,"1,156",611,0,43,"1,810"
Franklin,-,4,"1,225",814,1,39,"2,079"
Franklin,-,5,"1,315",682,2,45,"2,044"
Franklin,-,6,"1,095",528,1,32,"1,656"
Franklin,-,7,"1,286",663,1,47,"1,997"
Franklin,-,8,"1,159",755,0,54,"1,968"
Freetown,-,1,633,611,1,29,"1,274"
Freetown,-,2,684,634,2,43,"1,363"
Freetown,-,3,635,645,0,36,"1,316"
Gardner,1,A,546,334,0,22,902
Gardner,1,B,190,152,0,10,352
Gardner,2,A,430,307,0,21,758
Gardner,2,B,512,358,0,24,894
Gardner,3,A,390,211,0,14,615
Gardner,3,B,533,282,0,12,827
Gardner,4,A,471,218,0,24,713
Gardner,4,B,276,142,0,11,429
Gardner,5,A,375,206,0,13,594
Gardner,5,B,491,384,0,17,892
Georgetown,-,1,873,647,0,28,"1,548"
Georgetown,-,2,819,534,0,19,"1,372"
Georgetown,-,3,781,481,0,29,"1,291"
Gill,-,1,566,215,2,14,797
Gloucester,1,1,"1,190",423,2,44,"1,659"
Gloucester,1,2,922,363,0,22,"1,307"
Gloucester,2,1,687,250,1,21,959
Gloucester,2,2,732,221,2,34,989
Gloucester,3,1,789,309,0,38,"1,136"
Gloucester,3,2,842,369,0,33,"1,244"
Gloucester,4,1,960,438,0,31,"1,429"
Gloucester,4,2,"1,361",410,0,36,"1,807"
Gloucester,5,1,"1,151",526,0,44,"1,721"
Gloucester,5,2,"1,085",524,1,41,"1,651"
Goshen,-,1,383,159,0,7,549
Gosnold,-,1,38,18,0,1,57
Grafton,-,1,"1,020",613,0,32,"1,665"
Grafton,-,2,"1,109",607,0,28,"1,744"
Grafton,-,3,"1,089",614,0,41,"1,744"
Grafton,-,4,859,542,0,31,"1,432"
Grafton,-,5,"1,212",633,0,46,"1,891"
Granby,-,1,"1,001",613,0,44,"1,658"
Granby,-,2,766,631,0,34,"1,431"
Granville,-,1,340,433,0,13,786
"Great Barrington",-,A,691,146,2,28,867
"Great Barrington",-,B,686,159,5,19,869
"Great Barrington",-,C,537,73,1,14,625
"Great Barrington",-,D,712,139,2,23,876
Greenfield,-,1,568,224,0,17,809
Greenfield,-,2,774,256,0,28,"1,058"
Greenfield,-,3,654,197,0,23,874
Greenfield,-,4,739,205,0,10,954
Greenfield,-,5,744,133,0,15,892
Greenfield,-,6,725,133,0,24,882
Greenfield,-,7,473,189,0,9,671
Greenfield,-,8,534,114,1,14,663
Greenfield,-,9,442,159,0,12,613
Groton,-,1,"1,389",601,1,27,"2,018"
Groton,-,2,"1,244",634,0,31,"1,909"
Groton,-,3,"1,272",580,0,58,"1,910"
Groveland,-,1,968,720,0,35,"1,723"
Groveland,-,2,987,743,3,36,"1,769"
Hadley,-,1,"2,093",638,2,48,"2,781"
Halifax,-,1,989,886,0,45,"1,920"
Halifax,-,2,978,753,1,43,"1,775"
Hamilton,-,1,993,514,0,30,"1,537"
Hamilton,-,2,954,497,1,24,"1,476"
Hamilton,-,3,739,348,1,18,"1,106"
Hampden,-,1,"1,308","1,172",0,48,"2,528"
Hancock,-,1,202,147,0,9,358
Hanover,-,1,"1,030",841,1,37,"1,909"
Hanover,-,2,"1,053",838,2,41,"1,934"
Hanover,-,3,"1,057",778,1,37,"1,873"
Hanover,-,4,"1,028",800,0,55,"1,883"
Hanson,-,1,942,782,0,48,"1,772"
Hanson,-,2,966,798,2,58,"1,824"
Hanson,-,3,848,708,0,52,"1,608"
Hardwick,-,1,595,523,0,23,"1,141"
Harvard,-,1,"2,415",888,2,67,"3,372"
Harwich,-,1,"1,210",750,0,23,"1,983"
Harwich,-,2,"1,187",746,1,20,"1,954"
Harwich,-,3,"1,146",758,1,28,"1,933"
Harwich,-,4,"1,069",596,1,30,"1,696"
Hatfield,-,1,"1,322",469,2,36,"1,829"
Haverhill,1,1,466,161,0,14,641
Haverhill,1,2,719,275,3,23,"1,020"
Haverhill,1,3,561,270,1,22,854
Haverhill,2,1,648,296,0,19,963
Haverhill,2,2,641,401,0,26,"1,068"
Haverhill,2,3,466,162,1,20,649
Haverhill,3,1,416,89,0,12,517
Haverhill,3,2,558,180,0,19,757
Haverhill,3,3,589,246,1,15,851
Haverhill,4,1,751,493,1,39,"1,284"
Haverhill,4,2,875,637,0,35,"1,547"
Haverhill,4,3,813,497,2,22,"1,334"
Haverhill,5,1,815,388,0,47,"1,250"
Haverhill,5,2,794,585,0,26,"1,405"
Haverhill,5,3,887,691,0,22,"1,600"
Haverhill,6,1,678,376,0,28,"1,082"
Haverhill,6,2,702,420,1,33,"1,156"
Haverhill,6,3,870,442,1,38,"1,351"
Haverhill,7,1,844,457,0,42,"1,343"
Haverhill,7,2,711,401,0,28,"1,140"
Haverhill,7,3,858,603,2,41,"1,504"
Hawley,-,1,109,61,2,0,172
Heath,-,1,235,122,0,14,371
Hingham,-,1,"1,274",605,1,27,"1,907"
Hingham,-,2,"1,499",566,9,73,"2,147"
Hingham,-,3,"1,363",669,2,56,"2,090"
Hingham,-,4,"1,316",647,3,41,"2,007"
Hingham,-,5,884,548,1,24,"1,457"
Hingham,-,5A,741,236,0,30,"1,007"
Hingham,-,6,"1,254",685,1,42,"1,982"
Hinsdale,-,1,588,295,0,39,922
Holbrook,-,1,739,337,1,22,"1,099"
Holbrook,-,2,733,432,0,40,"1,205"
Holbrook,-,3,702,393,1,33,"1,129"
Holbrook,-,4,706,347,0,29,"1,082"
Holden,-,1,"1,054",772,1,41,"1,868"
Holden,-,2,"1,171",741,0,50,"1,962"
Holden,-,3,"1,092",638,2,38,"1,770"
Holden,-,4,"1,216",832,3,55,"2,106"
Holden,-,5,"1,199",804,0,40,"2,043"
Holland,-,1,546,579,1,25,"1,151"
Holliston,-,1,"1,440",621,4,37,"2,102"
Holliston,-,2,"1,412",508,0,40,"1,960"
Holliston,-,3,"1,295",460,0,38,"1,793"
Holliston,-,4,"1,204",504,2,30,"1,740"
Holyoke,1,A,397,84,1,20,502
Holyoke,1,B,487,77,0,19,583
Holyoke,2,A,411,94,0,20,525
Holyoke,2,B,367,54,0,25,446
Holyoke,3,A,697,191,1,35,924
Holyoke,3,B,845,327,0,37,"1,209"
Holyoke,4,A,365,63,0,19,447
Holyoke,4,B,608,127,0,28,763
Holyoke,5,A,936,585,0,34,"1,555"
Holyoke,5,B,649,275,0,28,952
Holyoke,6,A,570,168,1,15,754
Holyoke,6,B,778,224,0,32,"1,034"
Holyoke,7,A,"1,033",427,0,33,"1,493"
Holyoke,7,B,982,259,0,23,"1,264"
Hopedale,-,1,"1,775","1,032",1,77,"2,885"
Hopkinton,-,1,"1,558",615,1,44,"2,218"
Hopkinton,-,2,"1,300",616,0,36,"1,952"
Hopkinton,-,3,"1,272",632,1,35,"1,940"
Hopkinton,-,4,"1,290",586,0,25,"1,901"
Hubbardston,-,1,"1,137","1,107",0,47,"2,291"
Hudson,-,1,915,417,0,19,"1,351"
Hudson,-,2,719,315,1,12,"1,047"
Hudson,-,3,887,464,1,27,"1,379"
Hudson,-,4,926,504,1,34,"1,465"
Hudson,-,5,"1,197",490,0,22,"1,709"
Hudson,-,6,663,297,0,15,975
Hudson,-,7,717,267,0,32,"1,016"
Hull,-,1,"1,296",528,1,33,"1,858"
Hull,-,2,"1,088",465,1,41,"1,595"
Hull,-,3,"1,353",632,2,42,"2,029"
Huntington,-,1,518,417,0,17,952
Ipswich,-,1,"1,366",482,0,45,"1,893"
Ipswich,-,2,"1,387",638,0,66,"2,091"
Ipswich,-,3,"1,122",686,0,60,"1,868"
Ipswich,-,4,"1,279",613,0,74,"1,966"
Kingston,-,1,921,566,0,43,"1,530"
Kingston,-,2,970,745,1,52,"1,768"
Kingston,-,3,943,758,0,43,"1,744"
Kingston,-,4,853,576,0,39,"1,468"
Lakeville,-,1,838,842,0,47,"1,727"
Lakeville,-,2,818,895,0,52,"1,765"
Lakeville,-,3,978,920,2,54,"1,954"
Lancaster,-,1,904,671,0,33,"1,608"
Lancaster,-,2,"1,029",707,0,40,"1,776"
Lanesborough,-,1,910,467,3,58,"1,438"
Lawrence,A,1,576,118,3,21,718
Lawrence,A,2,391,58,0,32,481
Lawrence,A,3,500,129,0,25,654
Lawrence,A,4,556,83,0,15,654
Lawrence,B,1,587,101,1,46,735
Lawrence,B,2,425,62,1,21,509
Lawrence,B,3,463,85,1,31,580
Lawrence,B,4,647,77,3,75,802
Lawrence,C,1,406,62,1,24,493
Lawrence,C,2,631,136,2,20,789
Lawrence,C,3,417,37,0,23,477
Lawrence,C,4,522,67,2,39,630
Lawrence,D,1,537,112,1,29,679
Lawrence,D,2,478,58,1,31,568
Lawrence,D,3,365,68,2,38,473
Lawrence,D,4,377,50,0,29,456
Lawrence,E,1,766,303,0,40,"1,109"
Lawrence,E,2,726,265,0,26,"1,017"
Lawrence,E,3,455,107,0,22,584
Lawrence,E,4,531,101,2,37,671
Lawrence,F,1,639,197,0,30,866
Lawrence,F,2,458,43,0,21,522
Lawrence,F,3,431,82,1,25,539
Lawrence,F,4,438,86,0,19,543
Lee,-,1,"1,814",650,9,110,"2,583"
Leicester,-,1,640,561,2,31,"1,234"
Leicester,-,2,651,489,1,25,"1,166"
Leicester,-,3,578,532,0,23,"1,133"
Leicester,-,4,634,491,1,38,"1,164"
Lenox,-,1,"2,095",516,15,111,"2,737"
Leominster,1,A,759,548,2,36,"1,345"
Leominster,1,B,743,467,0,31,"1,241"
Leominster,1,C,597,313,0,20,930
Leominster,2,A,433,197,0,16,646
Leominster,2,B,569,361,0,15,945
Leominster,2,C,319,185,0,15,519
Leominster,3,A,519,302,0,14,835
Leominster,3,B,763,474,1,31,"1,269"
Leominster,3,C,787,559,0,29,"1,375"
Leominster,4,A,776,542,0,34,"1,352"
Leominster,4,B,719,548,0,33,"1,300"
Leominster,4,C,522,311,0,17,850
Leominster,5,A,572,312,0,26,910
Leominster,5,B,721,446,1,59,"1,227"
Leominster,5,C,510,269,0,22,801
Leverett,-,1,"1,009",119,0,20,"1,148"
Lexington,-,1,"1,273",293,0,35,"1,601"
Lexington,-,2,"1,686",276,2,45,"2,009"
Lexington,-,3,"1,250",219,1,27,"1,497"
Lexington,-,4,"1,556",303,1,58,"1,918"
Lexington,-,5,"1,446",409,0,39,"1,894"
Lexington,-,6,"1,422",324,0,40,"1,786"
Lexington,-,7,"1,435",375,0,35,"1,845"
Lexington,-,8,"1,380",329,1,53,"1,763"
Lexington,-,9,"1,396",350,0,35,"1,781"
Leyden,-,1,312,114,0,7,433
Lincoln,-,1,"1,833",337,1,33,"2,204"
Lincoln,-,2,"1,077",252,3,20,"1,352"
Littleton,-,1,"1,292",572,0,34,"1,898"
Littleton,-,2,"1,160",557,0,34,"1,751"
Littleton,-,3,"1,127",460,0,36,"1,623"
Longmeadow,-,A,"1,133",515,2,39,"1,689"
Longmeadow,-,B,"1,063",436,0,39,"1,538"
Longmeadow,-,C,"1,074",602,1,58,"1,735"
Longmeadow,-,D,"1,031",623,1,37,"1,692"
Longmeadow,-,E,983,490,2,42,"1,517"
Lowell,1,1,479,121,0,25,625
Lowell,1,2,"1,192",559,0,76,"1,827"
Lowell,1,3,"1,041",414,0,60,"1,515"
Lowell,2,1,369,59,0,27,455
Lowell,2,2,491,84,0,65,640
Lowell,2,3,"1,072",182,0,41,"1,295"
Lowell,3,1,527,166,0,39,732
Lowell,3,2,414,117,0,46,577
Lowell,3,3,419,133,0,31,583
Lowell,4,1,585,210,0,72,867
Lowell,4,2,356,117,0,50,523
Lowell,4,3,391,124,0,40,555
Lowell,5,1,569,219,0,26,814
Lowell,5,2,414,142,0,28,584
Lowell,5,3,554,256,0,34,844
Lowell,6,1,682,325,0,35,"1,042"
Lowell,6,2,784,335,0,45,"1,164"
Lowell,6,3,646,271,0,40,957
Lowell,7,1,436,104,0,30,570
Lowell,7,2,494,103,0,41,638
Lowell,7,3,222,154,0,25,401
Lowell,8,1,533,158,0,49,740
Lowell,8,2,501,208,0,50,759
Lowell,8,3,916,361,0,77,"1,354"
Lowell,9,1,504,163,0,36,703
Lowell,9,2,718,281,0,24,"1,023"
Lowell,9,3,557,213,0,23,793
Lowell,10,1,548,182,0,31,761
Lowell,10,2,349,109,0,20,478
Lowell,10,3,283,84,0,19,386
Lowell,11,1,610,220,0,30,860
Lowell,11,2,623,328,0,35,986
Lowell,11,3,675,257,0,41,973
Ludlow,-,1,829,576,1,41,"1,447"
Ludlow,-,2,573,344,2,38,957
Ludlow,-,3,813,750,2,45,"1,610"
Ludlow,-,4,795,551,0,62,"1,408"
Ludlow,-,5,595,480,0,33,"1,108"
Ludlow,-,6,883,723,1,55,"1,662"
Lunenburg,-,A,821,566,1,31,"1,419"
Lunenburg,-,B,743,457,1,19,"1,220"
Lunenburg,-,C,771,617,1,26,"1,415"
Lunenburg,-,D,747,512,0,21,"1,280"
Lynn,1,1,944,552,2,71,"1,569"
Lynn,1,2,"1,031",558,1,58,"1,648"
Lynn,1,3,908,383,1,37,"1,329"
Lynn,1,4,847,339,2,41,"1,229"
Lynn,2,1,"1,020",498,0,42,"1,560"
Lynn,2,2,650,165,2,21,838
Lynn,2,3,474,91,0,18,583
Lynn,2,4,462,78,0,13,553
Lynn,3,1,749,267,1,33,"1,050"
Lynn,3,2,660,170,2,20,852
Lynn,3,3,701,213,1,19,934
Lynn,3,4,812,211,3,26,"1,052"
Lynn,4,1,316,32,1,5,354
Lynn,4,2,394,67,0,10,471
Lynn,4,3,543,119,1,23,686
Lynn,4,4,696,201,1,20,918
Lynn,5,1,691,211,0,33,935
Lynn,5,2,316,37,1,17,371
Lynn,5,3,392,73,1,18,484
Lynn,5,4,771,192,2,35,"1,000"
Lynn,6,1,510,117,0,17,644
Lynn,6,2,299,98,1,15,413
Lynn,6,3,489,116,0,25,630
Lynn,6,4,406,88,0,27,521
Lynn,7,1,967,335,1,36,"1,339"
Lynn,7,2,853,247,1,43,"1,144"
Lynn,7,3,546,182,0,14,742
Lynn,7,4,616,204,2,34,856
Lynnfield,-,1,900,705,0,27,"1,632"
Lynnfield,-,2,945,661,0,36,"1,642"
Lynnfield,-,3,795,603,0,41,"1,439"
Lynnfield,-,4,867,797,0,44,"1,708"
Malden,1,1,684,130,1,29,844
Malden,1,2,872,235,2,32,"1,141"
Malden,2,1,741,169,1,26,937
Malden,2,2,793,258,2,34,"1,087"
Malden,3,1,"1,064",241,2,26,"1,333"
Malden,3,2,"1,169",323,0,29,"1,521"
Malden,4,1,735,144,2,30,911
Malden,4,2,621,127,2,30,780
Malden,5,1,851,196,1,20,"1,068"
Malden,5,2,"1,150",367,1,46,"1,564"
Malden,6,1,943,297,2,35,"1,277"
Malden,6,2,862,267,2,43,"1,174"
Malden,7,1,757,108,5,27,897
Malden,7,2,748,187,2,33,970
Malden,8,1,869,277,1,30,"1,177"
Malden,8,2,817,249,0,25,"1,091"
Manchester-by-the-Sea,-,1,"2,224",887,0,65,"3,176"
Mansfield,-,1,"1,086",725,0,47,"1,858"
Mansfield,-,2,"1,187",676,0,37,"1,900"
Mansfield,-,3,"1,302",729,0,48,"2,079"
Mansfield,-,4,"1,135",614,0,35,"1,784"
Mansfield,-,5,"1,134",489,0,40,"1,663"
Mansfield,-,6,"1,120",487,0,26,"1,633"
Marblehead,-,1,"1,427",556,0,29,"2,012"
Marblehead,-,2,"1,458",487,0,60,"2,005"
Marblehead,-,3,"1,271",482,0,27,"1,780"
Marblehead,-,4,"1,361",571,1,30,"1,963"
Marblehead,-,5,"1,353",526,0,37,"1,916"
Marblehead,-,6,"1,371",535,0,39,"1,945"
Marion,-,1,"1,730","1,024",0,58,"2,812"
Marlborough,1,1,658,249,0,26,933
Marlborough,1,2,974,482,0,35,"1,491"
Marlborough,2,1,767,360,0,21,"1,148"
Marlborough,2,2,640,266,0,28,934
Marlborough,3,1,498,217,0,17,732
Marlborough,3,2,"1,034",446,1,27,"1,508"
Marlborough,4,1,414,179,1,16,610
Marlborough,4,2,882,406,0,22,"1,310"
Marlborough,5,1,486,175,2,11,674
Marlborough,5,2,760,328,1,18,"1,107"
Marlborough,6,1,564,221,0,18,803
Marlborough,6,2,858,458,1,33,"1,350"
Marlborough,7,1,654,280,0,17,951
Marlborough,7,2,652,309,0,14,975
Marshfield,-,1,"1,137",747,0,29,"1,913"
Marshfield,-,2,"1,154",804,0,43,"2,001"
Marshfield,-,3,"1,122",719,0,34,"1,875"
Marshfield,-,4,"1,049",724,0,30,"1,803"
Marshfield,-,5,980,646,0,42,"1,668"
Marshfield,-,6,"1,237",878,0,52,"2,167"
Marshfield,-,7,"1,151",831,0,23,"2,005"
Mashpee,-,1,"1,149",711,1,28,"1,889"
Mashpee,-,2,842,587,0,24,"1,453"
Mashpee,-,3,686,522,1,11,"1,220"
Mashpee,-,4,846,515,0,23,"1,384"
Mashpee,-,5,977,844,0,31,"1,852"
Mattapoisett,-,1,"2,238","1,484",2,73,"3,797"
Maynard,-,1,"1,022",363,2,25,"1,412"
Maynard,-,2,"1,017",302,1,24,"1,344"
Maynard,-,3,"1,019",366,0,24,"1,409"
Maynard,-,4,947,342,1,20,"1,310"
Medfield,-,1,"1,178",480,1,35,"1,694"
Medfield,-,2,"1,074",513,0,43,"1,630"
Medfield,-,3,"1,108",535,1,40,"1,684"
Medfield,-,4,"1,069",538,0,45,"1,652"
Medford,1,1,"1,139",304,2,36,"1,481"
Medford,1,2,"1,204",309,1,46,"1,560"
Medford,2,1,"1,140",426,7,39,"1,612"
Medford,2,2,"1,302",488,2,38,"1,830"
Medford,3,1,"1,328",434,0,59,"1,821"
Medford,3,2,"1,410",512,1,35,"1,958"
Medford,4,1,851,117,0,9,977
Medford,4,2,"1,476",302,1,38,"1,817"
Medford,5,1,"1,422",246,3,34,"1,705"
Medford,5,2,"1,092",167,0,25,"1,284"
Medford,6,1,"1,735",253,6,39,"2,033"
Medford,6,2,"1,366",347,5,42,"1,760"
Medford,7,1,785,175,0,24,984
Medford,7,2,"1,190",261,1,33,"1,485"
Medford,8,1,"1,366",369,1,44,"1,780"
Medford,8,2,"1,174",288,3,39,"1,504"
Medway,-,1,897,578,0,32,"1,507"
Medway,-,2,"1,017",553,0,32,"1,602"
Medway,-,3,"1,021",581,2,40,"1,644"
Medway,-,4,"1,048",598,0,25,"1,671"
Melrose,1,1,832,250,0,26,"1,108"
Melrose,1,2,803,238,0,21,"1,062"
Melrose,2,1,818,323,1,34,"1,176"
Melrose,2,2,733,260,2,27,"1,022"
Melrose,3,1,789,218,1,24,"1,032"
Melrose,3,2,710,233,1,24,968
Melrose,4,1,710,238,1,21,970
Melrose,4,2,748,406,1,31,"1,186"
Melrose,5,1,844,216,1,22,"1,083"
Melrose,5,2,728,206,1,27,962
Melrose,6,1,702,216,2,15,935
Melrose,6,2,756,308,0,36,"1,100"
Melrose,7,1,748,236,0,21,"1,005"
Melrose,7,2,779,285,1,23,"1,088"
Mendon,-,1,"1,582","1,266",0,85,"2,933"
Merrimac,-,1,"1,078",583,1,51,"1,713"
Merrimac,-,2,"1,029",654,0,32,"1,715"
Methuen,-,1,943,510,1,26,"1,480"
Methuen,-,2,580,113,2,21,716
