City/Town,Ward,Pct,"Harris/ Walz","Trump/ Vance","Stein/ Caballero-Roca","Ayyadurai/ Ellis","Oliver/ Ter Maat","De La Cruz/ Garcia","Sonski/ Onak","West/ Abdullah","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled,Unenrolled,Libertarian,Unenrolled,Unenrolled,Unenrolled
Methuen,-,3,871,745,9,7,5,5,0,0,8,5,"1,655"
Methuen,-,4,772,624,4,5,7,10,0,0,2,11,"1,435"
Methuen,-,5,824,806,22,6,5,3,0,0,12,0,"1,678"
Methuen,-,6,668,721,12,4,3,5,0,0,5,5,"1,423"
Methuen,-,6A,89,73,2,1,0,2,0,0,1,1,169
Methuen,-,7,951,917,18,10,1,5,0,0,19,12,"1,933"
Methuen,-,8,892,939,4,13,7,5,0,0,9,6,"1,875"
Methuen,-,9,806,"1,058",16,10,7,10,0,0,13,9,"1,929"
Methuen,-,10,879,862,17,10,7,3,0,0,11,20,"1,809"
Methuen,-,11,972,"1,156",6,11,6,5,0,0,13,13,"2,182"
Methuen,-,12,922,883,11,8,7,3,0,0,9,0,"1,843"
Methuen,-,13,521,535,1,7,1,3,0,0,11,4,"1,083"
Methuen,-,13A,307,297,2,5,5,1,0,0,5,2,624
Methuen,-,14,897,755,6,7,3,5,0,0,2,0,"1,675"
Methuen,-,15,670,546,10,9,7,3,0,0,3,5,"1,253"
Middleborough,-,1,"1,183","1,414",7,10,9,4,0,1,4,26,"2,658"
Middleborough,-,2,824,901,2,11,12,4,0,0,9,12,"1,775"
Middleborough,-,3,814,"1,254",4,11,8,1,1,1,6,17,"2,117"
Middleborough,-,4,695,843,8,12,10,3,0,0,8,8,"1,587"
Middleborough,-,5,704,"1,113",8,10,9,4,1,0,6,16,"1,871"
Middleborough,-,5A,148,259,2,1,0,1,0,0,1,2,414
Middleborough,-,6,847,"1,179",5,10,15,5,0,0,8,22,"2,091"
Middleborough,-,7,627,803,4,8,10,2,0,0,12,14,"1,480"
Middleborough,-,7A,179,348,6,5,1,2,1,1,0,1,544
Middlefield,-,1,185,126,2,0,1,1,0,0,0,2,317
Middleton,-,1,"1,066","1,173",17,14,12,2,0,0,17,22,"2,323"
Middleton,-,2,640,770,4,3,12,2,0,0,16,19,"1,466"
Middleton,-,3,852,"1,140",12,8,11,4,0,0,15,15,"2,057"
Milford,-,1,596,438,2,5,5,2,0,0,13,1,"1,062"
Milford,-,2,935,799,5,18,4,6,0,1,4,19,"1,791"
Milford,-,3,826,735,17,5,9,3,1,0,10,18,"1,624"
Milford,-,4,578,522,6,9,3,3,0,0,16,2,"1,139"
Milford,-,5,"1,194",959,22,8,9,4,2,0,19,24,"2,241"
Milford,-,6,997,754,10,8,16,6,4,0,10,18,"1,823"
Milford,-,7,"1,304",959,12,12,14,3,1,0,18,18,"2,341"
Milford,-,8,"1,156",776,16,17,11,6,1,0,11,18,"2,012"
Millbury,-,1,913,976,8,13,12,3,0,0,8,15,"1,948"
Millbury,-,2,"1,031","1,113",10,12,9,4,0,0,7,23,"2,209"
Millbury,-,3,"1,015",997,14,15,14,5,0,0,4,19,"2,083"
Millbury,-,4,945,908,14,12,12,2,0,0,9,16,"1,918"
Millis,-,1,"1,044",672,6,12,12,8,0,1,16,23,"1,794"
Millis,-,2,"1,014",763,7,15,12,5,2,0,15,26,"1,859"
Millis,-,3,"1,502",821,8,12,12,3,3,0,15,36,"2,412"
Millville,-,1,708,"1,055",5,9,7,8,0,0,0,16,"1,808"
Milton,-,1,"1,343",256,9,2,13,5,0,0,11,9,"1,648"
Milton,-,2,"1,474",267,10,7,8,5,0,0,17,26,"1,814"
Milton,-,3,"1,316",424,5,6,15,7,0,0,15,25,"1,813"
Milton,-,4,727,283,5,3,6,2,0,0,10,16,"1,052"
Milton,-,4A,508,118,3,4,3,5,0,0,8,11,660
Milton,-,5,"1,016",356,7,2,6,2,0,0,13,17,"1,419"
Milton,-,6,"1,075",648,15,15,9,5,0,0,17,29,"1,813"
Milton,-,7,"1,028",578,10,7,10,3,0,0,12,29,"1,677"
Milton,-,8,"1,131",692,10,11,9,3,0,0,13,28,"1,897"
Milton,-,9,"1,123",708,18,10,13,3,0,0,12,21,"1,908"
Milton,-,10,977,214,11,8,7,3,0,0,15,16,"1,251"
Monroe,-,1,24,39,0,3,0,0,0,0,0,0,66
Monson,-,A,747,920,6,18,8,6,0,0,4,10,"1,719"
Monson,-,B,726,884,10,7,10,0,0,0,0,14,"1,651"
Monson,-,C,774,909,5,12,9,3,0,0,4,17,"1,733"
Montague,-,1,790,194,21,2,6,7,0,0,10,5,"1,035"
Montague,-,2,493,306,13,7,5,3,0,0,6,6,839
Montague,-,3,524,296,1,5,9,5,0,0,4,10,854
Montague,-,4,553,214,10,3,5,6,0,0,3,2,796
Montague,-,5,420,130,21,6,3,19,0,0,5,7,611
Montague,-,6,453,222,13,3,2,9,0,0,3,2,707
Monterey,-,1,482,95,7,3,3,3,0,0,4,7,604
Montgomery,-,1,237,302,3,3,3,0,0,0,0,8,556
"Mount Washington",-,1,93,23,1,1,1,0,0,0,2,4,125
Nahant,-,1,"1,445",841,11,5,3,1,0,0,18,28,"2,352"
Nantucket,-,1,"4,784","2,171",39,38,33,17,0,0,36,56,"7,174"
Natick,-,1,946,359,9,5,4,5,0,0,6,16,"1,350"
Natick,-,2,"1,420",531,27,12,11,4,0,0,18,38,"2,061"
Natick,-,3,"1,471",547,11,11,12,3,0,0,12,37,"2,104"
Natick,-,4,"1,475",423,19,15,13,2,3,0,11,24,"1,985"
Natick,-,5,"1,427",613,6,14,12,2,1,0,7,37,"2,119"
Natick,-,6,"1,388",544,7,12,6,6,1,0,29,16,"2,009"
Natick,-,7,"1,832",504,16,5,15,9,6,0,15,21,"2,423"
Natick,-,8,"1,610",546,13,20,15,3,6,0,13,27,"2,253"
Natick,-,9,"1,711",462,13,10,12,3,1,0,17,35,"2,264"
Natick,-,10,"1,881",590,23,10,12,4,0,0,20,40,"2,580"
Needham,-,A,"1,171",463,18,9,16,8,0,0,22,23,"1,730"
Needham,-,B,"1,460",449,12,10,10,4,0,0,25,27,"1,997"
Needham,-,C,"1,407",385,13,8,11,2,0,0,30,19,"1,875"
Needham,-,D,"1,394",399,10,5,12,3,0,0,28,25,"1,876"
Needham,-,E,"1,508",422,10,11,9,1,0,0,29,26,"2,016"
Needham,-,F,"1,438",408,14,8,11,7,0,0,19,29,"1,934"
Needham,-,G,"1,519",414,8,7,13,2,0,0,28,31,"2,022"
Needham,-,H,"1,537",486,11,11,19,8,0,0,23,36,"2,131"
Needham,-,I,"1,679",371,20,9,15,1,0,0,30,20,"2,145"
Needham,-,J,"1,473",436,11,8,8,14,0,0,16,14,"1,980"
"New Ashford",-,1,93,65,1,0,3,0,0,0,0,2,164
"New Bedford",1,A,534,617,3,9,3,3,0,0,6,8,"1,183"
"New Bedford",1,A1,65,50,2,3,1,0,0,0,1,1,123
"New Bedford",1,B,640,726,3,8,3,3,0,0,3,6,"1,392"
"New Bedford",1,B1,58,44,0,0,0,0,0,0,0,2,104
"New Bedford",1,C,447,479,4,6,2,3,0,0,2,7,950
"New Bedford",1,C1,92,93,0,2,0,1,0,0,2,0,190
"New Bedford",1,D,674,872,9,10,2,5,0,0,5,16,"1,593"
"New Bedford",1,E,674,682,2,6,5,2,0,0,1,11,"1,383"
"New Bedford",1,F,647,748,6,8,5,2,0,0,6,5,"1,427"
"New Bedford",2,A,168,134,2,2,3,2,0,0,0,4,315
"New Bedford",2,B,227,260,4,3,0,3,0,0,1,4,502
"New Bedford",2,C,274,304,0,3,2,0,0,0,2,8,593
"New Bedford",2,D,544,435,7,3,3,4,0,0,7,9,"1,012"
"New Bedford",2,E,536,666,6,9,4,3,0,0,5,5,"1,234"
"New Bedford",2,F,414,456,9,13,2,5,0,0,3,6,908
"New Bedford",3,A,352,212,1,3,0,5,0,0,7,4,584
"New Bedford",3,B,325,274,4,3,1,3,0,0,1,5,616
"New Bedford",3,C,231,250,4,3,5,3,0,0,1,4,501
"New Bedford",3,D,383,370,4,3,0,3,0,0,5,7,775
"New Bedford",3,E,573,495,2,6,5,6,0,0,7,8,"1,102"
"New Bedford",3,F,515,393,4,4,1,4,0,0,2,13,936
"New Bedford",3,F1,240,196,1,4,0,1,0,0,2,2,446
"New Bedford",4,A,207,96,0,3,1,2,0,0,0,3,312
"New Bedford",4,A1,217,108,1,6,0,4,0,0,1,2,339
"New Bedford",4,B,571,341,6,8,2,12,0,0,7,10,957
"New Bedford",4,C,663,277,5,8,1,3,0,0,6,13,976
"New Bedford",4,D,489,351,6,3,4,8,0,0,5,8,874
"New Bedford",4,E,486,355,3,4,4,2,0,0,3,4,861
"New Bedford",4,F,617,369,5,10,3,3,0,0,4,4,"1,015"
"New Bedford",5,A,691,409,7,3,1,3,0,0,1,10,"1,125"
"New Bedford",5,B,619,394,5,4,2,12,0,0,0,10,"1,046"
"New Bedford",5,C,559,452,4,1,6,3,0,0,4,5,"1,034"
"New Bedford",5,D,736,411,7,7,5,10,0,0,3,11,"1,190"
"New Bedford",5,E,820,546,4,3,4,6,0,0,5,8,"1,396"
"New Bedford",5,F,779,573,7,7,6,5,0,0,4,15,"1,396"
"New Bedford",6,A,609,571,6,7,5,3,0,0,2,10,"1,213"
"New Bedford",6,B,496,437,3,8,2,5,0,0,0,8,959
"New Bedford",6,C,287,267,3,3,2,5,0,0,1,5,573
"New Bedford",6,D,225,206,3,1,1,1,0,0,0,1,438
"New Bedford",6,E,272,268,3,3,1,3,0,0,2,3,555
"New Bedford",6,F,416,365,2,5,2,6,0,0,0,12,808
"New Braintree",-,1,307,346,2,5,4,0,0,0,0,11,675
"New Marlborough",-,1,666,275,5,5,4,4,0,0,9,34,"1,002"
"New Salem",-,1,420,260,11,6,8,2,0,0,4,3,714
Newbury,-,1,"1,518",835,22,14,14,1,0,0,16,35,"2,455"
Newbury,-,2,"1,428",958,10,12,21,2,0,0,12,3,"2,446"
Newburyport,1,1,"1,245",323,9,6,8,2,0,0,16,21,"1,630"
Newburyport,2,1,"1,545",438,11,12,14,4,0,2,24,21,"2,071"
Newburyport,3,1,"1,661",501,11,4,22,3,0,1,25,24,"2,252"
Newburyport,4,1,"1,569",527,10,9,13,1,0,1,22,37,"2,189"
Newburyport,5,1,"1,199",615,4,13,15,1,1,0,24,19,"1,891"
Newburyport,6,1,"1,310",684,9,11,11,4,0,0,12,25,"2,066"
Newburyport,1,P,282,190,1,1,2,0,0,0,2,2,480
Newton,1,1,914,439,28,7,2,4,0,0,19,14,"1,427"
Newton,1,2,"1,176",210,14,2,16,12,0,0,8,10,"1,448"
Newton,1,2A,58,12,0,0,1,0,0,0,1,3,75
Newton,1,3,"1,213",208,14,5,14,4,0,0,4,16,"1,478"
Newton,1,4,981,438,14,8,7,5,0,0,12,21,"1,486"
Newton,2,1,"1,149",255,18,8,6,4,0,0,6,27,"1,473"
Newton,2,2,889,171,15,6,4,6,0,0,16,14,"1,121"
Newton,2,3,"1,392",225,16,4,8,7,0,0,23,17,"1,692"
Newton,2,4,"1,446",278,15,5,11,5,0,0,32,35,"1,827"
Newton,3,1,"1,241",295,12,6,7,2,0,0,10,20,"1,593"
Newton,3,1A,0,0,0,0,0,0,0,0,0,0,0
Newton,3,2,"1,307",217,8,7,12,3,0,0,16,28,"1,598"
Newton,3,3,"1,183",399,17,9,6,4,0,0,9,18,"1,645"
Newton,3,4,"1,112",384,14,5,3,6,0,0,16,25,"1,565"
Newton,4,1,"1,141",315,12,6,7,3,0,0,10,20,"1,514"
Newton,4,2,"1,160",174,12,3,5,2,0,0,14,15,"1,385"
Newton,4,3,882,184,11,6,5,3,0,0,9,12,"1,112"
Newton,4,4,"1,081",328,17,8,10,3,0,0,7,17,"1,471"
Newton,5,1,"1,094",290,21,9,7,6,0,0,18,16,"1,461"
Newton,5,2,"1,289",200,15,3,6,3,0,0,12,14,"1,542"
Newton,5,3,"1,484",216,8,2,9,4,0,0,19,17,"1,759"
Newton,5,4,"1,445",200,12,7,10,4,0,0,31,25,"1,734"
Newton,6,1,"1,134",309,20,7,13,3,0,0,5,31,"1,522"
Newton,6,2,"1,230",196,17,4,6,3,0,0,21,19,"1,496"
Newton,6,3,"1,451",176,9,7,11,4,0,0,18,19,"1,695"
Newton,6,4,"1,504",217,15,4,7,6,0,0,18,18,"1,789"
Newton,7,1,979,264,23,7,11,4,0,0,29,19,"1,336"
Newton,7,2,"1,370",283,13,2,7,4,0,0,30,19,"1,728"
Newton,7,3,386,87,3,3,1,2,0,0,6,4,492
Newton,7,4,593,163,13,2,6,2,0,0,21,26,826
Newton,8,1,"1,018",396,8,1,8,1,0,0,27,29,"1,488"
Newton,8,2,"1,019",394,21,4,7,2,0,0,38,26,"1,511"
Newton,8,3,"1,153",361,18,8,7,4,0,0,18,25,"1,594"
Newton,8,4,971,415,8,11,11,3,0,0,19,22,"1,460"
Norfolk,-,1,657,472,5,5,10,2,0,0,7,19,"1,177"
Norfolk,-,2,"1,171",825,15,10,9,2,0,0,11,30,"2,073"
Norfolk,-,3,960,737,9,3,5,2,0,0,13,29,"1,758"
Norfolk,-,4,"1,107",709,5,9,8,1,0,0,20,24,"1,883"
"N. Adams",1,1,835,413,8,3,4,5,0,0,2,19,"1,289"
"N. Adams",2,2,762,350,10,1,1,8,0,0,4,14,"1,150"
"N. Adams",3,3,549,230,10,4,4,10,0,0,1,11,819
"N. Adams",4,4,862,418,7,5,2,4,0,0,3,9,"1,310"
"N. Adams",5,5,750,363,6,9,7,8,0,0,5,11,"1,159"
"N. Andover",-,1,"1,204",798,8,12,14,8,1,0,8,23,"2,076"
"N. Andover",-,2,"1,238",839,15,15,7,7,0,0,12,29,"2,162"
"N. Andover",-,3,"1,103",819,24,12,10,6,0,1,6,29,"2,010"
"N. Andover",-,4,"1,583",888,28,19,12,4,0,0,11,39,"2,584"
"N. Andover",-,5,682,440,13,3,8,1,0,0,6,21,"1,174"
"N. Andover",-,6,"1,406",949,12,9,15,3,0,0,27,35,"2,456"
"N. Andover",-,7,"1,403",814,33,10,7,5,0,0,16,28,"2,316"
"N. Andover",-,8,"1,293",982,14,15,13,1,0,0,18,27,"2,363"
"N. Attleborough",-,1,856,592,11,6,5,3,0,0,4,20,"1,497"
"N. Attleborough",-,2,"1,047",838,8,12,10,3,0,0,9,22,"1,949"
"N. Attleborough",-,3,909,"1,014",41,13,14,5,0,0,20,28,"2,044"
"N. Attleborough",-,4,936,705,18,10,7,3,0,0,4,18,"1,701"
"N. Attleborough",-,5,921,812,16,9,8,2,0,0,8,18,"1,794"
"N. Attleborough",-,6,"1,071",865,15,15,18,1,0,0,14,30,"2,029"
"N. Attleborough",-,7,"1,124","1,028",17,15,7,6,0,0,15,25,"2,237"
"N. Attleborough",-,8,"1,024",848,20,6,11,5,0,0,16,31,"1,961"
"N. Attleborough",-,9,926,877,6,4,11,7,0,0,10,23,"1,864"
"N. Brookfield",-,1,"1,156","1,623",9,11,13,8,0,0,8,26,"2,854"
"N. Reading",-,1,"1,330","1,053",6,13,18,2,0,0,17,30,"2,469"
"N. Reading",-,2,"1,382","1,162",8,13,7,8,0,0,19,46,"2,645"
