City/Town,Ward,Pct,"Stephen J. Murphy","Gabriela Mendoza","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Unenrolled
Boston,1,1,581,148,3,136,868
Boston,1,2,408,86,5,82,581
Boston,1,3,950,185,5,209,"1,349"
Boston,1,4,374,72,2,86,534
Boston,1,5,483,94,2,107,686
Boston,1,6,377,94,6,105,582
Boston,1,7,396,87,5,103,591
Boston,1,8,538,112,7,122,779
Boston,1,9,436,68,6,84,594
Boston,1,10,262,41,2,65,370
Boston,1,11,544,147,6,154,851
Boston,1,12,560,114,6,146,826
Boston,1,13,664,124,10,198,996
Boston,1,14,296,59,6,89,450
Boston,1,15,2,0,0,0,2
Boston,2,1,963,227,13,255,"1,458"
Boston,2,2,"1,148",175,6,296,"1,625"
Boston,2,3,703,149,7,188,"1,047"
Boston,2,4,658,80,3,160,901
Boston,2,5,805,132,6,173,"1,116"
Boston,2,6,895,145,4,238,"1,282"
Boston,2,7,778,118,4,179,"1,079"
Boston,3,1,"1,288",254,7,398,"1,947"
Boston,3,2,666,119,5,181,971
Boston,3,3,811,117,6,179,"1,113"
Boston,3,4,903,174,6,198,"1,281"
Boston,3,5,"1,390",266,9,307,"1,972"
Boston,3,6,"1,847",379,12,435,"2,673"
Boston,3,7,"1,796",249,10,327,"2,382"
Boston,3,8,"2,177",318,12,503,"3,010"
Boston,4,1,931,134,2,200,"1,267"
Boston,4,2,"1,248",204,10,366,"1,828"
Boston,4,3,630,90,2,131,853
Boston,4,4,872,127,7,161,"1,167"
Boston,4,5,617,79,2,154,852
Boston,4,6,511,84,7,119,721
Boston,4,7,512,76,3,88,679
Boston,4,8,524,78,2,133,737
Boston,4,9,292,39,0,58,389
Boston,4,10,255,39,1,39,334
Boston,5,1,"1,698",278,9,483,"2,468"
Boston,5,2,686,115,3,112,916
Boston,5,2A,404,76,2,86,568
Boston,5,3,786,140,8,215,"1,149"
Boston,5,4,"1,045",172,2,191,"1,410"
Boston,5,5,327,65,2,97,491
Boston,5,6,739,157,5,272,"1,173"
Boston,5,7,951,162,10,277,"1,400"
Boston,5,8,896,153,7,210,"1,266"
Boston,5,9,"1,183",202,9,275,"1,669"
Boston,5,10,692,93,5,158,948
Boston,5,11,522,116,2,156,796
Boston,6,1,"2,399",402,19,485,"3,305"
Boston,6,2,562,93,6,154,815
Boston,6,3,853,101,5,181,"1,140"
Boston,6,4,846,119,10,166,"1,141"
Boston,6,5,803,91,9,177,"1,080"
Boston,6,6,697,94,7,152,950
Boston,6,7,786,110,11,170,"1,077"
Boston,6,8,718,84,10,152,964
Boston,6,9,621,109,5,165,900
Boston,7,1,650,90,3,140,883
Boston,7,2,806,124,12,168,"1,110"
Boston,7,3,922,142,4,191,"1,259"
Boston,7,4,693,101,5,166,965
Boston,7,5,710,86,1,123,920
Boston,7,6,592,72,6,114,784
Boston,7,7,354,41,0,99,494
Boston,7,8,497,80,4,111,692
Boston,7,9,495,76,10,93,674
Boston,7,10,401,58,4,94,557
Boston,8,1,507,63,2,121,693
Boston,8,2,"1,024",138,9,217,"1,388"
Boston,8,3,396,67,3,83,549
Boston,8,4,234,40,1,44,319
Boston,8,5,433,63,3,133,632
Boston,8,6,152,27,0,49,228
Boston,8,7,298,53,0,70,421
Boston,9,1,727,142,2,185,"1,056"
Boston,9,2,"1,060",131,4,186,"1,381"
Boston,9,3,"1,117",155,5,219,"1,496"
Boston,9,4,644,71,1,132,848
Boston,9,5,725,112,2,187,"1,026"
Boston,10,1,358,43,2,89,492
Boston,10,2,319,42,1,78,440
Boston,10,3,357,49,4,70,480
Boston,10,4,577,67,8,233,885
Boston,10,5,425,105,3,94,627
Boston,10,6,454,84,2,129,669
Boston,10,7,667,85,11,140,903
Boston,10,8,868,152,10,141,"1,171"
Boston,10,9,981,192,6,161,"1,340"
Boston,11,1,388,64,5,68,525
Boston,11,2,575,74,5,244,898
Boston,11,3,452,74,1,93,620
Boston,11,4,829,145,6,143,"1,123"
Boston,11,5,628,116,4,132,880
Boston,11,6,586,106,8,123,823
Boston,11,7,717,158,14,153,"1,042"
Boston,11,8,926,189,15,157,"1,287"
Boston,11,9,544,95,18,115,772
Boston,11,10,696,116,11,129,952
Boston,12,1,583,117,1,146,847
Boston,12,2,699,106,6,153,964
Boston,12,3,361,51,1,69,482
Boston,12,4,387,60,3,72,522
Boston,12,5,248,52,1,59,360
Boston,12,6,348,39,4,72,463
Boston,12,7,669,95,1,134,899
Boston,12,8,278,43,2,57,380
Boston,12,9,344,73,3,76,496
Boston,13,1,452,52,2,121,627
Boston,13,2,188,29,1,26,244
Boston,13,3,463,69,2,104,638
Boston,13,4,340,52,1,76,469
Boston,13,5,368,66,2,99,535
Boston,13,6,534,93,1,126,754
Boston,13,7,604,103,3,155,865
Boston,13,8,485,107,7,113,712
Boston,13,9,564,82,1,128,775
Boston,13,10,787,180,4,197,"1,168"
Boston,14,1,766,94,2,128,990
Boston,14,2,820,95,4,168,"1,087"
Boston,14,3,381,39,1,90,511
Boston,14,4,440,67,2,80,589
Boston,14,5,336,31,1,82,450
Boston,14,6,356,45,2,75,478
Boston,14,7,374,50,3,55,482
Boston,14,8,458,57,2,94,611
Boston,14,9,350,44,0,96,490
Boston,14,10,421,58,3,93,575
Boston,14,11,409,45,4,82,540
Boston,14,12,242,32,0,60,334
Boston,14,13,380,40,1,81,502
Boston,14,14,435,53,4,97,589
Boston,15,1,463,80,1,113,657
Boston,15,2,313,39,5,65,422
Boston,15,3,207,25,3,56,291
Boston,15,4,604,120,4,163,891
Boston,15,5,408,46,0,89,543
Boston,15,6,211,32,12,125,380
Boston,15,7,332,57,1,100,490
Boston,15,8,299,49,4,95,447
Boston,15,9,325,48,1,110,484
Boston,16,1,330,72,6,115,523
Boston,16,2,376,59,4,87,526
Boston,16,3,510,93,4,147,754
Boston,16,4,459,90,2,118,669
Boston,16,5,595,80,3,120,798
Boston,16,6,632,114,2,205,953
Boston,16,7,560,95,9,159,823
Boston,16,8,647,142,5,144,938
Boston,16,9,700,123,2,179,"1,004"
Boston,16,10,552,90,8,130,780
Boston,16,11,664,119,4,172,959
Boston,16,12,636,78,5,144,863
Boston,17,1,377,44,1,99,521
Boston,17,2,326,44,4,49,423
Boston,17,3,672,109,7,141,929
Boston,17,4,767,141,5,161,"1,074"
Boston,17,5,281,42,2,72,397
Boston,17,6,508,97,3,91,699
Boston,17,7,272,38,1,60,371
Boston,17,8,501,60,3,86,650
Boston,17,9,396,84,3,113,596
Boston,17,10,571,76,0,119,766
Boston,17,11,213,49,0,49,311
Boston,17,12,431,55,0,86,572
Boston,17,13,536,124,4,157,821
Boston,17,14,591,109,5,118,823
Boston,18,1,802,102,4,166,"1,074"
Boston,18,2,574,48,3,114,739
Boston,18,3,656,90,1,126,873
Boston,18,4,629,78,4,145,856
Boston,18,5,723,79,1,155,958
Boston,18,6,890,152,7,163,"1,212"
Boston,18,7,634,105,6,129,874
Boston,18,8,"1,073",149,5,220,"1,447"
Boston,18,9,673,144,11,152,980
Boston,18,10,"1,022",219,7,202,"1,450"
Boston,18,11,570,72,4,133,779
Boston,18,12,676,130,7,153,966
Boston,18,13,399,57,3,83,542
Boston,18,14,384,75,1,66,526
Boston,18,15,618,88,2,131,839
Boston,18,16,777,172,10,150,"1,109"
Boston,18,17,684,105,8,115,912
Boston,18,18,813,133,5,211,"1,162"
Boston,18,19,"1,088",200,4,220,"1,512"
Boston,18,20,985,168,6,204,"1,363"
Boston,18,21,742,106,3,149,"1,000"
Boston,18,22,776,152,6,191,"1,125"
Boston,18,23,566,56,3,138,763
Boston,19,1,738,151,9,135,"1,033"
Boston,19,2,806,188,9,182,"1,185"
Boston,19,3,593,120,7,130,850
Boston,19,4,877,168,15,153,"1,213"
Boston,19,5,665,139,13,142,959
Boston,19,6,951,185,16,176,"1,328"
Boston,19,7,856,194,18,175,"1,243"
Boston,19,8,451,88,11,115,665
Boston,19,9,468,103,3,80,654
Boston,19,10,748,174,11,191,"1,124"
Boston,19,11,697,99,2,98,896
Boston,19,12,581,120,5,141,847
Boston,19,13,491,106,4,86,687
Boston,20,1,682,161,7,169,"1,019"
Boston,20,2,708,196,6,135,"1,045"
Boston,20,3,698,142,10,215,"1,065"
Boston,20,4,615,197,11,134,957
Boston,20,5,690,143,2,186,"1,021"
Boston,20,6,824,193,9,193,"1,219"
Boston,20,7,554,129,3,114,800
Boston,20,8,587,129,5,129,850
Boston,20,9,590,154,7,144,895
Boston,20,10,882,190,12,228,"1,312"
Boston,20,11,412,106,4,104,626
Boston,20,12,460,145,4,135,744
Boston,20,13,501,112,3,128,744
Boston,20,14,478,112,4,132,726
Boston,20,15,851,148,6,186,"1,191"
Boston,20,16,860,187,11,203,"1,261"
Boston,20,17,951,215,9,272,"1,447"
Boston,20,18,486,104,3,125,718
Boston,20,19,486,101,8,144,739
Boston,20,20,840,198,10,185,"1,233"
Boston,21,1,806,99,5,112,"1,022"
Boston,21,2,254,28,0,29,311
Boston,21,3,503,93,2,68,666
Boston,21,4,464,80,1,56,601
Boston,21,5,737,114,4,92,947
Boston,21,6,473,98,1,87,659
Boston,21,7,561,97,6,118,782
Boston,21,8,805,130,4,114,"1,053"
Boston,21,9,741,108,7,115,971
Boston,21,10,633,122,2,126,883
Boston,21,11,795,105,7,114,"1,021"
Boston,21,12,717,96,6,149,968
Boston,21,13,767,106,6,317,"1,196"
Boston,21,14,540,70,1,71,682
Boston,21,15,615,90,1,91,797
Boston,21,16,684,113,2,150,949
Boston,22,1,773,145,3,142,"1,063"
Boston,22,2,990,182,10,182,"1,364"
Boston,22,3,841,142,4,161,"1,148"
Boston,22,4,613,123,5,109,850
Boston,22,5,446,88,3,92,629
Boston,22,6,546,74,2,79,701
Boston,22,7,737,166,3,129,"1,035"
Boston,22,8,471,101,7,138,717
Boston,22,9,581,107,6,132,826
Boston,22,10,690,131,8,142,971
Boston,22,11,459,90,5,110,664
Boston,22,12,465,64,5,105,639
Boston,22,13,469,86,1,94,650
Chelsea,1,1,283,49,0,42,374
Chelsea,1,2,156,31,0,27,214
Chelsea,1,3,212,51,0,40,303
Chelsea,1,4,243,23,0,25,291
Chelsea,2,1,659,125,0,169,953
Chelsea,2,2,383,71,0,74,528
Chelsea,2,3,150,30,0,25,205
Chelsea,2,4,253,27,0,60,340
Chelsea,3,1,243,42,0,41,326
Chelsea,3,2,381,53,0,51,485
Chelsea,3,3,280,59,0,48,387
Chelsea,3,4,312,48,0,66,426
Chelsea,4,1,332,52,0,55,439
Chelsea,4,2,357,71,0,115,543
Chelsea,4,3,374,71,0,91,536
Chelsea,4,4,252,68,0,57,377
Revere,1,1,594,121,5,137,857
Revere,1,2,538,100,7,125,770
Revere,1,3,500,84,2,132,718
Revere,2,1,420,80,1,65,566
Revere,2,2,476,93,1,85,655
Revere,2,3,183,44,2,28,257
Revere,2,3A,77,16,1,17,111
Revere,3,1,525,88,6,151,770
Revere,3,2,493,92,9,135,729
Revere,3,3,485,99,2,123,709
Revere,4,1,535,99,4,159,797
Revere,4,2,452,93,1,160,706
Revere,4,3,580,119,5,177,881
Revere,5,1,462,113,5,164,744
Revere,5,1A,378,70,2,105,555
Revere,5,2,269,72,1,88,430
Revere,5,2A,217,40,1,43,301
Revere,5,3,557,116,8,131,812
Revere,6,1,576,169,10,229,984
Revere,6,2,593,174,6,256,"1,029"
Revere,6,3,447,105,6,102,660
Winthrop,-,1,795,240,2,327,"1,364"
Winthrop,-,2,789,191,2,278,"1,260"
Winthrop,-,3,828,214,8,242,"1,292"
Winthrop,-,4,697,178,4,263,"1,142"
Winthrop,-,5,847,212,3,324,"1,386"
Winthrop,-,6,794,216,4,245,"1,259"
TOTALS,,,"180,208","31,779","1,369","41,486","254,842"
