City/Town,Ward,Pct,"Kathryn A. Toomey","Kate D. Campanale","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Worcester,9,1,848,342,2,63,"1,255"
Worcester,9,2,"1,032",466,2,58,"1,558"
Worcester,9,3,635,394,0,52,"1,081"
Worcester,9,4,920,583,1,61,"1,565"
Worcester,9,5,892,605,0,69,"1,566"
Worcester,10,1,442,147,2,45,636
Worcester,10,2,511,108,0,29,648
Worcester,10,3,409,80,2,29,520
Worcester,10,4,355,86,0,27,468
Worcester,10,5,381,91,0,9,481
TOTALS,,,"135,617","126,132",165,"15,390","277,304"
