City/Town,Ward,Pct,"John R. Buckley, Jr.","All Others",Blanks,"Total Votes Cast"
Marshfield,-,1,"1,358",0,555,"1,913"
Marshfield,-,2,"1,379",0,622,"2,001"
Marshfield,-,3,"1,352",0,523,"1,875"
Marshfield,-,4,"1,247",0,556,"1,803"
Marshfield,-,5,"1,172",0,496,"1,668"
Marshfield,-,6,"1,478",0,689,"2,167"
Marshfield,-,7,"1,365",0,640,"2,005"
Mattapoisett,-,1,"2,626",35,"1,136","3,797"
Middleborough,-,1,"1,589",7,821,"2,417"
Middleborough,-,2,"1,083",4,433,"1,520"
Middleborough,-,3,"1,236",6,575,"1,817"
Middleborough,-,4,916,4,394,"1,314"
Middleborough,-,5,"1,242",2,610,"1,854"
Middleborough,-,6,"1,036",6,485,"1,527"
Norwell,-,1,"1,312",19,574,"1,905"
Norwell,-,2,"1,377",32,646,"2,055"
Norwell,-,3,"1,381",21,581,"1,983"
Pembroke,-,1,"1,354",12,523,"1,889"
Pembroke,-,2,"1,190",32,451,"1,673"
Pembroke,-,3,"1,315",32,425,"1,772"
Pembroke,-,4,"1,292",28,482,"1,802"
Pembroke,-,5,"1,199",18,479,"1,696"
Plymouth,-,1,"1,066",10,310,"1,386"
Plymouth,-,2,"1,432",24,450,"1,906"
Plymouth,-,3,"1,074",21,332,"1,427"
Plymouth,-,4,"1,211",11,406,"1,628"
Plymouth,-,5,"1,362",10,582,"1,954"
Plymouth,-,6,"1,386",18,494,"1,898"
Plymouth,-,7,"1,259",31,477,"1,767"
Plymouth,-,8,"1,403",27,544,"1,974"
Plymouth,-,9,"1,087",18,377,"1,482"
Plymouth,-,10,901,14,309,"1,224"
Plymouth,-,11,"1,447",19,572,"2,038"
Plymouth,-,12,"1,353",24,535,"1,912"
Plymouth,-,13,"1,327",13,484,"1,824"
Plymouth,-,14,"1,261",22,575,"1,858"
Plymouth,-,15,"2,683",4,"1,172","3,859"
Plympton,-,1,"1,064",5,472,"1,541"
Rochester,-,1,"1,809",10,"1,001","2,820"
Rockland,-,1,"1,018",13,370,"1,401"
Rockland,-,2,"1,073",19,399,"1,491"
Rockland,-,3,724,19,265,"1,008"
Rockland,-,4,936,18,257,"1,211"
Rockland,-,5,857,18,224,"1,099"
Rockland,-,6,"1,040",21,389,"1,450"
Scituate,-,1,"1,283",17,534,"1,834"
Scituate,-,2,"1,231",15,563,"1,809"
Scituate,-,3,"1,268",14,471,"1,753"
Scituate,-,4,"1,254",14,571,"1,839"
Scituate,-,5,"1,239",8,469,"1,716"
Scituate,-,6,"1,221",11,477,"1,709"
Wareham,-,1,"1,118",14,411,"1,543"
Wareham,-,2,"1,220",15,369,"1,604"
Wareham,-,3,"1,211",13,428,"1,652"
Wareham,-,4,"1,153",18,362,"1,533"
Wareham,-,5,"1,262",25,439,"1,726"
Wareham,-,6,"1,109",16,320,"1,445"
"W. Bridgewater",-,1,"1,163",3,622,"1,788"
"W. Bridgewater",-,2,"1,133",6,549,"1,688"
Whitman,-,1,"1,413",13,454,"1,880"
Whitman,-,2,"1,119",14,461,"1,594"
Whitman,-,3,"1,242",14,441,"1,697"
Whitman,-,4,"1,211",5,390,"1,606"
TOTALS,,,"163,527","1,566","62,120","227,213"
