City/Town,Ward,Pct,"Bernard J. McDonald, III","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"Fall River",1,A,805,9,271,"1,085"
"Fall River",1,B,539,6,184,729
"Fall River",1,C,536,3,223,762
"Fall River",2,A,418,0,108,526
"Fall River",2,B,381,8,101,490
"Fall River",2,C,459,4,141,604
"Fall River",3,A,652,6,160,818
"Fall River",3,B,552,2,164,718
"Fall River",3,C,615,6,180,801
"Fall River",4,A,410,0,132,542
"Fall River",4,B,364,3,87,454
"Fall River",4,C,429,2,113,544
"Fall River",5,A,274,0,77,351
"Fall River",5,B,230,3,64,297
"Fall River",5,B1,52,0,16,68
"Fall River",5,C,362,0,113,475
"Fall River",6,A,676,3,244,923
"Fall River",6,B,477,3,137,617
"Fall River",6,C,573,5,169,747
"Fall River",6,C1,10,0,2,12
"Fall River",7,A,654,6,191,851
"Fall River",7,B,452,5,117,574
"Fall River",7,C,569,2,163,734
"Fall River",8,A,527,4,170,701
"Fall River",8,B,850,17,281,"1,148"
"Fall River",8,C,942,3,314,"1,259"
"Fall River",9,A,"1,125",9,380,"1,514"
"Fall River",9,B,711,5,278,994
"Fall River",9,C,754,1,255,"1,010"
Freetown,-,1,852,23,399,"1,274"
Freetown,-,2,910,24,429,"1,363"
Freetown,-,3,834,24,458,"1,316"
Somerset,-,1,"1,121",0,445,"1,566"
Somerset,-,2,"1,154",0,475,"1,629"
Somerset,-,3,"1,204",0,418,"1,622"
Somerset,-,4,"1,046",0,374,"1,420"
Somerset,-,5,947,1,373,"1,321"
Swansea,-,1,959,40,397,"1,396"
Swansea,-,2,945,23,329,"1,297"
Swansea,-,3,912,15,318,"1,245"
Swansea,-,4,970,27,369,"1,366"
Swansea,-,5,916,24,414,"1,354"
TOTALS,,,"28,168",316,"10,033","38,517"
