City/Town,Ward,Pct,"M. Paul Iannuccillo","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Andover,-,1,"1,165",10,340,"1,515"
Andover,-,2,"1,382",17,546,"1,945"
Andover,-,3,"1,438",16,443,"1,897"
Andover,-,4,"1,316",24,524,"1,864"
Andover,-,5,"1,390",26,529,"1,945"
Andover,-,6,"1,278",18,520,"1,816"
Andover,-,7,"1,033",6,425,"1,464"
Andover,-,7A,278,5,93,376
Andover,-,8,"1,303",29,510,"1,842"
Andover,-,9,"1,318",17,534,"1,869"
Lawrence,A,1,619,20,79,718
Lawrence,A,2,405,2,74,481
Lawrence,A,3,544,15,95,654
Lawrence,A,4,579,9,66,654
Lawrence,B,1,606,13,116,735
Lawrence,B,2,423,13,73,509
Lawrence,B,3,480,6,94,580
Lawrence,B,4,656,14,132,802
Lawrence,C,1,426,9,58,493
Lawrence,C,2,650,26,113,789
Lawrence,C,3,418,2,57,477
Lawrence,C,4,524,9,97,630
Lawrence,D,1,568,13,98,679
Lawrence,D,2,482,20,66,568
Lawrence,D,3,374,15,84,473
Lawrence,D,4,392,6,58,456
Lawrence,E,1,866,22,221,"1,109"
Lawrence,E,2,803,35,179,"1,017"
Lawrence,E,3,488,20,76,584
Lawrence,E,4,563,10,98,671
Lawrence,F,1,661,20,185,866
Lawrence,F,2,451,4,67,522
Lawrence,F,3,461,7,71,539
Lawrence,F,4,461,10,72,543
Methuen,-,1,"1,083",30,367,"1,480"
Methuen,-,2,620,10,86,716
Methuen,-,3,"1,019",23,330,"1,372"
Methuen,-,4,"1,072",19,307,"1,398"
Methuen,-,5,907,20,247,"1,174"
Methuen,-,6,"1,069",20,317,"1,406"
Methuen,-,7,"1,134",30,426,"1,590"
Methuen,-,8,"1,342",44,660,"2,046"
Methuen,-,9,"1,125",27,516,"1,668"
Methuen,-,10,"1,049",34,364,"1,447"
Methuen,-,11,"1,281",40,600,"1,921"
Methuen,-,12,"1,094",37,468,"1,599"
"N. Andover",-,1,"1,131",0,360,"1,491"
"N. Andover",-,2,"1,272",0,459,"1,731"
"N. Andover",-,3,"1,135",0,407,"1,542"
"N. Andover",-,4,"1,388",0,558,"1,946"
"N. Andover",-,5,905,0,296,"1,201"
"N. Andover",-,6,"1,233",0,641,"1,874"
"N. Andover",-,7,"1,292",0,450,"1,742"
"N. Andover",-,8,"1,284",0,577,"1,861"
TOTALS,,,"47,236",822,"15,229","63,287"
