City/Town,Ward,Pct,"William P. O'Donnell","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Weymouth,-,11,982,14,348,"1,344"
Weymouth,-,12,"1,069",12,392,"1,473"
Weymouth,-,13,718,8,236,962
Weymouth,-,14,896,13,250,"1,159"
Weymouth,-,15,"1,110",10,398,"1,518"
Weymouth,-,16,"1,195",24,431,"1,650"
Weymouth,-,17,807,14,263,"1,084"
Weymouth,-,18,"1,415",28,587,"2,030"
Wrentham,-,1,"1,259",33,490,"1,782"
Wrentham,-,2,"1,288",51,597,"1,936"
Wrentham,-,3,"1,364",33,476,"1,873"
TOTALS,,,"229,410","2,611","80,131","312,152"
