City/Town,Ward,Pct,"Barry J. Amaral","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Attleboro,1,A,828,0,303,"1,131"
Attleboro,1,B,840,27,285,"1,152"
Attleboro,2,A,"1,096",25,407,"1,528"
Attleboro,2,B,"1,124",26,403,"1,553"
Attleboro,3,A,959,23,353,"1,335"
Attleboro,3,B,"1,041",18,374,"1,433"
Attleboro,4,A,811,10,243,"1,064"
Attleboro,4,B,"1,291",35,566,"1,892"
Attleboro,5,A,634,9,121,764
Attleboro,5,B,"1,032",18,354,"1,404"
Attleboro,6,A,874,25,320,"1,219"
Attleboro,6,B,"1,064",23,371,"1,458"
Berkley,-,1,"1,094",31,492,"1,617"
Berkley,-,2,874,6,393,"1,273"
Dighton,-,1,"1,028",16,483,"1,527"
Dighton,-,2,"1,196",23,524,"1,743"
Easton,-,1,656,6,347,"1,009"
Easton,-,2,"1,335",11,675,"2,021"
Easton,-,3,"1,141",8,481,"1,630"
Easton,-,4,"1,298",5,656,"1,959"
Easton,-,5,"1,478",7,663,"2,148"
Easton,-,6,"1,264",9,609,"1,882"
Mansfield,-,1,"1,262",0,596,"1,858"
Mansfield,-,2,"1,349",1,550,"1,900"
Mansfield,-,3,"1,454",0,625,"2,079"
Mansfield,-,4,"1,266",1,517,"1,784"
Mansfield,-,5,"1,243",1,419,"1,663"
Mansfield,-,6,"1,226",0,407,"1,633"
"N. Attleborough",-,1,800,7,245,"1,052"
"N. Attleborough",-,2,977,3,395,"1,375"
"N. Attleborough",-,3,982,10,493,"1,485"
"N. Attleborough",-,4,780,6,244,"1,030"
"N. Attleborough",-,5,891,6,281,"1,178"
"N. Attleborough",-,6,"1,063",4,402,"1,469"
"N. Attleborough",-,7,"1,124",6,490,"1,620"
"N. Attleborough",-,8,997,9,461,"1,467"
"N. Attleborough",-,9,949,3,403,"1,355"
Norton,-,1,"1,166",25,537,"1,728"
Norton,-,2,"1,159",23,518,"1,700"
Norton,-,3,"1,140",15,443,"1,598"
Norton,-,4,"1,273",22,525,"1,820"
Norton,-,5,704,15,308,"1,027"
Raynham,-,1,998,0,397,"1,395"
Raynham,-,1A,120,0,63,183
Raynham,-,2,861,0,423,"1,284"
Raynham,-,2A,167,0,101,268
Raynham,-,3,"1,162",0,507,"1,669"
Raynham,-,4,"1,023",0,395,"1,418"
Rehoboth,-,1,"1,133",0,607,"1,740"
Rehoboth,-,2,"1,137",0,568,"1,705"
Rehoboth,-,3,"1,195",0,633,"1,828"
Seekonk,-,1,971,29,390,"1,390"
Seekonk,-,2,"1,204",40,504,"1,748"
Seekonk,-,3,"1,102",25,412,"1,539"
Seekonk,-,4,997,30,403,"1,430"
Taunton,1,A,734,15,201,950
Taunton,1,B,990,21,323,"1,334"
Taunton,2,A,501,5,94,600
Taunton,2,B,630,9,182,821
Taunton,3,A,822,10,216,"1,048"
Taunton,3,B,"1,013",15,297,"1,325"
Taunton,4,A,946,14,357,"1,317"
Taunton,4,B,910,14,305,"1,229"
Taunton,5,A,714,12,175,901
Taunton,5,B,694,12,163,869
Taunton,6,A,580,10,132,722
Taunton,6,B,874,16,230,"1,120"
Taunton,7,A,"1,040",14,334,"1,388"
Taunton,7,B,"1,036",18,407,"1,461"
Taunton,8,A,"1,029",9,364,"1,402"
Taunton,8,B,"1,150",19,394,"1,563"
TOTALS,,,"70,496",855,"27,859","99,210"
