City/Town,Ward,Pct,"Frederick M. Kalisz, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Acushnet,-,1,955,0,314,"1,269"
Acushnet,-,2,"1,106",5,413,"1,524"
Acushnet,-,3,"1,127",10,367,"1,504"
Dartmouth,-,1,"1,099",8,505,"1,612"
Dartmouth,-,2,767,2,254,"1,023"
Dartmouth,-,3,160,0,8,168
Dartmouth,-,4,"1,113",4,369,"1,486"
Dartmouth,-,5,"1,098",7,587,"1,692"
Dartmouth,-,6,923,2,280,"1,205"
Dartmouth,-,7,"1,157",3,450,"1,610"
Dartmouth,-,8,"1,556",6,480,"2,042"
Dartmouth,-,9,"1,555",10,563,"2,128"
Fairhaven,-,1,948,16,326,"1,290"
Fairhaven,-,2,882,15,283,"1,180"
Fairhaven,-,3,704,10,215,929
Fairhaven,-,4,867,18,280,"1,165"
Fairhaven,-,5,911,11,397,"1,319"
Fairhaven,-,6,865,24,345,"1,234"
"New Bedford",1,A,801,12,174,987
"New Bedford",1,B,671,9,184,864
"New Bedford",1,C,659,9,206,874
"New Bedford",1,D,717,11,229,957
"New Bedford",1,E,680,5,138,823
"New Bedford",1,F,720,15,223,958
"New Bedford",2,A,158,3,26,187
"New Bedford",2,B,393,7,73,473
"New Bedford",2,C,296,10,73,379
"New Bedford",2,D,431,5,121,557
"New Bedford",2,E,599,11,148,758
"New Bedford",2,F,529,12,122,663
"New Bedford",3,A,280,5,45,330
"New Bedford",3,B,335,2,47,384
"New Bedford",3,C,323,4,71,398
"New Bedford",3,D,434,4,109,547
"New Bedford",3,E,716,11,171,898
"New Bedford",3,F,677,8,157,842
"New Bedford",4,A,353,2,46,401
"New Bedford",4,B,616,11,103,730
"New Bedford",4,C,606,6,123,735
"New Bedford",4,D,512,8,90,610
"New Bedford",4,E,477,10,110,597
"New Bedford",4,F,503,8,90,601
"New Bedford",5,A,386,5,87,478
"New Bedford",5,B,665,10,149,824
"New Bedford",5,C,533,13,153,699
"New Bedford",5,D,759,9,185,953
"New Bedford",5,E,861,15,248,"1,124"
"New Bedford",5,F,858,16,224,"1,098"
"New Bedford",6,A,619,11,186,816
"New Bedford",6,B,569,8,144,721
"New Bedford",6,C,248,2,51,301
"New Bedford",6,D,197,3,46,246
"New Bedford",6,E,316,2,84,402
"New Bedford",6,F,442,7,77,526
Westport,-,A,936,0,384,"1,320"
Westport,-,B,"1,232",0,555,"1,787"
Westport,-,C,871,0,338,"1,209"
Westport,-,D,914,0,323,"1,237"
Westport,-,E,"1,194",0,514,"1,708"
TOTALS,,,"41,879",440,"13,063","55,382"
