City/Town,Ward,Pct,"Maria C. Curtatone","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Holliston,-,2,"1,445",17,498,"1,960"
Holliston,-,3,"1,336",24,433,"1,793"
Holliston,-,4,"1,273",20,447,"1,740"
Hopkinton,-,1,"1,673",4,541,"2,218"
Hopkinton,-,2,"1,402",4,546,"1,952"
Hopkinton,-,3,"1,381",6,553,"1,940"
Hopkinton,-,4,"1,406",0,495,"1,901"
Hudson,-,1,"1,029",14,308,"1,351"
Hudson,-,2,811,11,225,"1,047"
Hudson,-,3,"1,007",4,368,"1,379"
Hudson,-,4,"1,028",3,434,"1,465"
Hudson,-,5,"1,312",4,393,"1,709"
Hudson,-,6,724,13,238,975
Hudson,-,7,790,9,217,"1,016"
Lexington,-,1,"1,201",0,400,"1,601"
Lexington,-,2,"1,534",1,474,"2,009"
Lexington,-,3,"1,175",0,322,"1,497"
Lexington,-,4,"1,422",13,483,"1,918"
Lexington,-,5,"1,401",4,489,"1,894"
Lexington,-,6,"1,340",4,442,"1,786"
Lexington,-,7,"1,366",4,475,"1,845"
Lexington,-,8,"1,296",1,466,"1,763"
Lexington,-,9,"1,351",2,428,"1,781"
Lincoln,-,1,"1,739",11,454,"2,204"
Lincoln,-,2,"1,031",15,306,"1,352"
Littleton,-,1,"1,371",0,527,"1,898"
Littleton,-,2,"1,252",0,499,"1,751"
Littleton,-,3,"1,217",0,406,"1,623"
Malden,1,1,698,19,127,844
Malden,1,2,875,30,236,"1,141"
Malden,2,1,762,11,164,937
Malden,2,2,836,27,224,"1,087"
Malden,3,1,"1,047",21,265,"1,333"
Malden,3,2,"1,138",27,356,"1,521"
Malden,4,1,734,16,161,911
Malden,4,2,626,15,139,780
Malden,5,1,865,27,176,"1,068"
Malden,5,2,"1,138",19,407,"1,564"
Malden,6,1,978,36,263,"1,277"
Malden,6,2,899,26,249,"1,174"
Malden,7,1,746,14,137,897
Malden,7,2,784,27,159,970
Malden,8,1,917,32,228,"1,177"
Malden,8,2,866,10,215,"1,091"
Marlborough,1,1,699,4,230,933
Marlborough,1,2,"1,048",8,435,"1,491"
Marlborough,2,1,828,2,318,"1,148"
Marlborough,2,2,727,2,205,934
Marlborough,3,1,553,2,177,732
Marlborough,3,2,"1,154",8,346,"1,508"
Marlborough,4,1,454,2,154,610
Marlborough,4,2,973,3,334,"1,310"
Marlborough,5,1,530,1,143,674
Marlborough,5,2,816,21,270,"1,107"
Marlborough,6,1,612,1,190,803
Marlborough,6,2,989,17,344,"1,350"
Marlborough,7,1,698,10,243,951
Marlborough,7,2,711,17,247,975
Maynard,-,1,"1,098",13,301,"1,412"
Maynard,-,2,"1,082",8,254,"1,344"
Maynard,-,3,"1,099",23,287,"1,409"
Maynard,-,4,990,24,296,"1,310"
Medford,1,1,"1,171",23,287,"1,481"
Medford,1,2,"1,221",35,304,"1,560"
Medford,2,1,"1,175",36,401,"1,612"
Medford,2,2,"1,298",37,495,"1,830"
Medford,3,1,"1,276",35,510,"1,821"
Medford,3,2,"1,336",36,586,"1,958"
Medford,4,1,823,11,143,977
Medford,4,2,"1,418",43,356,"1,817"
Medford,5,1,"1,387",36,282,"1,705"
Medford,5,2,"1,080",20,184,"1,284"
Medford,6,1,"1,598",30,405,"2,033"
Medford,6,2,"1,307",36,417,"1,760"
Medford,7,1,794,15,175,984
Medford,7,2,"1,191",26,268,"1,485"
Medford,8,1,"1,341",34,405,"1,780"
Medford,8,2,"1,164",26,314,"1,504"
Melrose,1,1,780,14,314,"1,108"
Melrose,1,2,788,14,260,"1,062"
Melrose,2,1,810,19,347,"1,176"
Melrose,2,2,757,13,252,"1,022"
Melrose,3,1,784,12,236,"1,032"
Melrose,3,2,713,11,244,968
Melrose,4,1,715,9,246,970
Melrose,4,2,778,21,387,"1,186"
Melrose,5,1,857,17,209,"1,083"
Melrose,5,2,737,19,206,962
Melrose,6,1,712,15,208,935
Melrose,6,2,731,14,355,"1,100"
Melrose,7,1,744,12,249,"1,005"
Melrose,7,2,762,25,301,"1,088"
Natick,-,1,865,0,199,"1,064"
Natick,-,2,"1,372",0,469,"1,841"
Natick,-,3,"1,340",5,461,"1,806"
Natick,-,4,"1,254",5,373,"1,632"
Natick,-,5,"1,270",0,493,"1,763"
Natick,-,6,"1,255",4,428,"1,687"
Natick,-,7,"1,392",5,428,"1,825"
Natick,-,8,"1,354",5,465,"1,824"
Natick,-,9,"1,317",5,433,"1,755"
Natick,-,10,"1,568",8,576,"2,152"
