City/Town,Ward,Pct,"Paulo C. Deoliveira","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Aquinnah,-,1,235,0,32,267
Chilmark,-,1,608,2,123,733
Edgartown,-,1,"2,014",9,391,"2,414"
Gosnold,-,1,41,0,16,57
"Oak Bluffs",-,1,"2,141",9,420,"2,570"
Tisbury,-,1,"1,934",6,378,"2,318"
"W. Tisbury",-,1,"1,628",2,290,"1,920"
TOTALS,,,"8,601",28,"1,650","10,279"
