City/Town,Ward,Pct,"John L. O'Brien, Jr.","Jonathan E. Ring","David D. Colpitts","All Others",Blanks,"Total Votes Cast"
Lynn,6,2,307,52,24,1,29,413
Lynn,6,3,479,97,15,0,39,630
Lynn,6,4,405,68,18,0,30,521
Lynn,7,1,955,263,41,0,80,"1,339"
Lynn,7,2,826,202,38,0,78,"1,144"
Lynn,7,3,546,133,26,0,37,742
Lynn,7,4,606,149,47,3,51,856
Lynnfield,-,1,811,650,44,0,127,"1,632"
Lynnfield,-,2,883,585,53,0,121,"1,642"
Lynnfield,-,3,751,547,34,0,107,"1,439"
Lynnfield,-,4,800,756,26,0,126,"1,708"
Manchester-by-the-Sea,-,1,"1,880",958,63,2,273,"3,176"
Marblehead,-,1,"1,266",534,53,0,159,"2,012"
Marblehead,-,2,"1,363",457,58,0,127,"2,005"
Marblehead,-,3,"1,167",436,53,0,124,"1,780"
Marblehead,-,4,"1,226",530,55,0,152,"1,963"
Marblehead,-,5,"1,248",496,55,1,116,"1,916"
Marblehead,-,6,"1,214",519,55,0,157,"1,945"
Merrimac,-,1,959,547,63,0,144,"1,713"
Merrimac,-,2,922,620,48,0,125,"1,715"
Middleton,-,1,"1,036",876,52,0,140,"2,104"
Middleton,-,2,"1,040",953,54,0,156,"2,203"
Nahant,-,1,"1,397",504,73,1,126,"2,101"
Newbury,-,1,"1,215",621,62,1,164,"2,063"
Newbury,-,2,"1,168",692,53,2,166,"2,081"
Newburyport,1,1,953,270,23,0,118,"1,364"
Newburyport,2,1,"1,275",291,51,0,114,"1,731"
Newburyport,3,1,"1,147",362,30,0,144,"1,683"
Newburyport,4,1,"1,324",427,40,0,146,"1,937"
Newburyport,5,1,920,401,36,0,161,"1,518"
Newburyport,6,1,998,455,30,0,142,"1,625"
Newburyport,1,P,260,128,12,0,39,439
Peabody,1,1,801,331,81,3,80,"1,296"
Peabody,1,2,828,449,63,3,120,"1,463"
Peabody,1,3,918,453,80,4,105,"1,560"
Peabody,2,1,590,162,51,2,38,843
Peabody,2,2,560,172,65,2,40,839
Peabody,2,3,662,326,62,0,67,"1,117"
Peabody,3,1,428,140,46,2,44,660
Peabody,3,2,624,226,68,3,53,974
Peabody,3,3,718,298,95,1,66,"1,178"
Peabody,4,1,717,321,101,1,102,"1,242"
Peabody,4,2,710,354,59,2,50,"1,175"
Peabody,4,3,460,214,32,4,45,755
Peabody,4,3A,778,379,23,0,96,"1,276"
Peabody,5,1,772,496,83,1,97,"1,449"
Peabody,5,2,591,371,59,0,79,"1,100"
Peabody,5,3,768,426,52,1,82,"1,329"
Peabody,6,1,781,583,48,2,111,"1,525"
Peabody,6,2,736,536,48,1,100,"1,421"
Peabody,6,3,763,547,53,1,97,"1,461"
Rockport,-,1,648,329,31,0,62,"1,070"
Rockport,-,2,929,458,36,1,71,"1,495"
Rockport,-,3,"1,081",546,45,0,123,"1,795"
Rowley,-,1,"1,667","1,253",129,2,220,"3,271"
Salem,1,1,"1,152",288,116,1,99,"1,656"
Salem,1,2,569,43,54,1,39,706
Salem,2,1,"1,135",219,118,3,87,"1,562"
Salem,2,2,"1,261",229,114,7,117,"1,728"
Salem,3,1,814,196,85,0,83,"1,178"
Salem,3,2,795,264,98,4,58,"1,219"
Salem,4,1,838,285,114,0,74,"1,311"
Salem,4,2,860,348,114,0,63,"1,385"
Salem,5,1,"1,000",232,87,1,74,"1,394"
Salem,5,2,906,141,67,0,58,"1,172"
Salem,6,1,"1,020",265,113,3,92,"1,493"
Salem,6,2,950,231,100,1,74,"1,356"
Salem,7,1,"1,070",219,91,1,93,"1,474"
Salem,7,2,887,298,58,4,80,"1,327"
Salisbury,-,1,854,485,48,2,79,"1,468"
Salisbury,-,2,748,463,51,0,75,"1,337"
Salisbury,-,3,582,491,44,2,68,"1,187"
Saugus,-,1,600,336,41,0,99,"1,076"
Saugus,-,2,601,330,16,0,90,"1,037"
Saugus,-,3,635,367,34,0,97,"1,133"
Saugus,-,4,514,377,15,0,88,994
Saugus,-,5,692,473,44,0,108,"1,317"
Saugus,-,6,627,360,42,0,86,"1,115"
Saugus,-,7,596,495,35,0,132,"1,258"
Saugus,-,8,625,391,31,0,126,"1,173"
Saugus,-,9,637,470,29,0,129,"1,265"
Saugus,-,10,587,298,34,0,86,"1,005"
Swampscott,-,1,763,319,44,2,86,"1,214"
Swampscott,-,2,964,270,50,0,103,"1,387"
Swampscott,-,3,810,231,39,0,68,"1,148"
Swampscott,-,4,946,262,56,1,140,"1,405"
Swampscott,-,5,807,310,49,0,125,"1,291"
Swampscott,-,6,943,331,54,0,120,"1,448"
Topsfield,-,1,"1,925","1,275",95,0,319,"3,614"
Wenham,-,1,"1,158",749,63,0,162,"2,132"
"W. Newbury",-,1,"1,530",832,61,0,222,"2,645"
TOTALS,,,"154,604","72,244","9,062",146,"17,921","253,977"
