City/Town,Ward,Pct,"Elizabeth Ann Warren","John Deaton","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Abington,-,1,948,"1,012",0,41,"2,001"
Abington,-,2,804,928,3,39,"1,774"
Abington,-,3,812,"1,049",0,48,"1,909"
Abington,-,4,898,"1,067",1,36,"2,002"
Abington,-,5,955,990,3,41,"1,989"
Acton,-,1,"1,036",399,1,37,"1,473"
Acton,-,2,"1,407",536,6,55,"2,004"
Acton,-,3,"1,652",546,6,37,"2,241"
Acton,-,4,"1,510",504,1,42,"2,057"
Acton,-,5,"1,479",471,6,44,"2,000"
Acton,-,6,"1,019",325,3,28,"1,375"
Acton,-,6A,455,115,3,11,584
Acton,-,7,"1,120",436,4,37,"1,597"
Acushnet,-,1,753,"1,125",0,52,"1,930"
Acushnet,-,2,639,"1,205",3,71,"1,918"
Acushnet,-,2A,89,136,0,8,233
Acushnet,-,3,824,"1,309",0,57,"2,190"
Adams,-,1,484,260,0,21,765
Adams,-,2,560,348,1,15,924
Adams,-,3,536,355,0,24,915
Adams,-,4,505,280,0,17,802
Adams,-,5,612,359,0,18,989
Agawam,-,1,758,943,3,42,"1,746"
Agawam,-,2,908,"1,225",3,54,"2,190"
Agawam,-,3,818,"1,036",2,63,"1,919"
Agawam,-,4,758,843,0,53,"1,654"
Agawam,-,5,973,"1,141",4,61,"2,179"
Agawam,-,6,814,"1,099",2,57,"1,972"
Agawam,-,7,886,"1,196",1,56,"2,139"
Agawam,-,8,875,"1,094",8,56,"2,033"
Alford,-,1,249,60,0,17,326
Amesbury,-,1,"1,214",828,0,53,"2,095"
Amesbury,-,2,"1,081",601,0,38,"1,720"
Amesbury,-,3,"1,138",616,0,48,"1,802"
Amesbury,-,4,809,564,0,56,"1,429"
Amesbury,-,5,"1,025",825,0,45,"1,895"
Amesbury,-,6,944,499,0,37,"1,480"
Amherst,-,1A,921,116,4,20,"1,061"
Amherst,-,1B,479,62,4,11,556
Amherst,-,2A,560,73,2,6,641
Amherst,-,2B,"1,513",190,5,36,"1,744"
Amherst,-,3A,507,85,2,12,606
Amherst,-,3B,"1,413",187,11,21,"1,632"
Amherst,-,4A,772,70,4,17,863
Amherst,-,4B,490,37,1,8,536
Amherst,-,5A,615,57,2,19,693
Amherst,-,5B,"2,168",201,3,39,"2,411"
Andover,-,1,982,444,4,20,"1,450"
Andover,-,2,"1,273",758,0,73,"2,104"
Andover,-,3,"1,455",809,3,53,"2,320"
Andover,-,4,676,553,0,31,"1,260"
Andover,-,4A,415,258,1,26,700
Andover,-,5,"1,203",883,3,64,"2,153"
Andover,-,6,"1,115",861,2,53,"2,031"
Andover,-,7,"1,219",903,4,63,"2,189"
Andover,-,8,"1,385",848,6,56,"2,295"
Andover,-,9,"1,114",794,1,66,"1,975"
Andover,-,10,"1,268",877,2,55,"2,202"
Aquinnah,-,1,288,51,0,12,351
Arlington,-,1,774,189,1,24,988
Arlington,-,2,"1,097",247,4,35,"1,383"
Arlington,-,3,"1,108",177,1,26,"1,312"
Arlington,-,4,"1,017",194,3,27,"1,241"
Arlington,-,5,"1,124",249,1,30,"1,404"
Arlington,-,6,"1,047",182,3,27,"1,259"
Arlington,-,7,"1,042",217,2,35,"1,296"
Arlington,-,8,"1,144",244,3,38,"1,429"
Arlington,-,9,869,219,2,29,"1,119"
Arlington,-,10,"1,202",204,1,26,"1,433"
Arlington,-,11,"1,106",351,3,29,"1,489"
Arlington,-,12,"1,225",278,0,29,"1,532"
Arlington,-,13,987,403,2,39,"1,431"
Arlington,-,14,999,210,1,23,"1,233"
Arlington,-,15,978,258,3,38,"1,277"
Arlington,-,16,"1,066",259,1,28,"1,354"
Arlington,-,17,955,221,1,28,"1,205"
Arlington,-,18,964,362,1,44,"1,371"
Arlington,-,19,"1,068",263,0,25,"1,356"
Arlington,-,20,"1,010",256,2,29,"1,297"
Arlington,-,21,"1,104",214,2,35,"1,355"
Ashburnham,-,1,896,"1,019",7,24,"1,946"
Ashburnham,-,2,969,946,2,30,"1,947"
Ashby,-,1,853,"1,112",0,38,"2,003"
Ashfield,-,1,913,274,1,28,"1,216"
Ashland,-,1,921,545,0,32,"1,498"
Ashland,-,2,"1,278",689,0,46,"2,013"
Ashland,-,3,955,523,0,36,"1,514"
Ashland,-,4,965,531,0,25,"1,521"
Ashland,-,5,"1,017",538,0,43,"1,598"
Ashland,-,6,"1,108",612,0,42,"1,762"
Athol,-,1,903,"1,136",2,39,"2,080"
Athol,-,2,753,"1,063",3,47,"1,866"
Athol,-,3,832,909,0,42,"1,783"
Attleboro,1,A,959,927,5,52,"1,943"
Attleboro,1,B,905,873,0,60,"1,838"
Attleboro,2,A,"1,132",984,0,45,"2,161"
Attleboro,2,B,971,945,2,54,"1,972"
Attleboro,3,A,"1,043",801,2,45,"1,891"
Attleboro,3,B,"1,087",921,1,52,"2,061"
Attleboro,4,A,994,680,0,52,"1,726"
Attleboro,4,B,"1,253","1,163",0,67,"2,483"
Attleboro,5,A,853,455,2,53,"1,363"
Attleboro,5,B,"1,067",860,4,47,"1,978"
Attleboro,6,A,985,910,2,52,"1,949"
Attleboro,6,B,"1,094",958,4,56,"2,112"
Auburn,-,1,"1,025",921,2,47,"1,995"
Auburn,-,2,947,"1,026",0,37,"2,010"
Auburn,-,3,"1,042","1,046",1,57,"2,146"
Auburn,-,4,"1,016",976,2,46,"2,040"
Auburn,-,5,884,942,2,54,"1,882"
Avon,-,1,"1,378","1,139",0,66,"2,583"
Ayer,-,1,862,615,0,42,"1,519"
Ayer,-,2,988,738,4,28,"1,758"
Ayer,-,3,824,564,0,39,"1,427"
Barnstable,-,1,"1,461","1,116",4,55,"2,636"
Barnstable,-,2,"1,210","1,153",3,44,"2,410"
Barnstable,-,3,966,802,1,47,"1,816"
Barnstable,-,4,"1,122","1,021",3,43,"2,189"
Barnstable,-,5,"1,197","1,443",6,51,"2,697"
Barnstable,-,6,"1,177","1,240",5,36,"2,458"
Barnstable,-,7,"1,410","1,242",2,46,"2,700"
Barnstable,-,8,838,684,2,47,"1,571"
Barnstable,-,9,495,353,2,23,873
Barnstable,-,10,999,"1,129",1,50,"2,179"
Barnstable,-,11,"1,173","1,273",2,36,"2,484"
Barnstable,-,12,"1,191","1,225",4,34,"2,454"
Barnstable,-,13,840,645,2,43,"1,530"
Barre,-,1,703,837,1,30,"1,571"
Barre,-,2,606,916,1,31,"1,554"
Becket,-,1,752,453,2,40,"1,247"
Bedford,-,1,"1,488",694,7,49,"2,238"
Bedford,-,2,878,536,0,41,"1,455"
Bedford,-,2A,259,160,0,17,436
Bedford,-,3,"1,478",692,2,58,"2,230"
Bedford,-,4,"1,393",635,7,38,"2,073"
Belchertown,-,A,"1,423",931,0,45,"2,399"
Belchertown,-,B,"1,285","1,268",5,53,"2,611"
Belchertown,-,C,"1,301","1,104",5,39,"2,449"
Belchertown,-,D,"1,381",741,5,45,"2,172"
Bellingham,-,1,846,967,33,1,"1,847"
Bellingham,-,2,976,"1,083",3,58,"2,120"
Bellingham,-,3,"1,081","1,104",1,52,"2,238"
Bellingham,-,4,832,"1,024",5,37,"1,898"
Bellingham,-,5,842,"1,080",4,57,"1,983"
Belmont,-,1,"1,310",423,3,57,"1,793"
Belmont,-,2,"1,367",696,3,74,"2,140"
Belmont,-,3,"1,296",404,9,69,"1,778"
Belmont,-,4,"1,125",385,1,39,"1,550"
Belmont,-,5,"1,333",412,5,40,"1,790"
Belmont,-,6,"1,627",451,2,59,"2,139"
Belmont,-,7,"1,364",416,1,34,"1,815"
Belmont,-,8,"1,086",500,4,59,"1,649"
Berkley,-,1,846,"1,334",4,83,"2,267"
Berkley,-,2,696,"1,242",5,53,"1,996"
Berlin,-,1,"1,277","1,097",7,48,"2,429"
Bernardston,-,1,816,557,0,38,"1,411"
Beverly,1,1,"1,181",790,3,53,"2,027"
Beverly,1,2,"1,342",898,0,75,"2,315"
Beverly,2,1,"1,421",642,1,61,"2,125"
Beverly,2,2,"1,362",554,2,52,"1,970"
Beverly,3,1,950,437,0,31,"1,418"
Beverly,3,2,"1,095",739,1,35,"1,870"
Beverly,4,1,644,386,0,24,"1,054"
