City/Town,Ward,Pct,"Carlos Gonzalez","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Springfield,1,A,449,21,70,540
Springfield,1,B,602,19,109,730
Springfield,1,C,439,11,68,518
Springfield,1,D,520,9,90,619
Springfield,1,E,608,9,108,725
Springfield,1,F,504,7,118,629
Springfield,1,G,570,14,109,693
Springfield,1,H,593,12,95,700
Springfield,3,B,430,11,84,525
Springfield,3,C,357,9,65,431
Springfield,3,D,510,12,90,612
Springfield,3,E,412,15,67,494
Springfield,3,F,457,7,112,576
Springfield,3,G,407,6,72,485
Springfield,3,H,542,12,118,672
Springfield,6,A,574,17,128,719
Springfield,6,B,838,13,253,"1,104"
Springfield,6,F,672,18,112,802
TOTALS,,,"9,484",222,"1,868","11,574"
