City/Town,Ward,Pct,"Brian M. Ashe","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"E. Longmeadow",-,2,"1,713",43,598,"2,354"
"E. Longmeadow",-,3,"1,823",50,703,"2,576"
"E. Longmeadow",-,4,"1,759",54,828,"2,641"
Hampden,-,1,"2,349",10,"1,016","3,375"
Longmeadow,-,A,"1,636",48,442,"2,126"
Longmeadow,-,B,"1,507",23,398,"1,928"
Longmeadow,-,C,"1,675",32,541,"2,248"
Longmeadow,-,D,"1,546",28,452,"2,026"
Longmeadow,-,E,"1,626",36,466,"2,128"
Monson,-,A,"1,153",37,523,"1,713"
Monson,-,B,"1,127",31,564,"1,722"
Monson,-,C,"1,187",33,550,"1,770"
TOTALS,,,"19,101",425,"7,081","26,607"
