City/Town,Ward,Pct,"Angelo L. D'Emilia","All Others",Blanks,"Total Votes Cast"
,,,Republican
Bridgewater,-,1,"2,085",38,809,"2,932"
Bridgewater,-,2,"1,722",25,671,"2,418"
Bridgewater,-,3,"2,159",27,945,"3,131"
Bridgewater,-,4,891,19,377,"1,287"
Bridgewater,-,5,485,9,229,723
Bridgewater,-,6,"1,321",13,588,"1,922"
Bridgewater,-,7,"1,572",37,681,"2,290"
Raynham,-,1,"1,444",0,642,"2,086"
Raynham,-,1A,173,2,66,241
Raynham,-,2,"1,205",0,537,"1,742"
Raynham,-,2A,244,0,117,361
Raynham,-,3,"1,726",0,685,"2,411"
Raynham,-,4,"1,434",0,584,"2,018"
TOTALS,,,"16,461",170,"6,931","23,562"
