City/Town,Ward,Pct,"Thomas P. Walsh","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Peabody,1,1,"1,354",31,349,"1,734"
Peabody,1,2,"1,416",30,430,"1,876"
Peabody,1,3,"1,628",45,433,"2,106"
Peabody,2,1,"1,050",21,224,"1,295"
Peabody,2,2,"1,031",20,182,"1,233"
Peabody,2,3,"1,190",25,305,"1,520"
Peabody,3,1,854,21,186,"1,061"
Peabody,3,2,"1,063",31,261,"1,355"
Peabody,3,3,"1,206",34,317,"1,557"
Peabody,4,1,"1,300",32,329,"1,661"
Peabody,4,2,"1,201",43,353,"1,597"
Peabody,4,3,674,16,237,927
Peabody,4,3A,"1,038",10,387,"1,435"
Peabody,5,1,"1,336",45,519,"1,900"
Peabody,5,3,"1,237",33,488,"1,758"
TOTALS,,,"17,578",437,"5,000","23,015"
