City/Town,Ward,Pct,"Leonard Mirra","Christina Eckert","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Boxford,-,2,883,"1,013",2,47,"1,945"
Boxford,-,3,846,893,3,68,"1,810"
Georgetown,-,1,"1,191",847,4,66,"2,108"
Georgetown,-,2,972,768,1,57,"1,798"
Georgetown,-,3,916,722,1,70,"1,709"
Groveland,-,1,"1,173","1,012",0,78,"2,263"
Groveland,-,2,"1,278",959,0,66,"2,303"
Haverhill,4,3,804,856,3,143,"1,806"
Haverhill,7,3,903,968,1,135,"2,007"
Merrimac,-,1,"1,021","1,059",2,112,"2,194"
Merrimac,-,2,"1,111","1,030",0,86,"2,227"
Newbury,-,1,"1,060","1,364",0,96,"2,520"
Newbury,-,2,"1,227","1,213",2,79,"2,521"
"W. Newbury",-,1,"1,641","1,568",0,89,"3,298"
TOTALS,,,"15,026","14,272",19,"1,192","30,509"
