City/Town,Ward,Pct,"Paul F. Tucker","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Salem,1,1,"1,607",5,390,"2,002"
Salem,1,2,770,2,122,894
Salem,2,1,"1,666",11,323,"2,000"
Salem,2,2,"1,811",13,316,"2,140"
Salem,3,1,"1,311",7,252,"1,570"
Salem,3,2,"1,257",15,336,"1,608"
Salem,4,1,"1,436",19,332,"1,787"
Salem,4,2,"1,497",15,358,"1,870"
Salem,5,1,"1,556",18,291,"1,865"
Salem,5,2,"1,350",13,238,"1,601"
Salem,6,1,"1,567",7,320,"1,894"
Salem,6,2,"1,498",15,273,"1,786"
Salem,7,1,"1,112",6,254,"1,372"
Salem,7,2,"1,364",13,373,"1,750"
TOTALS,,,"19,802",159,"4,178","24,139"
