City/Town,Ward,Pct,"John J. Mahoney, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Worcester,1,1,"1,743",47,556,"2,346"
Worcester,1,2,"1,794",46,591,"2,431"
Worcester,1,3,933,27,337,"1,297"
Worcester,1,4,"1,808",36,497,"2,341"
Worcester,3,2,385,10,80,475
Worcester,9,1,"1,385",20,366,"1,771"
Worcester,9,2,"1,578",33,469,"2,080"
Worcester,9,3,"1,182",30,310,"1,522"
Worcester,9,4,"1,540",37,516,"2,093"
Worcester,9,5,"1,592",50,500,"2,142"
Worcester,10,1,711,21,212,944
TOTALS,,,"14,651",357,"4,434","19,442"
