City/Town,Ward,Pct,"William C. Galvin","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Avon,-,1,"2,028",6,689,"2,723"
Canton,-,1,"1,746",9,476,"2,231"
Canton,-,2,"1,920",10,557,"2,487"
Canton,-,3,"1,803",3,558,"2,364"
Canton,-,4,"2,008",7,754,"2,769"
Canton,-,5,"1,848",12,585,"2,445"
Canton,-,6,"1,725",8,542,"2,275"
Stoughton,-,1,"1,622",3,524,"2,149"
Stoughton,-,5,"1,274",3,451,"1,728"
Stoughton,-,7,"1,369",7,367,"1,743"
Stoughton,-,8,"1,161",5,363,"1,529"
TOTALS,,,"18,504",73,"5,866","24,443"
