City/Town,Ward,Pct,"Chynah Tyler","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,4,8,572,13,161,746
Boston,4,9,361,7,68,436
Boston,4,10,200,0,22,222
Boston,5,2A,633,14,112,759
Boston,9,4,"1,059",13,184,"1,256"
Boston,9,5,"1,258",14,169,"1,441"
Boston,12,1,978,15,129,"1,122"
Boston,12,2,"1,243",18,128,"1,389"
Boston,12,3,504,8,56,568
Boston,12,4,668,6,113,787
Boston,12,5,439,7,66,512
Boston,12,8,467,8,65,540
Boston,21,1,"1,188",12,171,"1,371"
TOTALS,,,"9,570",135,"1,444","11,149"
