City/Town,Ward,Pct,"Susan Williams Gifford","All Others",Blanks,"Total Votes Cast"
,,,Republican
Carver,-,1,"1,765",33,460,"2,258"
Carver,-,2,"1,681",30,491,"2,202"
Carver,-,3,"1,860",34,647,"2,541"
Middleborough,-,3,"1,680",21,633,"2,334"
Middleborough,-,6,"1,533",17,573,"2,123"
Wareham,-,1,"1,405",30,483,"1,918"
Wareham,-,2,"1,589",45,631,"2,265"
Wareham,-,3,"1,624",36,616,"2,276"
Wareham,-,4,"1,595",38,498,"2,131"
Wareham,-,5,"1,672",35,470,"2,177"
Wareham,-,6,"1,550",40,430,"2,020"
TOTALS,,,"17,954",359,"5,932","24,245"
