City/Town,Ward,Pct,"Maria Duaime Robinson","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Framingham,-,1,"1,896",40,583,"2,519"
Framingham,-,2,"2,268",40,676,"2,984"
Framingham,-,4,"1,884",38,588,"2,510"
Framingham,-,5,"1,812",39,528,"2,379"
Framingham,-,6,"1,790",39,523,"2,352"
Framingham,-,7,"1,688",35,483,"2,206"
Framingham,-,9,"1,222",22,341,"1,585"
Framingham,-,10,"1,047",23,228,"1,298"
Framingham,-,11,"1,911",30,611,"2,552"
Framingham,-,12,889,30,242,"1,161"
Framingham,-,15,990,17,232,"1,239"
TOTALS,,,"17,397",353,"5,035","22,785"
