City/Town,Ward,Pct,"Joshua Cutler","Tatyana Medvedev Semyrog","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Duxbury,-,2,"1,263",642,2,58,"1,965"
Duxbury,-,3,"1,232",604,0,46,"1,882"
Duxbury,-,4,"1,187",562,1,52,"1,802"
Duxbury,-,5,"1,124",651,2,42,"1,819"
Duxbury,-,6,"1,048",569,3,68,"1,688"
Hanson,-,1,"1,205","1,023",0,72,"2,300"
Hanson,-,2,"1,238","1,025",10,39,"2,312"
Hanson,-,3,"1,117",999,2,69,"2,187"
Pembroke,-,1,"1,415","1,065",4,63,"2,547"
Pembroke,-,2,"1,226",941,0,62,"2,229"
Pembroke,-,3,"1,342",974,1,51,"2,368"
Pembroke,-,4,"1,295","1,043",5,56,"2,399"
Pembroke,-,5,"1,294",924,3,54,"2,275"
TOTALS,,,"15,986","11,022",33,732,"27,773"
