City/Town,Ward,Pct,"Angelo J. Puppolo, Jr.","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"E. Longmeadow",-,1,"1,911",56,633,"2,600"
Springfield,6,C,735,22,214,971
Springfield,6,D,"1,009",28,261,"1,298"
Springfield,6,G,766,17,157,940
Springfield,6,H,869,23,187,"1,079"
Springfield,7,B,"1,123",22,284,"1,429"
Springfield,7,C,"1,076",19,275,"1,370"
Springfield,7,D,929,39,273,"1,241"
Springfield,7,E,713,10,139,862
Springfield,7,G,"1,104",36,307,"1,447"
Wilbraham,-,A,"1,856",8,558,"2,422"
Wilbraham,-,B,"1,791",10,510,"2,311"
Wilbraham,-,C,"1,703",10,607,"2,320"
Wilbraham,-,D,"1,837",13,549,"2,399"
TOTALS,,,"17,422",313,"4,954","22,689"
