City/Town,Ward,Pct,"Sally P. Kerans","Robert E. May, Jr","William J. Bates","Jason Guida","Christopher Keohane","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican,Unenrolled,Unenrolled,Unenrolled
Danvers,-,1,"1,100",490,209,176,83,0,94,"2,152"
Danvers,-,2,"1,041",593,205,110,74,2,90,"2,115"
Danvers,-,3,862,474,176,166,72,0,98,"1,848"
Danvers,-,4,"1,046",524,249,197,53,1,95,"2,165"
Danvers,-,5,"1,034",634,218,200,78,2,109,"2,275"
Danvers,-,6,943,659,235,214,55,1,90,"2,197"
Danvers,-,7,"1,095",628,223,108,51,0,110,"2,215"
Danvers,-,8,976,645,194,124,50,1,105,"2,095"
Middleton,-,2,"1,074","1,377",286,77,32,1,167,"3,014"
Peabody,5,2,626,709,76,28,14,2,60,"1,515"
Peabody,6,1,709,994,71,46,15,1,98,"1,934"
Peabody,6,2,733,967,64,58,13,2,79,"1,916"
Peabody,6,3,750,923,54,40,16,0,98,"1,881"
TOTALS,,,"11,989","9,617","2,260","1,544",606,13,"1,293","27,322"
