City/Town,Ward,Pct,"Joseph W. Mcgonagle, Jr","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Everett,1,1,916,18,202,"1,136"
Everett,1,2,834,19,217,"1,070"
Everett,2,1,"1,033",26,212,"1,271"
Everett,2,2,841,28,168,"1,037"
Everett,3,1,"1,169",19,240,"1,428"
Everett,3,2,"1,008",16,214,"1,238"
Everett,4,1,"1,095",22,241,"1,358"
Everett,4,2,920,18,185,"1,123"
Everett,5,1,"1,054",15,201,"1,270"
Everett,5,2,959,23,167,"1,149"
Everett,6,1,"1,151",28,215,"1,394"
Everett,6,2,"1,187",16,216,"1,419"
TOTALS,,,"12,167",248,"2,478","14,893"
