City/Town,Ward,Pct,"Joseph D. Mckenna","All Others",Blanks,"Total Votes Cast"
,,,Republican
Douglas,-,1,"1,518",0,406,"1,924"
Douglas,-,2,"1,442",0,442,"1,884"
Douglas,-,3,"1,393",0,386,"1,779"
Oxford,-,1,"1,485",27,459,"1,971"
Oxford,-,4,"1,335",22,419,"1,776"
Sutton,-,1,"1,676",27,587,"2,290"
Sutton,-,2,"1,464",12,517,"1,993"
Sutton,-,3,"1,520",28,521,"2,069"
Webster,-,1,"1,137",33,348,"1,518"
Webster,-,2,804,28,282,"1,114"
Webster,-,3,"1,188",20,305,"1,513"
Webster,-,4,"1,857",24,474,"2,355"
Webster,-,5,"1,419",25,402,"1,846"
TOTALS,,,"18,238",246,"5,548","24,032"
