City/Town,Ward,Pct,"James J. O'Day","All Others",Blanks,"Total Votes Cast"
,,,Democratic
"W. Boylston",-,1,"1,436",42,544,"2,022"
"W. Boylston",-,2,"2,021",0,803,"2,824"
Worcester,1,5,"1,541",51,492,"2,084"
Worcester,2,1,"1,578",51,521,"2,150"
Worcester,2,2,"1,585",36,461,"2,082"
Worcester,2,3,"1,437",48,452,"1,937"
Worcester,2,4,"1,287",25,287,"1,599"
Worcester,2,5,645,18,151,814
Worcester,3,1,"1,192",18,322,"1,532"
Worcester,3,3,"1,031",35,288,"1,354"
Worcester,3,5,"1,210",32,302,"1,544"
TOTALS,,,"14,963",356,"4,623","19,942"
