City/Town,Ward,Pct,"Mary S. Keefe","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Worcester,3,4,825,31,172,"1,028"
Worcester,4,1,755,18,205,978
Worcester,4,2,982,31,303,"1,316"
Worcester,4,3,"1,007",14,195,"1,216"
Worcester,4,4,"1,030",26,338,"1,394"
Worcester,4,5,"1,265",32,388,"1,685"
Worcester,5,3,"1,522",61,533,"2,116"
Worcester,10,2,816,9,167,992
Worcester,10,3,701,13,163,877
Worcester,10,4,583,18,162,763
Worcester,10,5,726,18,156,900
TOTALS,,,"10,212",271,"2,782","13,265"
