City/Town,Ward,Pct,"Paul W. Mark","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Bernardston,-,1,"1,024",0,361,"1,385"
Charlemont,-,1,571,0,178,749
Colrain,-,1,798,2,212,"1,012"
Dalton,-,1,"1,452",6,463,"1,921"
Dalton,-,2,"1,501",1,409,"1,911"
Greenfield,-,1,807,6,277,"1,090"
Greenfield,-,2,995,2,298,"1,295"
Greenfield,-,3,875,10,250,"1,135"
Greenfield,-,4,947,7,255,"1,209"
Greenfield,-,5,889,3,206,"1,098"
Greenfield,-,6,916,7,280,"1,203"
Greenfield,-,7,696,0,210,906
Greenfield,-,8,752,5,194,951
Greenfield,-,9,647,2,171,820
Hawley,-,1,180,0,51,231
Heath,-,1,354,0,116,470
Hinsdale,-,1,940,1,275,"1,216"
Leyden,-,1,385,0,118,503
Monroe,-,1,42,0,18,60
Northfield,-,1,"1,414",12,443,"1,869"
Peru,-,1,400,3,132,535
Pittsfield,1,B,"1,221",5,373,"1,599"
Rowe,-,1,182,1,86,269
Savoy,-,1,301,0,126,427
Windsor,-,1,430,0,151,581
TOTALS,,,"18,719",73,"5,653","24,445"
