City/Town,Ward,Pct,"Bruce J. Ayers","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Quincy,3,4,"1,243",16,330,"1,589"
Quincy,3,5,585,1,107,693
Quincy,4,1,"1,477",30,335,"1,842"
Quincy,4,3,"1,654",27,408,"2,089"
Quincy,5,2,"1,095",14,291,"1,400"
Quincy,6,1,"1,143",21,238,"1,402"
Quincy,6,2,847,22,213,"1,082"
Quincy,6,3,"1,573",13,483,"2,069"
Quincy,6,4,"1,066",13,217,"1,296"
Quincy,6,5,"1,790",26,326,"2,142"
Randolph,-,5,"1,105",13,331,"1,449"
Randolph,-,6,975,8,279,"1,262"
Randolph,-,11,"1,232",16,386,"1,634"
Randolph,-,12,"1,287",17,410,"1,714"
TOTALS,,,"17,072",237,"4,354","21,663"
