City/Town,Ward,Pct,"Steven Ultrino","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Malden,2,1,"1,015",14,313,"1,342"
Malden,2,2,"1,197",23,330,"1,550"
Malden,3,1,"1,366",19,417,"1,802"
Malden,4,1,"1,037",11,291,"1,339"
Malden,4,2,936,20,256,"1,212"
Malden,5,1,"1,242",28,338,"1,608"
Malden,6,1,"1,393",29,397,"1,819"
Malden,6,2,"1,235",26,378,"1,639"
Malden,7,2,"1,106",25,326,"1,457"
Malden,8,1,"1,355",31,417,"1,803"
Malden,8,2,"1,331",22,379,"1,732"
TOTALS,,,"13,213",248,"3,842","17,303"
