City/Town,Ward,Pct,"Jay D. Livingstone","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Boston,3,5,"2,207",30,565,"2,802"
Boston,4,6,716,10,161,887
Boston,5,3,"1,114",15,254,"1,383"
Boston,5,4,"1,395",12,260,"1,667"
Boston,5,5,437,6,100,543
Boston,5,6,"1,006",22,353,"1,381"
Boston,5,7,"1,332",23,350,"1,705"
Boston,5,8,"1,213",16,328,"1,557"
Boston,5,9,"1,643",26,389,"2,058"
Boston,5,11,730,10,180,920
Cambridge,2,2,259,2,62,323
Cambridge,2,3,742,7,168,917
Cambridge,5,1,"1,449",5,351,"1,805"
Cambridge,5,2,"1,596",9,309,"1,914"
Cambridge,5,3,"1,184",3,217,"1,404"
TOTALS,,,"17,023",196,"4,047","21,266"
