City/Town,Ward,Pct,"Kate Hogan","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Bolton,-,1,"2,860",0,953,"3,813"
Hudson,-,1,"1,350",13,394,"1,757"
Hudson,-,2,"1,100",9,327,"1,436"
Hudson,-,3,"1,337",12,438,"1,787"
Hudson,-,4,"1,302",18,502,"1,822"
Hudson,-,5,"1,645",2,484,"2,131"
Hudson,-,6,"1,019",15,307,"1,341"
Hudson,-,7,"1,077",8,294,"1,379"
Maynard,-,1,"1,414",25,302,"1,741"
Maynard,-,2,"1,334",9,293,"1,636"
Maynard,-,3,"1,478",27,341,"1,846"
Maynard,-,4,"1,253",24,303,"1,580"
Stow,-,1,"1,975",21,561,"2,557"
Stow,-,2,"1,909",10,521,"2,440"
TOTALS,,,"21,053",193,"6,020","27,266"
