City/Town,Ward,Pct,"Rady Mom","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lowell,2,1,369,0,116,485
Lowell,2,2,649,13,281,943
Lowell,3,1,769,9,337,"1,115"
Lowell,3,2,636,2,296,934
Lowell,3,3,663,6,278,947
Lowell,4,1,874,5,337,"1,216"
Lowell,7,1,613,3,197,813
Lowell,7,2,714,6,254,974
Lowell,7,3,442,3,226,671
Lowell,8,1,845,2,291,"1,138"
Lowell,8,2,915,6,434,"1,355"
Lowell,8,3,"1,235",5,536,"1,776"
TOTALS,,,"8,724",60,"3,583","12,367"
