City/Town,Ward,Pct,"Alice Hanlon Peisch","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Wayland,-,4,"1,914",12,662,"2,588"
Wellesley,-,A,"1,721",17,520,"2,258"
Wellesley,-,B,"1,972",18,509,"2,499"
Wellesley,-,C,"1,624",29,677,"2,330"
Wellesley,-,D,"1,892",17,559,"2,468"
Wellesley,-,E,"1,625",17,496,"2,138"
Wellesley,-,F,"1,096",14,299,"1,409"
Wellesley,-,G,917,3,212,"1,132"
Wellesley,-,H,"1,661",14,585,"2,260"
Weston,-,1,"1,399",24,478,"1,901"
Weston,-,2,"1,210",27,480,"1,717"
Weston,-,3,"1,231",15,448,"1,694"
Weston,-,4,"1,296",33,499,"1,828"
TOTALS,,,"19,558",240,"6,424","26,222"
