City/Town,Ward,Pct,"Linda Dean Campbell","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Haverhill,2,1,969,36,363,"1,368"
Haverhill,2,2,"1,074",52,460,"1,586"
Haverhill,5,2,"1,200",33,630,"1,863"
Haverhill,7,1,"1,198",35,569,"1,802"
Methuen,-,1,"1,397",55,563,"2,015"
Methuen,-,4,"1,500",28,462,"1,990"
Methuen,-,5,"1,408",24,423,"1,855"
Methuen,-,6,"1,505",43,469,"2,017"
Methuen,-,8,"1,769",56,876,"2,701"
Methuen,-,9,"1,613",54,785,"2,452"
Methuen,-,11,"1,755",66,810,"2,631"
Methuen,-,12,"1,713",54,810,"2,577"
TOTALS,,,"17,101",536,"7,220","24,857"
