City/Town,Ward,Pct,"Natalie M. Blais","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Ashfield,-,1,"1,037",1,192,"1,230"
Buckland,-,1,984,12,207,"1,203"
Chester,-,1,448,8,293,749
Chesterfield,-,1,619,0,214,833
Conway,-,1,"1,079",2,227,"1,308"
Cummington,-,1,455,1,140,596
Deerfield,-,1,"2,758",6,606,"3,370"
Goshen,-,1,493,1,179,673
Huntington,-,1,797,14,412,"1,223"
Leverett,-,1,"1,203",1,186,"1,390"
Middlefield,-,1,247,0,88,335
Montague,-,1,908,1,147,"1,056"
Montague,-,2,647,7,186,840
Montague,-,3,636,5,149,790
Montague,-,4,694,7,151,852
Montague,-,5,546,10,78,634
Montague,-,6,606,4,143,753
Plainfield,-,1,356,3,87,446
Shelburne,-,1,999,16,227,"1,242"
Shutesbury,-,1,"1,144",0,195,"1,339"
Sunderland,-,1,"1,764",13,284,"2,061"
Whately,-,1,903,3,210,"1,116"
Williamsburg,-,1,"1,487",4,344,"1,835"
Worthington,-,1,673,1,202,876
TOTALS,,,"21,483",120,"5,147","26,750"
