City/Town,Ward,Pct,"Natalie Higgins","Thomas F. Ardinger","All Others",Blanks,"Total Votes Cast"
,,,Democratic,Republican
Leominster,1,A,966,734,2,51,"1,753"
Leominster,1,B,958,647,1,53,"1,659"
Leominster,1,C,822,472,0,49,"1,343"
Leominster,2,A,700,346,1,52,"1,099"
Leominster,2,B,760,553,0,43,"1,356"
Leominster,2,C,499,304,2,30,835
Leominster,3,A,660,443,0,27,"1,130"
Leominster,3,B,"1,003",723,0,59,"1,785"
Leominster,3,C,"1,017",850,2,56,"1,925"
Leominster,4,A,884,834,0,37,"1,755"
Leominster,4,B,874,798,1,43,"1,716"
Leominster,4,C,760,488,0,36,"1,284"
Leominster,5,A,783,504,0,45,"1,332"
Leominster,5,B,922,606,1,46,"1,575"
Leominster,5,C,687,408,1,31,"1,127"
TOTALS,,,"12,295","8,710",11,658,"21,674"
