City/Town,Ward,Pct,"Daniel H. Cahill","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Lynn,1,3,"1,344",47,376,"1,767"
Lynn,1,4,"1,346",26,330,"1,702"
Lynn,2,1,"1,516",32,454,"2,002"
Lynn,2,2,"1,011",27,191,"1,229"
Lynn,2,3,788,15,122,925
Lynn,2,4,715,14,129,858
Lynn,3,1,"1,223",23,267,"1,513"
Lynn,3,2,"1,045",38,169,"1,252"
Lynn,3,3,"1,055",31,222,"1,308"
Lynn,4,1,579,16,91,686
Lynn,4,2,679,19,102,800
Lynn,5,2,591,14,109,714
Lynn,5,3,618,18,122,758
TOTALS,,,"12,510",320,"2,684","15,514"
