City/Town,Ward,Pct,"Marc T. Lombardo","Teresa Nicole English","All Others",Blanks,"Total Votes Cast"
,,,Republican,Democratic
Billerica,-,1,"1,101","1,121",3,86,"2,311"
Billerica,-,2,"1,133","1,058",0,73,"2,264"
Billerica,-,3,"1,241",949,2,78,"2,270"
Billerica,-,4,"1,060",807,1,59,"1,927"
Billerica,-,5,"1,348",965,2,77,"2,392"
Billerica,-,6,"1,221","1,011",1,66,"2,299"
Billerica,-,7,"1,014","1,024",4,76,"2,118"
Billerica,-,8,"1,247","1,051",3,102,"2,403"
Billerica,-,9,"1,298",867,0,73,"2,238"
Billerica,-,10,"1,345",926,1,67,"2,339"
Billerica,-,11,"1,224",910,3,80,"2,217"
TOTALS,,,"13,232","10,689",20,837,"24,778"
