City/Town,Ward,Pct,"Hannah E. Kane","All Others",Blanks,"Total Votes Cast"
,,,Republican
Shrewsbury,-,1,"1,906",20,563,"2,489"
Shrewsbury,-,2,"1,611",17,522,"2,150"
Shrewsbury,-,3,"1,308",9,404,"1,721"
Shrewsbury,-,4,"1,688",6,467,"2,161"
Shrewsbury,-,5,"1,356",3,453,"1,812"
Shrewsbury,-,6,"1,594",21,578,"2,193"
Shrewsbury,-,7,"1,986",43,602,"2,631"
Shrewsbury,-,8,"1,859",16,614,"2,489"
Shrewsbury,-,9,"1,103",12,422,"1,537"
Shrewsbury,-,10,"1,575",10,552,"2,137"
Westborough,-,4,"1,955",46,754,"2,755"
Westborough,-,5,"1,816",21,749,"2,586"
TOTALS,,,"19,757",224,"6,680","26,661"
