City/Town,Ward,Pct,"Tommy Vitolo","All Others",Blanks,"Total Votes Cast"
,,,Democratic
Brookline,-,2,"1,007",6,264,"1,277"
Brookline,-,3,"1,542",11,392,"1,945"
Brookline,-,4,"1,405",4,367,"1,776"
Brookline,-,6,"1,686",4,352,"2,042"
Brookline,-,7,"1,448",2,370,"1,820"
Brookline,-,8,"1,519",0,364,"1,883"
Brookline,-,9,"1,539",5,422,"1,966"
Brookline,-,10,"1,575",2,414,"1,991"
Brookline,-,11,"1,650",7,441,"2,098"
Brookline,-,12,"1,853",4,522,"2,379"
Brookline,-,13,"1,572",18,480,"2,070"
TOTALS,,,"16,796",63,"4,388","21,247"
